state,district,category,indicator_no,indicator,nfhs6_value,nfhs5_value,small_sample_flag,boundary_change_single_round
Andhra Pradesh,Anantapur,Population and Household Profile,1,Population below age 5 years (%),8.8,7.5,False,False
Andhra Pradesh,Anantapur,Population and Household Profile,2,Population below age 15 years (%),24.2,24.3,False,False
Andhra Pradesh,Anantapur,Population and Household Profile,3,Population age 60 years and above (%),13.9,13.3,False,False
Andhra Pradesh,Anantapur,Population and Household Profile,4,Population living in households with electricity (%),100.0,99.6,False,False
Andhra Pradesh,Anantapur,Population and Household Profile,5,Population living in households with an improved drinking-water source1 (%),98.9,98.8,False,False
Andhra Pradesh,Anantapur,Population and Household Profile,6,Households using iodized salt (%),98.3,88.6,False,False
Andhra Pradesh,Anantapur,Population and Household Profile,7,Households with any usual member covered under a health insurance/financing scheme (%),94.4,84.4,False,False
Andhra Pradesh,Anantapur,Population and Household Profile,8,Households with any usual member having a bank account/post office account (%),99.3,96.6,False,False
Andhra Pradesh,Anantapur,Population and Household Profile,9,Female population age 6 years and above who ever attended school (%),66.0,59.5,False,False
Andhra Pradesh,Anantapur,Population and Household Profile,10,Households with any usual female members owning a house and/or land (alone or jointly with others) (%),45.7,30.6,False,False
Andhra Pradesh,Anantapur,Population and Household Profile,11,Children age 2-4 years who attended pre-school (%),67.4,66.1,False,False
Andhra Pradesh,Anantapur,Characteristics of Adults (age 15-49 years),12,Women with 10 or more years of schooling (%),42.6,31.3,False,False
Andhra Pradesh,Anantapur,Characteristics of Adults (age 15-49 years),13,Men with 10 or more years of schooling (%),54.5,45.4,False,False
Andhra Pradesh,Anantapur,Characteristics of Adults (age 15-49 years),14,Women who have ever used the internet (%),59.7,19.4,False,False
Andhra Pradesh,Anantapur,Characteristics of Adults (age 15-49 years),15,Men who have ever used the internet (%),91.0,57.5,False,False
Andhra Pradesh,Anantapur,Marriage and Fertility,16,Women age 20-24 years married before age 18 years (%),40.3,37.3,False,False
Andhra Pradesh,Anantapur,Marriage and Fertility,17,Men age 25-29 years married before age 21 years (%),13.0,*,True,False
Andhra Pradesh,Anantapur,Marriage and Fertility,18,Three or more births in the 5 years preceding the survey (%),1.5,2.0,False,False
