state,district,category,indicator_no,indicator,nfhs6_value,nfhs5_value,small_sample_flag,boundary_change_single_round
Assam,Baksa,Population and Household Profile,1,Population below age 5 years (%),6.6,8.6,False,False
Assam,Baksa,Population and Household Profile,2,Population below age 15 years (%),23.9,26.5,False,False
Assam,Baksa,Population and Household Profile,3,Population age 60 years and above (%),11.3,8.8,False,False
Assam,Baksa,Population and Household Profile,4,Population living in households with electricity (%),98.4,98.1,False,False
Assam,Baksa,Population and Household Profile,5,Population living in households with an improved drinking-water source1 (%),95.1,89.8,False,False
Assam,Baksa,Population and Household Profile,6,Households using iodized salt (%),99.3,98.9,False,False
Assam,Baksa,Population and Household Profile,7,Households with any usual member covered under a health insurance/financing scheme (%),76.7,75.2,False,False
Assam,Baksa,Population and Household Profile,8,Households with any usual member having a bank account/post office account (%),97.5,95.7,False,False
Assam,Baksa,Population and Household Profile,9,Female population age 6 years and above who ever attended school (%),77.0,74.1,False,False
Assam,Baksa,Population and Household Profile,10,Households with any usual female members owning a house and/or land (alone or jointly with others) (%),6.7,10.5,False,False
Assam,Baksa,Population and Household Profile,11,Children age 2-4 years who attended pre-school (%),59.2,44.8,False,False
Assam,Baksa,Characteristics of Adults (age 15-49 years),12,Women with 10 or more years of schooling (%),39.8,27.8,False,False
Assam,Baksa,Characteristics of Adults (age 15-49 years),13,Men with 10 or more years of schooling (%),46.1,38.7,False,False
Assam,Baksa,Characteristics of Adults (age 15-49 years),14,Women who have ever used the internet (%),64.0,26.1,False,False
Assam,Baksa,Characteristics of Adults (age 15-49 years),15,Men who have ever used the internet (%),65.5,42.9,False,False
Assam,Baksa,Marriage and Fertility,16,Women age 20-24 years married before age 18 years (%),24.9,24.9,False,False
Assam,Baksa,Marriage and Fertility,17,Men age 25-29 years married before age 21 years (%),*,*,True,False
Assam,Baksa,Marriage and Fertility,18,Three or more births in the 5 years preceding the survey (%),0.0,0.0,False,False
Assam,Baksa,Marriage and Fertility,19,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),3.1,12.3,False,False
Assam,Baksa,Marriage and Fertility,20,Any method2 (%),69.4,59.2,False,False
Assam,Baksa,Marriage and Fertility,21,Any modern method2 (%),57.4,47.3,False,False
Assam,Baksa,Marriage and Fertility,22,Any traditional method (%),12.0,11.9,False,False
Assam,Baksa,Marriage and Fertility,23,Female sterilization (%),7.4,7.1,False,False
Assam,Baksa,Marriage and Fertility,24,Male sterilization (%),0.1,0.0,False,False
Assam,Baksa,Marriage and Fertility,25,Total unmet need3 (%),5.7,12.5,False,False
Assam,Baksa,Marriage and Fertility,26,Unmet need for spacing3 (%),3.1,5.6,False,False
Assam,Baksa,Marriage and Fertility,27,Unmet need for limiting3 (%),2.6,6.9,False,False
Assam,Baksa,Antenatal Care (for last birth in the 5 years before the survey),28,Mothers who had an antenatal check-up in the first trimester (%),72.7,61.1,False,False
Assam,Baksa,Antenatal Care (for last birth in the 5 years before the survey),29,Mothers who had any antenatal care visits (%),92.0,97.7,False,False
Assam,Baksa,Antenatal Care (for last birth in the 5 years before the survey),30,Mothers who had at least 4 antenatal care visits (%),41.9,56.0,False,False
Assam,Baksa,Antenatal Care (for last birth in the 5 years before the survey),31,Mothers whose last birth was protected against neonatal tetanus4 (%),94.1,95.0,False,False
Assam,Baksa,Antenatal Care (for last birth in the 5 years before the survey),32,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),74.1,56.2,False,False
Assam,Baksa,Antenatal Care (for last birth in the 5 years before the survey),33,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),52.0,30.2,False,False
Assam,Baksa,Antenatal Care (for last birth in the 5 years before the survey),34,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),97.9,99.8,False,False
Assam,Baksa,Delivery Care (for births in the 5 years before the survey),35,Institutional births (%),96.1,89.9,False,False
Assam,Baksa,Delivery Care (for births in the 5 years before the survey),36,Institutional births in public facility (%),83.4,82.2,False,False
Assam,Baksa,Delivery Care (for births in the 5 years before the survey),37,Births attended by skilled health personnel5 (%),98.5,92.1,False,False
Assam,Baksa,Delivery Care (for births in the 5 years before the survey),38,Births delivered by caesarean section (%),24.8,17.6,False,False
Assam,Baksa,Delivery Care (for births in the 5 years before the survey),39,Births in a private health facility that were delivered by caesarean section (%),89.9,81.7,True,False
Assam,Baksa,Delivery Care (for births in the 5 years before the survey),40,Births in a public health facility that were delivered by caesarean section (%),16.0,13.8,False,False
Assam,Baksa,Postnatal Care (for last birth in the 5 years before the survey),41,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2,61.6,65.0,False,False
Assam,Baksa,Postnatal Care (for last birth in the 5 years before the survey),42,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,3.4,True,False
Assam,Baksa,Postnatal Care (for last birth in the 5 years before the survey),43,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2,63.4,70.9,False,False
Assam,Baksa,Child Vaccinations and Vitamin A Supplementation,44,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's,83.7,70.5,True,False
Assam,Baksa,Child Vaccinations and Vitamin A Supplementation,45,Children age 12-23 months fully vaccinated based on information from vaccination card only7 (%),80.5,67.3,True,False
Assam,Baksa,Child Vaccinations and Vitamin A Supplementation,46,Children age 12-23 months who have received any vaccine (%),94.9,95.2,True,False
Assam,Baksa,Child Vaccinations and Vitamin A Supplementation,47,Children age 12-23 months who have received BCG (%),94.9,93.6,True,False
Assam,Baksa,Child Vaccinations and Vitamin A Supplementation,48,Children age 12-23 months who have received 3 doses of polio vaccine8 (%),83.7,78.3,True,False
Assam,Baksa,Child Vaccinations and Vitamin A Supplementation,49,Children age 12-23 months who have received 3 doses of pentavalent vaccine (%),94.9,87.2,True,False
Assam,Baksa,Child Vaccinations and Vitamin A Supplementation,50,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),94.9,91.9,True,False
Assam,Baksa,Child Vaccinations and Vitamin A Supplementation,51,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),74.7,47.7,True,False
Assam,Baksa,Child Vaccinations and Vitamin A Supplementation,52,Children age 12-23 months who have received birth dose of hepatitis B vaccine (%),79.2,63.8,True,False
Assam,Baksa,Child Vaccinations and Vitamin A Supplementation,53,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),89.2,53.8,True,False
Assam,Baksa,Child Vaccinations and Vitamin A Supplementation,54,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),85.1,55.8,False,False
Assam,Baksa,Child Vaccinations and Vitamin A Supplementation,55,Children age 12-23 months who received most of their vaccinations in a public health facility (%),96.5,100.0,True,False
Assam,Baksa,Child Vaccinations and Vitamin A Supplementation,56,Children age 12-23 months who received most of their vaccinations in a private health facility (%),2.7,0.0,True,False
Assam,Baksa,Treatment of Childhood Diseases (children under age 5 years),57,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),0.5,5.8,False,False
Assam,Baksa,Treatment of Childhood Diseases (children under age 5 years),58,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),0.7,0.8,False,False
Assam,Baksa,Treatment of Childhood Diseases (children under age 5 years),59,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or,*,59.0,True,False
Assam,Baksa,Child Feeding Practices and Nutritional Status of Children,60,Children under age 3 years breastfed within one hour of birth9 (%),52.0,34.9,False,False
Assam,Baksa,Child Feeding Practices and Nutritional Status of Children,61,Children under age 6 months exclusively breastfed10 (%),37.0,60.6,True,False
Assam,Baksa,Child Feeding Practices and Nutritional Status of Children,62,Children under age 6 months currently breastfeeding10 (%),100.0,98.1,True,False
Assam,Baksa,Child Feeding Practices and Nutritional Status of Children,63,Children under age 6 months exclusively breastfed or breastfeeding and consuming plain water/other,80.6,80.2,True,False
Assam,Baksa,Child Feeding Practices and Nutritional Status of Children,64,Children age 6-8 months receiving solid or semi-solid food and breastmilk10 (%),*,69.4,True,False
Assam,Baksa,Child Feeding Practices and Nutritional Status of Children,65,"Breastfeeding children age 6-23 months receiving an adequate diet10, 11 (%)",13.9,12.6,False,False
Assam,Baksa,Child Feeding Practices and Nutritional Status of Children,66,"Non-breastfeeding children age 6-23 months receiving an adequate diet10, 11 (%)",*,*,True,False
Assam,Baksa,Child Feeding Practices and Nutritional Status of Children,67,"Total children age 6-23 months receiving an adequate diet10, 11 (%)",18.4,14.0,False,False
Assam,Baksa,Child Feeding Practices and Nutritional Status of Children,68,Children under 5 years who are stunted (height-for-age)12 (%),31.3,41.2,False,False
Assam,Baksa,Child Feeding Practices and Nutritional Status of Children,69,Children under 5 years who are wasted (weight-for-height)12 (%),23.3,17.0,False,False
Assam,Baksa,Child Feeding Practices and Nutritional Status of Children,70,Children under 5 years who are severely wasted (weight-for-height)13 (%),5.9,6.2,False,False
Assam,Baksa,Child Feeding Practices and Nutritional Status of Children,71,Children under 5 years who are underweight (weight-for-age)12 (%),32.1,34.0,False,False
Assam,Baksa,Child Feeding Practices and Nutritional Status of Children,72,Children under 5 years who are overweight (weight-for-height)14 (%),4.4,8.6,False,False
Assam,Baksa,Nutritional Status of Adults (age 15-49 years),73,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)15 (%),12.1,15.1,False,False
Assam,Baksa,Nutritional Status of Adults (age 15-49 years),74,Women who are overweight or obese (BMI ≥25.0 kg/m2)15 (%),17.7,18.8,False,False
Assam,Baksa,Women,75,Blood sugar level - high (141-160 mg/dl)16 (%),6.2,8.7,False,False
Assam,Baksa,Women,76,Blood sugar level - very high (>160 mg/dl)16 (%),6.1,4.0,False,False
Assam,Baksa,Women,77,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level16 (%),12.9,13.4,False,False
Assam,Baksa,Men,78,Blood sugar level - high (141-160 mg/dl)16 (%),6.9,9.4,False,False
Assam,Baksa,Men,79,Blood sugar level - very high (>160 mg/dl)16 (%),8.3,6.3,False,False
Assam,Baksa,Men,80,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level16 (%),15.7,16.1,False,False
Assam,Baksa,Women,81,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),14.8,14.9,False,False
Assam,Baksa,Women,82,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm,6.6,7.2,False,False
Assam,Baksa,Women,83,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to,24.1,24.5,False,False
Assam,Baksa,Men,84,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),17.5,17.8,False,False
Assam,Baksa,Men,85,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm,5.6,5.3,False,False
Assam,Baksa,Men,86,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to,25.7,25.0,False,False
Assam,Baksa,Men,87,Women having a bank or savings account that they themselves use (%),92.7,85.5,False,False
Assam,Baksa,Men,88,Women having a mobile phone that they themselves use (%),70.7,65.8,False,False
Assam,Baksa,Men,89,Women age 15-24 years who use hygienic methods of protection during their menstrual period17 (%),89.3,67.0,False,False
Assam,Baksa,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),90,Women age 15 years and above who use any kind of tobacco (%),11.7,14.9,False,False
Assam,Baksa,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),91,Men age 15 years and above who use any kind of tobacco (%),45.9,57.6,False,False
Assam,Baksa,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),92,Women age 15 years and above who consume alcohol (%),10.9,11.9,False,False
Assam,Baksa,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),93,Men age 15 years and above who consume alcohol (%),34.6,33.4,False,False
Assam,Barpeta,Population and Household Profile,1,Population below age 5 years (%),8.3,8.5,False,False
