state,district,category,indicator_no,indicator,nfhs6_value,nfhs5_value,small_sample_flag,boundary_change_single_round
Chandigarh,Chandigarh,Population and Household Profile,1,Population below age 5 years (%),6.1,5.9,False,False
Chandigarh,Chandigarh,Population and Household Profile,2,Population below age 15 years (%),20.7,23.3,False,False
Chandigarh,Chandigarh,Population and Household Profile,3,Population age 60 years and above (%),10.9,10.9,False,False
Chandigarh,Chandigarh,Population and Household Profile,4,Population living in households with electricity (%),99.6,99.9,False,False
Chandigarh,Chandigarh,Population and Household Profile,5,Population living in households with an improved drinking-water source1 (%),99.9,99.1,False,False
Chandigarh,Chandigarh,Population and Household Profile,6,Households using iodized salt (%),96.5,96.8,False,False
Chandigarh,Chandigarh,Population and Household Profile,7,Households with any usual member covered under a health insurance/financing scheme (%),42.8,32.2,False,False
Chandigarh,Chandigarh,Population and Household Profile,8,Households with any usual member having a bank account/post office account (%),96.9,96.9,False,False
Chandigarh,Chandigarh,Population and Household Profile,9,Female population age 6 years and above who ever attended school (%),87.8,86.7,False,False
Chandigarh,Chandigarh,Population and Household Profile,10,Households with any usual female members owning a house and/or land (alone or jointly with,13.7,6.7,False,False
Chandigarh,Chandigarh,Population and Household Profile,11,Children age 2-4 years who attended pre-school (%),52.6,26.5,False,False
Chandigarh,Chandigarh,Characteristics of Adults (age 15-49 years),12,Women with 10 or more years of schooling (%),70.1,59.6,False,False
Chandigarh,Chandigarh,Characteristics of Adults (age 15-49 years),13,Men with 10 or more years of schooling (%),88.4,64.5,False,False
Chandigarh,Chandigarh,Characteristics of Adults (age 15-49 years),14,Women who have ever used the internet (%),83.9,75.2,False,False
Chandigarh,Chandigarh,Characteristics of Adults (age 15-49 years),15,Men who have ever used the internet (%),94.3,91.9,False,False
Chandigarh,Chandigarh,Marriage and Fertility,16,Women age 20-24 years married before age 18 years (%),5.2,9.7,False,False
Chandigarh,Chandigarh,Marriage and Fertility,17,Men age 25-29 years married before age 21 years (%),*,*,True,False
Chandigarh,Chandigarh,Marriage and Fertility,18,Total fertility rate (children per woman),1.8,1.4,False,False
