state,district,category,indicator_no,indicator,nfhs6_value,nfhs5_value,small_sample_flag,boundary_change_single_round
Chhattisgarh,Balod,Population and Household Profile,1,Population below age 5 years (%),6.2,5.8,False,False
Chhattisgarh,Balod,Population and Household Profile,2,Population below age 15 years (%),20.5,20.7,False,False
Chhattisgarh,Balod,Population and Household Profile,3,Population age 60 years and above (%),12.2,12.4,False,False
Chhattisgarh,Balod,Population and Household Profile,4,Population living in households with electricity (%),99.7,99.7,False,False
Chhattisgarh,Balod,Population and Household Profile,5,Population living in households with an improved drinking-water source1 (%),99.1,99.5,False,False
Chhattisgarh,Balod,Population and Household Profile,6,Households using iodized salt (%),98.9,96.7,False,False
Chhattisgarh,Balod,Population and Household Profile,7,Households with any usual member covered under a health insurance/financing scheme (%),94.7,79.5,False,False
Chhattisgarh,Balod,Population and Household Profile,8,Households with any usual member having a bank account/post office account (%),99.7,95.3,False,False
Chhattisgarh,Balod,Population and Household Profile,9,Female population age 6 years and above who ever attended school (%),77.8,76.4,False,False
Chhattisgarh,Balod,Population and Household Profile,10,Households with any usual female members owning a house and/or land (alone or jointly with others) (%),20.0,8.2,False,False
Chhattisgarh,Balod,Population and Household Profile,11,Children age 2-4 years who attended pre-school (%),67.3,20.9,False,False
Chhattisgarh,Balod,Characteristics of Adults (age 15-49 years),12,Women with 10 or more years of schooling (%),49.6,46.3,False,False
Chhattisgarh,Balod,Characteristics of Adults (age 15-49 years),13,Men with 10 or more years of schooling (%),53.7,50.9,False,False
Chhattisgarh,Balod,Characteristics of Adults (age 15-49 years),14,Women who have ever used the internet (%),57.7,40.0,False,False
Chhattisgarh,Balod,Characteristics of Adults (age 15-49 years),15,Men who have ever used the internet (%),80.9,62.1,False,False
Chhattisgarh,Balod,Marriage and Fertility,16,Women age 20-24 years married before age 18 years (%),1.2,3.3,False,False
Chhattisgarh,Balod,Marriage and Fertility,17,Men age 25-29 years married before age 21 years (%),*,*,True,False
Chhattisgarh,Balod,Marriage and Fertility,18,Three or more births in the 5 years preceding the survey (%),0.8,0.3,False,False
Chhattisgarh,Balod,Marriage and Fertility,19,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),0.0,0.0,False,False
Chhattisgarh,Balod,Marriage and Fertility,20,Any method2 (%),77.1,83.5,False,False
Chhattisgarh,Balod,Marriage and Fertility,21,Any modern method2 (%),72.4,79.9,False,False
Chhattisgarh,Balod,Marriage and Fertility,22,Any traditional method (%),4.7,3.6,False,False
Chhattisgarh,Balod,Marriage and Fertility,23,Female sterilization (%),62.6,68.4,False,False
Chhattisgarh,Balod,Marriage and Fertility,24,Male sterilization (%),2.5,0.7,False,False
Chhattisgarh,Balod,Marriage and Fertility,25,Total unmet need3 (%),5.6,2.6,False,False
Chhattisgarh,Balod,Marriage and Fertility,26,Unmet need for spacing3 (%),4.1,1.1,False,False
Chhattisgarh,Balod,Marriage and Fertility,27,Unmet need for limiting3 (%),1.5,1.5,False,False
Chhattisgarh,Balod,Antenatal Care (for last birth in the 5 years before the survey),28,Mothers who had an antenatal check-up in the first trimester (%),91.2,72.7,False,False
Chhattisgarh,Balod,Antenatal Care (for last birth in the 5 years before the survey),29,Mothers who had any antenatal care visits (%),99.0,98.0,False,False
Chhattisgarh,Balod,Antenatal Care (for last birth in the 5 years before the survey),30,Mothers who had at least 4 antenatal care visits (%),92.3,81.5,False,False
Chhattisgarh,Balod,Antenatal Care (for last birth in the 5 years before the survey),31,Mothers whose last birth was protected against neonatal tetanus 4 (%),97.1,93.7,False,False
Chhattisgarh,Balod,Antenatal Care (for last birth in the 5 years before the survey),32,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),89.3,46.9,False,False
Chhattisgarh,Balod,Antenatal Care (for last birth in the 5 years before the survey),33,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),77.3,24.2,False,False
Chhattisgarh,Balod,Antenatal Care (for last birth in the 5 years before the survey),34,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),99.4,99.4,False,False
Chhattisgarh,Balod,Delivery Care (for births in the 5 years before the survey),35,Institutional births (%),98.5,97.4,False,False
Chhattisgarh,Balod,Delivery Care (for births in the 5 years before the survey),36,Institutional births in public facility (%),76.5,85.8,False,False
Chhattisgarh,Balod,Delivery Care (for births in the 5 years before the survey),37,Births attended by skilled health personnel5 (%),98.1,99.2,False,False
Chhattisgarh,Balod,Delivery Care (for births in the 5 years before the survey),38,Births delivered by caesarean section (%),20.3,17.8,False,False
Chhattisgarh,Balod,Delivery Care (for births in the 5 years before the survey),39,Births in a private health facility that were delivered by caesarean section (%),54.7,58.1,True,False
Chhattisgarh,Balod,Delivery Care (for births in the 5 years before the survey),40,Births in a public health facility that were delivered by caesarean section (%),10.7,13.0,False,False
Chhattisgarh,Balod,Postnatal Care (for last birth in the 5 years before the survey),41,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2,93.8,90.8,False,False
Chhattisgarh,Balod,Postnatal Care (for last birth in the 5 years before the survey),42,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*,True,False
Chhattisgarh,Balod,Postnatal Care (for last birth in the 5 years before the survey),43,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2,95.4,89.1,False,False
Chhattisgarh,Balod,Child Vaccinations and Vitamin A Supplementation,44,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's,90.1,85.2,True,False
Chhattisgarh,Balod,Child Vaccinations and Vitamin A Supplementation,45,Children age 12-23 months fully vaccinated based on information from vaccination card only7 (%),89.8,92.4,True,False
Chhattisgarh,Balod,Child Vaccinations and Vitamin A Supplementation,46,Children age 12-23 months who have received any vaccine (%),96.6,100.0,True,False
Chhattisgarh,Balod,Child Vaccinations and Vitamin A Supplementation,47,Children age 12-23 months who have received BCG (%),95.1,100.0,True,False
Chhattisgarh,Balod,Child Vaccinations and Vitamin A Supplementation,48,Children age 12-23 months who have received 3 doses of polio vaccine8 (%),91.5,85.2,True,False
Chhattisgarh,Balod,Child Vaccinations and Vitamin A Supplementation,49,Children age 12-23 months who have received 3 doses of pentavalent vaccine (%),96.6,92.0,True,False
Chhattisgarh,Balod,Child Vaccinations and Vitamin A Supplementation,50,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),96.6,92.4,True,False
Chhattisgarh,Balod,Child Vaccinations and Vitamin A Supplementation,51,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),80.0,80.7,True,False
Chhattisgarh,Balod,Child Vaccinations and Vitamin A Supplementation,52,Children age 12-23 months who have received birth dose of hepatitis B vaccine (%),77.1,77.1,True,False
Chhattisgarh,Balod,Child Vaccinations and Vitamin A Supplementation,53,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),94.8,56.7,True,False
Chhattisgarh,Balod,Child Vaccinations and Vitamin A Supplementation,54,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),91.2,90.3,False,False
Chhattisgarh,Balod,Child Vaccinations and Vitamin A Supplementation,55,Children age 12-23 months who received most of their vaccinations in a public health facility (%),98.4,97.7,True,False
Chhattisgarh,Balod,Child Vaccinations and Vitamin A Supplementation,56,Children age 12-23 months who received most of their vaccinations in a private health facility (%),0.0,2.3,True,False
Chhattisgarh,Balod,Treatment of Childhood Diseases (children under age 5 years),57,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),6.5,1.3,False,False
Chhattisgarh,Balod,Treatment of Childhood Diseases (children under age 5 years),58,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),0.4,1.2,False,False
