state,district,category,indicator_no,indicator,nfhs6_value,nfhs5_value,small_sample_flag,boundary_change_single_round
Dadra & Nagar Haveli And Daman & Diu,Dadra & Nagar Haveli And Daman & Diu,Population and Household Profile,1,Population below age 5 years (%),7.5,8.2,False,False
Dadra & Nagar Haveli And Daman & Diu,Dadra & Nagar Haveli And Daman & Diu,Population and Household Profile,2,Population below age 15 years (%),23.1,25.4,False,False
Dadra & Nagar Haveli And Daman & Diu,Dadra & Nagar Haveli And Daman & Diu,Population and Household Profile,3,Population age 60 years and above (%),6.0,6.9,False,False
Dadra & Nagar Haveli And Daman & Diu,Dadra & Nagar Haveli And Daman & Diu,Population and Household Profile,4,Population living in households with electricity (%),99.7,99.7,False,False
Dadra & Nagar Haveli And Daman & Diu,Dadra & Nagar Haveli And Daman & Diu,Population and Household Profile,5,Population living in households with an improved drinking-water source1 (%),98.0,95.4,False,False
Dadra & Nagar Haveli And Daman & Diu,Dadra & Nagar Haveli And Daman & Diu,Population and Household Profile,6,Households using iodized salt (%),97.0,89.1,False,False
Dadra & Nagar Haveli And Daman & Diu,Dadra & Nagar Haveli And Daman & Diu,Population and Household Profile,7,Households with any usual member covered under a health insurance/financing scheme (%),55.3,56.6,False,False
Dadra & Nagar Haveli And Daman & Diu,Dadra & Nagar Haveli And Daman & Diu,Population and Household Profile,8,Households with any usual member having a bank account/post office account (%),98.0,92.9,False,False
Dadra & Nagar Haveli And Daman & Diu,Dadra & Nagar Haveli And Daman & Diu,Population and Household Profile,9,Female population age 6 years and above who ever attended school (%),78.5,74.4,False,False
Dadra & Nagar Haveli And Daman & Diu,Dadra & Nagar Haveli And Daman & Diu,Population and Household Profile,10,Households with any usual female members owning a house and/or land (alone or jointly,12.1,13.9,False,False
Dadra & Nagar Haveli And Daman & Diu,Dadra & Nagar Haveli And Daman & Diu,Population and Household Profile,11,Children age 2-4 years who attended pre-school (%),51.1,44.7,False,False
Dadra & Nagar Haveli And Daman & Diu,Dadra & Nagar Haveli And Daman & Diu,Characteristics of Adults (age 15-49 years),12,Women with 10 or more years of schooling (%),44.8,35.8,False,False
Dadra & Nagar Haveli And Daman & Diu,Dadra & Nagar Haveli And Daman & Diu,Characteristics of Adults (age 15-49 years),13,Men with 10 or more years of schooling (%),56.6,49.4,False,False
Dadra & Nagar Haveli And Daman & Diu,Dadra & Nagar Haveli And Daman & Diu,Characteristics of Adults (age 15-49 years),14,Women who have ever used the internet (%),78.4,36.7,False,False
Dadra & Nagar Haveli And Daman & Diu,Dadra & Nagar Haveli And Daman & Diu,Characteristics of Adults (age 15-49 years),15,Men who have ever used the internet (%),91.7,61.3,False,False
Dadra & Nagar Haveli And Daman & Diu,Dadra & Nagar Haveli And Daman & Diu,Marriage and Fertility,16,Women age 20-24 years married before age 18 years (%),16.3,26.4,False,False
Dadra & Nagar Haveli And Daman & Diu,Dadra & Nagar Haveli And Daman & Diu,Marriage and Fertility,17,Men age 25-29 years married before age 21 years (%),18.8,12.6,False,False
Dadra & Nagar Haveli And Daman & Diu,Dadra & Nagar Haveli And Daman & Diu,Marriage and Fertility,18,Total fertility rate (children per woman),1.7,1.8,False,False
Dadra & Nagar Haveli And Daman & Diu,Dadra & Nagar Haveli And Daman & Diu,Marriage and Fertility,19,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),5.0,4.3,False,False
Dadra & Nagar Haveli And Daman & Diu,Dadra & Nagar Haveli And Daman & Diu,Marriage and Fertility,20,Any method2 (%),67.2,68.0,False,False
Dadra & Nagar Haveli And Daman & Diu,Dadra & Nagar Haveli And Daman & Diu,Marriage and Fertility,21,Any modern method2 (%),50.1,59.8,False,False
Dadra & Nagar Haveli And Daman & Diu,Dadra & Nagar Haveli And Daman & Diu,Marriage and Fertility,22,Any traditional method (%),17.1,8.2,False,False
Dadra & Nagar Haveli And Daman & Diu,Dadra & Nagar Haveli And Daman & Diu,Marriage and Fertility,23,Female sterilization (%),36.2,41.6,False,False
Dadra & Nagar Haveli And Daman & Diu,Dadra & Nagar Haveli And Daman & Diu,Marriage and Fertility,24,Male sterilization (%),0.2,0.2,False,False
Dadra & Nagar Haveli And Daman & Diu,Dadra & Nagar Haveli And Daman & Diu,Marriage and Fertility,25,Total unmet need3 (%),8.6,11.9,False,False
Dadra & Nagar Haveli And Daman & Diu,Dadra & Nagar Haveli And Daman & Diu,Marriage and Fertility,26,Unmet need for spacing3 (%),4.2,5.2,False,False
Dadra & Nagar Haveli And Daman & Diu,Dadra & Nagar Haveli And Daman & Diu,Marriage and Fertility,27,Unmet need for limiting3 (%),4.4,6.7,False,False
Dadra & Nagar Haveli And Daman & Diu,Dadra & Nagar Haveli And Daman & Diu,Antenatal Care (for last birth in the 5 years before the survey),28,Mothers who had an antenatal check-up in the first trimester (%),89.4,77.7,False,False
Dadra & Nagar Haveli And Daman & Diu,Dadra & Nagar Haveli And Daman & Diu,Antenatal Care (for last birth in the 5 years before the survey),29,Mothers who had any antenatal care visits (%),98.5,97.6,False,False
Dadra & Nagar Haveli And Daman & Diu,Dadra & Nagar Haveli And Daman & Diu,Antenatal Care (for last birth in the 5 years before the survey),30,Mothers who had at least 4 antenatal care visits (%),83.2,86.2,False,False
Dadra & Nagar Haveli And Daman & Diu,Dadra & Nagar Haveli And Daman & Diu,Antenatal Care (for last birth in the 5 years before the survey),31,Mothers whose last birth was protected against neonatal tetanus4 (%),96.8,84.6,False,False
Dadra & Nagar Haveli And Daman & Diu,Dadra & Nagar Haveli And Daman & Diu,Antenatal Care (for last birth in the 5 years before the survey),32,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),77.4,59.8,False,False
Dadra & Nagar Haveli And Daman & Diu,Dadra & Nagar Haveli And Daman & Diu,Antenatal Care (for last birth in the 5 years before the survey),33,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),49.8,36.2,False,False
Dadra & Nagar Haveli And Daman & Diu,Dadra & Nagar Haveli And Daman & Diu,Antenatal Care (for last birth in the 5 years before the survey),34,Registered pregnancies for which the mother received a Mother and Child Protection (MCP),99.2,98.8,False,False
Dadra & Nagar Haveli And Daman & Diu,Dadra & Nagar Haveli And Daman & Diu,Delivery Care (for births in the 5 years before the survey),35,Institutional births (%),96.3,96.5,False,False
Dadra & Nagar Haveli And Daman & Diu,Dadra & Nagar Haveli And Daman & Diu,Delivery Care (for births in the 5 years before the survey),36,Institutional births in public facility (%),71.9,71.9,False,False
Dadra & Nagar Haveli And Daman & Diu,Dadra & Nagar Haveli And Daman & Diu,Delivery Care (for births in the 5 years before the survey),37,Births attended by skilled health personnel5 (%),94.4,97.8,False,False
Dadra & Nagar Haveli And Daman & Diu,Dadra & Nagar Haveli And Daman & Diu,Delivery Care (for births in the 5 years before the survey),38,Births delivered by caesarean section (%),28.6,22.9,False,False
