state,district,category,indicator_no,indicator,nfhs6_value,nfhs5_value,small_sample_flag,boundary_change_single_round
Andaman And Nicobar Islands,Nicobar,Population and Household Profile,1,Population below age 5 years (%),4.5,5.3,False,False
Andaman And Nicobar Islands,Nicobar,Population and Household Profile,2,Population below age 15 years (%),21.1,23.0,False,False
Andaman And Nicobar Islands,Nicobar,Population and Household Profile,3,Population age 60 years and above (%),12.4,12.3,False,False
Andaman And Nicobar Islands,Nicobar,Population and Household Profile,4,Population living in households with electricity (%),99.8,97.9,False,False
Andaman And Nicobar Islands,Nicobar,Population and Household Profile,5,Population living in households with an improved drinking-water source1 (%),98.0,98.8,False,False
Andaman And Nicobar Islands,Nicobar,Population and Household Profile,6,Households using iodized salt (%),100.0,99.4,False,False
Andaman And Nicobar Islands,Nicobar,Population and Household Profile,7,Households with any usual member covered under a health insurance/financing scheme (%),10.0,3.4,False,False
Andaman And Nicobar Islands,Nicobar,Population and Household Profile,8,Households with any usual member having a bank account/post office account (%),98.5,96.7,False,False
Andaman And Nicobar Islands,Nicobar,Population and Household Profile,9,Female population age 6 years and above who ever attended school (%),81.6,78.0,False,False
Andaman And Nicobar Islands,Nicobar,Population and Household Profile,10,Households with any usual female members owning a house and/or land (alone or jointly with others) (%),13.9,13.8,False,False
Andaman And Nicobar Islands,Nicobar,Population and Household Profile,11,Children age 2-4 years who attended pre-school (%),74.7,77.7,False,False
Andaman And Nicobar Islands,Nicobar,Characteristics of Adults (age 15-49 years),12,Women with 10 or more years of schooling (%),59.0,53.5,False,False
Andaman And Nicobar Islands,Nicobar,Characteristics of Adults (age 15-49 years),13,Men with 10 or more years of schooling (%),56.0,36.0,False,False
Andaman And Nicobar Islands,Nicobar,Characteristics of Adults (age 15-49 years),14,Women who have ever used the internet (%),51.5,14.6,False,False
Andaman And Nicobar Islands,Nicobar,Characteristics of Adults (age 15-49 years),15,Men who have ever used the internet (%),58.0,13.3,False,False
Andaman And Nicobar Islands,Nicobar,Marriage and Fertility,16,Women age 20-24 years married before age 18 years (%),8.3,11.4,False,False
Andaman And Nicobar Islands,Nicobar,Marriage and Fertility,17,Men age 25-29 years married before age 21 years (%),*,*,True,False
Andaman And Nicobar Islands,Nicobar,Marriage and Fertility,18,Three or more births in the 5 years preceding the survey (%),1.3,0.0,False,False
Andaman And Nicobar Islands,Nicobar,Marriage and Fertility,19,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),8.4,1.8,False,False
Andaman And Nicobar Islands,Nicobar,Marriage and Fertility,20,Any method2 (%),76.2,65.3,False,False
Andaman And Nicobar Islands,Nicobar,Marriage and Fertility,21,Any modern method2 (%),70.8,57.2,False,False
Andaman And Nicobar Islands,Nicobar,Marriage and Fertility,22,Any traditional method (%),5.4,8.1,False,False
Andaman And Nicobar Islands,Nicobar,Marriage and Fertility,23,Female sterilization (%),58.1,46.4,False,False
Andaman And Nicobar Islands,Nicobar,Marriage and Fertility,24,Male sterilization (%),0.0,0.0,False,False
Andaman And Nicobar Islands,Nicobar,Marriage and Fertility,25,Total unmet need3 (%),6.7,9.5,False,False
Andaman And Nicobar Islands,Nicobar,Marriage and Fertility,26,Unmet need for spacing3 (%),3.3,3.3,False,False
Andaman And Nicobar Islands,Nicobar,Marriage and Fertility,27,Unmet need for limiting3 (%),3.4,6.2,False,False
Andaman And Nicobar Islands,Nicobar,Antenatal Care (for last birth in the 5 years before the survey),28,Mothers who had an antenatal check-up in the first trimester (%),44.4,62.8,False,False
Andaman And Nicobar Islands,Nicobar,Antenatal Care (for last birth in the 5 years before the survey),29,Mothers who had any antenatal care visits (%),64.1,78.6,False,False
Andaman And Nicobar Islands,Nicobar,Antenatal Care (for last birth in the 5 years before the survey),30,Mothers who had at least 4 antenatal care visits (%),40.0,71.7,False,False
Andaman And Nicobar Islands,Nicobar,Antenatal Care (for last birth in the 5 years before the survey),31,Mothers whose last birth was protected against neonatal tetanus4 (%),76.5,78.0,False,False
Andaman And Nicobar Islands,Nicobar,Antenatal Care (for last birth in the 5 years before the survey),32,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),69.9,72.6,False,False
Andaman And Nicobar Islands,Nicobar,Antenatal Care (for last birth in the 5 years before the survey),33,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),18.1,43.9,False,False
Andaman And Nicobar Islands,Nicobar,Antenatal Care (for last birth in the 5 years before the survey),34,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),96.9,97.9,False,False
Andaman And Nicobar Islands,Nicobar,Delivery Care (for births in the 5 years before the survey),35,Institutional births (%),99.3,97.8,False,False
Andaman And Nicobar Islands,Nicobar,Delivery Care (for births in the 5 years before the survey),36,Institutional births in public facility (%),97.7,96.7,False,False
Andaman And Nicobar Islands,Nicobar,Delivery Care (for births in the 5 years before the survey),37,Births attended by skilled health personnel5 (%),100.0,98.6,False,False
Andaman And Nicobar Islands,Nicobar,Delivery Care (for births in the 5 years before the survey),38,Births delivered by caesarean section (%),12.1,11.5,False,False
Andaman And Nicobar Islands,Nicobar,Delivery Care (for births in the 5 years before the survey),39,Births in a private health facility that were delivered by caesarean section (%),*,*,True,False
Andaman And Nicobar Islands,Nicobar,Delivery Care (for births in the 5 years before the survey),40,Births in a public health facility that were delivered by caesarean section (%),10.8,10.7,False,False
Andaman And Nicobar Islands,Nicobar,Postnatal Care (for last birth in the 5 years before the survey),41,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2,68.9,85.1,False,False
Andaman And Nicobar Islands,Nicobar,Postnatal Care (for last birth in the 5 years before the survey),42,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*,True,False
Andaman And Nicobar Islands,Nicobar,Postnatal Care (for last birth in the 5 years before the survey),43,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2,92.3,92.5,False,False
