state,district,category,indicator_no,indicator,nfhs6_value,nfhs5_value,small_sample_flag,boundary_change_single_round
Arunachal Pradesh,Anjaw,Population and Household Profile,1,Population below age 5 years (%),5.8,6.5,False,False
Arunachal Pradesh,Anjaw,Population and Household Profile,2,Population below age 15 years (%),20.0,23.2,False,False
Arunachal Pradesh,Anjaw,Population and Household Profile,3,Population age 60 years and above (%),12.6,11.6,False,False
Arunachal Pradesh,Anjaw,Population and Household Profile,4,Population living in households with electricity (%),95.8,96.4,False,False
Arunachal Pradesh,Anjaw,Population and Household Profile,5,Population living in households with an improved drinking-water source1 (%),99.6,86.6,False,False
Arunachal Pradesh,Anjaw,Population and Household Profile,6,Households using iodized salt (%),99.4,99.6,False,False
Arunachal Pradesh,Anjaw,Population and Household Profile,7,Households with any usual member covered under a health insurance/financing scheme (%),56.2,17.5,False,False
Arunachal Pradesh,Anjaw,Population and Household Profile,8,Households with any usual member having a bank account/post office account (%),97.7,92.3,False,False
Arunachal Pradesh,Anjaw,Population and Household Profile,9,Female population age 6 years and above who ever attended school (%),60.2,61.5,False,False
Arunachal Pradesh,Anjaw,Population and Household Profile,10,Households with any usual female members owning a house and/or land (alone or jointly with others) (%),13.8,29.2,False,False
Arunachal Pradesh,Anjaw,Population and Household Profile,11,Children age 2-4 years who attended pre-school (%),20.4,9.5,False,False
Arunachal Pradesh,Anjaw,Characteristics of Adults (age 15-49 years),12,Women with 10 or more years of schooling (%),38.1,28.8,False,False
Arunachal Pradesh,Anjaw,Characteristics of Adults (age 15-49 years),13,Men with 10 or more years of schooling (%),63.6,52.3,False,False
Arunachal Pradesh,Anjaw,Characteristics of Adults (age 15-49 years),14,Women who have ever used the internet (%),54.2,46.7,False,False
Arunachal Pradesh,Anjaw,Characteristics of Adults (age 15-49 years),15,Men who have ever used the internet (%),74.4,38.8,False,False
Arunachal Pradesh,Anjaw,Marriage and Fertility,16,Women age 20-24 years married before age 18 years (%),14.9,21.8,False,False
Arunachal Pradesh,Anjaw,Marriage and Fertility,17,Men age 25-29 years married before age 21 years (%),*,*,True,False
Arunachal Pradesh,Anjaw,Marriage and Fertility,18,Three or more births in the 5 years preceding the survey (%),0.7,1.5,False,False
Arunachal Pradesh,Anjaw,Marriage and Fertility,19,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),1.9,5.1,False,False
Arunachal Pradesh,Anjaw,Marriage and Fertility,20,Any method2 (%),60.8,64.7,False,False
Arunachal Pradesh,Anjaw,Marriage and Fertility,21,Any modern method2 (%),39.6,50.9,False,False
Arunachal Pradesh,Anjaw,Marriage and Fertility,22,Any traditional method (%),21.2,13.8,False,False
Arunachal Pradesh,Anjaw,Marriage and Fertility,23,Female sterilization (%),20.0,21.2,False,False
Arunachal Pradesh,Anjaw,Marriage and Fertility,24,Male sterilization (%),0.0,0.0,False,False
Arunachal Pradesh,Anjaw,Marriage and Fertility,25,Total unmet need3 (%),11.5,6.8,False,False
Arunachal Pradesh,Anjaw,Marriage and Fertility,26,Unmet need for spacing3 (%),9.8,4.7,False,False
Arunachal Pradesh,Anjaw,Marriage and Fertility,27,Unmet need for limiting3 (%),1.7,2.1,False,False
Arunachal Pradesh,Anjaw,Antenatal Care (for last birth in the 5 years before the survey),28,Mothers who had an antenatal check-up in the first trimester (%),56.1,52.0,False,False
Arunachal Pradesh,Anjaw,Antenatal Care (for last birth in the 5 years before the survey),29,Mothers who had any antenatal care visits (%),85.7,89.0,False,False
Arunachal Pradesh,Anjaw,Antenatal Care (for last birth in the 5 years before the survey),30,Mothers who had at least 4 antenatal care visits (%),42.2,32.3,False,False
Arunachal Pradesh,Anjaw,Antenatal Care (for last birth in the 5 years before the survey),31,Mothers whose last birth was protected against neonatal tetanus 4 (%),89.3,80.2,False,False
Arunachal Pradesh,Anjaw,Antenatal Care (for last birth in the 5 years before the survey),32,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),34.2,16.5,False,False
Arunachal Pradesh,Anjaw,Antenatal Care (for last birth in the 5 years before the survey),33,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),22.0,1.2,False,False
Arunachal Pradesh,Anjaw,Antenatal Care (for last birth in the 5 years before the survey),34,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),97.8,97.9,False,False
Arunachal Pradesh,Anjaw,Delivery Care (for births in the 5 years before the survey),35,Institutional births (%),87.6,78.0,False,False
Arunachal Pradesh,Anjaw,Delivery Care (for births in the 5 years before the survey),36,Institutional births in public facility (%),83.2,76.9,False,False
Arunachal Pradesh,Anjaw,Delivery Care (for births in the 5 years before the survey),37,Births attended by skilled health personnel5 (%),91.9,79.0,False,False
Arunachal Pradesh,Anjaw,Delivery Care (for births in the 5 years before the survey),38,Births delivered by caesarean section (%),15.8,12.6,False,False
Arunachal Pradesh,Anjaw,Delivery Care (for births in the 5 years before the survey),39,Births in a private health facility that were delivered by caesarean section (%),*,*,True,False
Arunachal Pradesh,Anjaw,Delivery Care (for births in the 5 years before the survey),40,Births in a public health facility that were delivered by caesarean section (%),13.7,16.0,False,False
Arunachal Pradesh,Anjaw,Postnatal Care (for last birth in the 5 years before the survey),41,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery+ (%),69.9,55.8,False,False
Arunachal Pradesh,Anjaw,Postnatal Care (for last birth in the 5 years before the survey),42,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,2.3,True,False
Arunachal Pradesh,Anjaw,Postnatal Care (for last birth in the 5 years before the survey),43,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery+ (%),69.0,57.3,False,False
Arunachal Pradesh,Anjaw,Child Vaccinations and Vitamin A Supplementation,44,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall6 (%),*,93.0,True,False
Arunachal Pradesh,Anjaw,Child Vaccinations and Vitamin A Supplementation,45,Children age 12-23 months fully vaccinated based on information from vaccination card only 7 (%),*,90.5,True,False
Arunachal Pradesh,Anjaw,Child Vaccinations and Vitamin A Supplementation,46,Children age 12-23 months who have received any vaccine (%),*,100.0,True,False
Arunachal Pradesh,Anjaw,Child Vaccinations and Vitamin A Supplementation,47,Children age 12-23 months who have received BCG (%),*,97.7,True,False
Arunachal Pradesh,Anjaw,Child Vaccinations and Vitamin A Supplementation,48,Children age 12-23 months who have received 3 doses of polio vaccine8 (%),*,97.6,True,False
Arunachal Pradesh,Anjaw,Child Vaccinations and Vitamin A Supplementation,49,Children age 12-23 months who have received 3 doses of pentavalent vaccine (%),*,95.3,True,False
Arunachal Pradesh,Anjaw,Child Vaccinations and Vitamin A Supplementation,50,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),*,97.6,True,False
Arunachal Pradesh,Anjaw,Child Vaccinations and Vitamin A Supplementation,51,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),76.4,68.9,True,False
Arunachal Pradesh,Anjaw,Child Vaccinations and Vitamin A Supplementation,52,Children age 12-23 months who have received birth dose of hepatitis B vaccine (%),*,87.9,True,False
Arunachal Pradesh,Anjaw,Child Vaccinations and Vitamin A Supplementation,53,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),*,35.7,True,False
Arunachal Pradesh,Anjaw,Child Vaccinations and Vitamin A Supplementation,54,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),82.6,58.6,False,False
Arunachal Pradesh,Anjaw,Child Vaccinations and Vitamin A Supplementation,55,Children age 12-23 months who received most of their vaccinations in a public health facility (%),*,100.0,True,False
Arunachal Pradesh,Anjaw,Child Vaccinations and Vitamin A Supplementation,56,Children age 12-23 months who received most of their vaccinations in a private health facility (%),*,0.0,True,False
Arunachal Pradesh,Anjaw,Treatment of Childhood Diseases (children under age 5 years),57,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),1.6,9.3,False,False
Arunachal Pradesh,Anjaw,Treatment of Childhood Diseases (children under age 5 years),58,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),1.2,7.1,False,False
Arunachal Pradesh,Anjaw,Treatment of Childhood Diseases (children under age 5 years),59,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,*,True,False
Arunachal Pradesh,Anjaw,Child Feeding Practices and Nutritional Status of Children,60,Children under age 3 years breastfed within one hour of birth9 (%),59.0,66.5,False,False
Arunachal Pradesh,Anjaw,Child Feeding Practices and Nutritional Status of Children,61,Children under age 6 months exclusively breastfed10 (%),*,*,True,False
Arunachal Pradesh,Anjaw,Child Feeding Practices and Nutritional Status of Children,62,Children under age 6 months currently breastfeeding10 (%),*,*,True,False
Arunachal Pradesh,Anjaw,Child Feeding Practices and Nutritional Status of Children,63,Children under age 6 months exclusively breastfed or breastfeeding and consuming plain water/other milk only10 (%),*,*,True,False
Arunachal Pradesh,Anjaw,Child Feeding Practices and Nutritional Status of Children,64,Children age 6-8 months receiving solid or semi-solid food and breastmilk10 (%),*,*,True,False
Arunachal Pradesh,Anjaw,Child Feeding Practices and Nutritional Status of Children,65,"Breastfeeding children age 6-23 months receiving an adequate diet10, 11 (%)",*,28.7,True,False
Arunachal Pradesh,Anjaw,Child Feeding Practices and Nutritional Status of Children,66,"Non-breastfeeding children age 6-23 months receiving an adequate diet 10, 11 (%)",*,*,True,False
Arunachal Pradesh,Anjaw,Child Feeding Practices and Nutritional Status of Children,67,"Total children age 6-23 months receiving an adequate diet10, 11 (%)",21.3,25.4,True,False
Arunachal Pradesh,Anjaw,Child Feeding Practices and Nutritional Status of Children,68,Children under 5 years who are stunted (height-for-age)12 (%),24.0,23.6,False,False
Arunachal Pradesh,Anjaw,Child Feeding Practices and Nutritional Status of Children,69,Children under 5 years who are wasted (weight-for-height)12 (%),15.2,14.3,False,False
Arunachal Pradesh,Anjaw,Child Feeding Practices and Nutritional Status of Children,70,Children under 5 years who are severely wasted (weight-for-height)13 (%),8.9,7.5,False,False
Arunachal Pradesh,Anjaw,Child Feeding Practices and Nutritional Status of Children,71,Children under 5 years who are underweight (weight-for-age)12 (%),15.1,16.0,False,False
Arunachal Pradesh,Anjaw,Child Feeding Practices and Nutritional Status of Children,72,Children under 5 years who are overweight (weight-for-height)14 (%),22.5,2.9,False,False
Arunachal Pradesh,Anjaw,Nutritional Status of Adults (age 15-49 years),73,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m 2)15 (%),5.8,2.4,False,False
Arunachal Pradesh,Anjaw,Nutritional Status of Adults (age 15-49 years),74,Women who are overweight or obese (BMI ≥25.0 kg/m2)15 (%),29.3,22.8,False,False
Arunachal Pradesh,Anjaw,Women,75,Blood sugar level - high (141-160 mg/dl)16 (%),7.1,4.0,False,False
Arunachal Pradesh,Anjaw,Women,76,Blood sugar level - very high (>160 mg/dl)16 (%),5.4,8.7,False,False
Arunachal Pradesh,Anjaw,Women,77,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level16 (%),12.4,13.0,False,False
Arunachal Pradesh,Anjaw,Men,78,Blood sugar level - high (141-160 mg/dl)16 (%),8.0,7.4,False,False
Arunachal Pradesh,Anjaw,Men,79,Blood sugar level - very high (>160 mg/dl)16 (%),7.3,10.7,False,False
Arunachal Pradesh,Anjaw,Men,80,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level 16 (%),15.4,18.3,False,False
Arunachal Pradesh,Anjaw,Women,81,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),17.2,21.6,False,False
Arunachal Pradesh,Anjaw,Women,82,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%),12.2,7.6,False,False
Arunachal Pradesh,Anjaw,Women,83,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),29.7,31.1,False,False
Arunachal Pradesh,Anjaw,Men,84,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),22.5,30.2,False,False
Arunachal Pradesh,Anjaw,Men,85,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%),16.3,11.8,False,False
Arunachal Pradesh,Anjaw,Men,86,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),39.1,42.6,False,False
Arunachal Pradesh,Anjaw,Men,87,Women having a bank or savings account that they themselves use (%),86.6,82.6,False,False
Arunachal Pradesh,Anjaw,Men,88,Women having a mobile phone that they themselves use (%),90.8,77.4,False,False
Arunachal Pradesh,Anjaw,Men,89,Women age 15-24 years who use hygienic methods of protection during their menstrual period17 (%),96.6,89.0,False,False
Arunachal Pradesh,Anjaw,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),90,Women age 15 years and above who use any kind of tobacco (%),21.8,22.1,False,False
Arunachal Pradesh,Anjaw,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),91,Men age 15 years and above who use any kind of tobacco (%),53.4,66.1,False,False
Arunachal Pradesh,Anjaw,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),92,Women age 15 years and above who consume alcohol (%),34.2,31.6,False,False
Arunachal Pradesh,Anjaw,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),93,Men age 15 years and above who consume alcohol (%),59.7,68.4,False,False
Arunachal Pradesh,Changlang,Population and Household Profile,1,Population below age 5 years (%),3.5,7.6,False,False
Arunachal Pradesh,Changlang,Population and Household Profile,2,Population below age 15 years (%),16.4,28.7,False,False
Arunachal Pradesh,Changlang,Population and Household Profile,3,Population age 60 years and above (%),10.6,8.4,False,False
Arunachal Pradesh,Changlang,Population and Household Profile,4,Population living in households with electricity (%),96.9,95.2,False,False
Arunachal Pradesh,Changlang,Population and Household Profile,5,Population living in households with an improved drinking-water source1 (%),99.5,81.8,False,False
Arunachal Pradesh,Changlang,Population and Household Profile,6,Households using iodized salt (%),99.8,99.2,False,False
Arunachal Pradesh,Changlang,Population and Household Profile,7,Households with any usual member covered under a health insurance/financing scheme (%),43.7,40.5,False,False
Arunachal Pradesh,Changlang,Population and Household Profile,8,Households with any usual member having a bank account/post office account (%),95.2,95.0,False,False
Arunachal Pradesh,Changlang,Population and Household Profile,9,Female population age 6 years and above who ever attended school (%),69.1,74.6,False,False
Arunachal Pradesh,Changlang,Population and Household Profile,10,Households with any usual female members owning a house and/or land (alone or jointly with others) (%),18.6,7.9,False,False
Arunachal Pradesh,Changlang,Population and Household Profile,11,Children age 2-4 years who attended pre-school (%),19.5,34.6,False,False
Arunachal Pradesh,Changlang,Characteristics of Adults (age 15-49 years),12,Women with 10 or more years of schooling (%),50.1,30.5,False,False
Arunachal Pradesh,Changlang,Characteristics of Adults (age 15-49 years),13,Men with 10 or more years of schooling (%),66.4,42.5,False,False
Arunachal Pradesh,Changlang,Characteristics of Adults (age 15-49 years),14,Women who have ever used the internet (%),85.4,48.4,False,False
Arunachal Pradesh,Changlang,Characteristics of Adults (age 15-49 years),15,Men who have ever used the internet (%),62.0,75.5,False,False
Arunachal Pradesh,Changlang,Marriage and Fertility,16,Women age 20-24 years married before age 18 years (%),3.7,16.8,False,False
Arunachal Pradesh,Changlang,Marriage and Fertility,17,Men age 25-29 years married before age 21 years (%),*,34.0,True,False
Arunachal Pradesh,Changlang,Marriage and Fertility,18,Three or more births in the 5 years preceding the survey (%),0.0,1.2,False,False
Arunachal Pradesh,Changlang,Marriage and Fertility,19,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),3.3,9.0,False,False
Arunachal Pradesh,Changlang,Marriage and Fertility,20,Any method2 (%),62.9,71.4,False,False
Arunachal Pradesh,Changlang,Marriage and Fertility,21,Any modern method2 (%),51.8,46.3,False,False
Arunachal Pradesh,Changlang,Marriage and Fertility,22,Any traditional method (%),11.1,25.1,False,False
Arunachal Pradesh,Changlang,Marriage and Fertility,23,Female sterilization (%),23.3,15.1,False,False
Arunachal Pradesh,Changlang,Marriage and Fertility,24,Male sterilization (%),0.0,0.0,False,False
Arunachal Pradesh,Changlang,Marriage and Fertility,25,Total unmet need3 (%),5.8,6.7,False,False
Arunachal Pradesh,Changlang,Marriage and Fertility,26,Unmet need for spacing3 (%),4.2,3.5,False,False
Arunachal Pradesh,Changlang,Marriage and Fertility,27,Unmet need for limiting3 (%),1.6,3.2,False,False
Arunachal Pradesh,Changlang,Antenatal Care (for last birth in the 5 years before the survey),28,Mothers who had an antenatal check-up in the first trimester (%),51.9,65.0,False,False
Arunachal Pradesh,Changlang,Antenatal Care (for last birth in the 5 years before the survey),29,Mothers who had any antenatal care visits (%),90.7,92.8,False,False
Arunachal Pradesh,Changlang,Antenatal Care (for last birth in the 5 years before the survey),30,Mothers who had at least 4 antenatal care visits (%),62.7,46.9,False,False
Arunachal Pradesh,Changlang,Antenatal Care (for last birth in the 5 years before the survey),31,Mothers whose last birth was protected against neonatal tetanus 4 (%),92.4,88.1,False,False
Arunachal Pradesh,Changlang,Antenatal Care (for last birth in the 5 years before the survey),32,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),26.9,37.3,False,False
Arunachal Pradesh,Changlang,Antenatal Care (for last birth in the 5 years before the survey),33,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),8.4,14.1,False,False
Arunachal Pradesh,Changlang,Antenatal Care (for last birth in the 5 years before the survey),34,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),98.0,99.3,False,False
Arunachal Pradesh,Changlang,Delivery Care (for births in the 5 years before the survey),35,Institutional births (%),94.0,75.1,False,False
Arunachal Pradesh,Changlang,Delivery Care (for births in the 5 years before the survey),36,Institutional births in public facility (%),84.4,69.3,False,False
Arunachal Pradesh,Changlang,Delivery Care (for births in the 5 years before the survey),37,Births attended by skilled health personnel5 (%),94.7,81.3,False,False
Arunachal Pradesh,Changlang,Delivery Care (for births in the 5 years before the survey),38,Births delivered by caesarean section (%),15.1,12.4,False,False
Arunachal Pradesh,Changlang,Delivery Care (for births in the 5 years before the survey),39,Births in a private health facility that were delivered by caesarean section (%),*,*,True,False
Arunachal Pradesh,Changlang,Delivery Care (for births in the 5 years before the survey),40,Births in a public health facility that were delivered by caesarean section (%),9.5,14.9,False,False
Arunachal Pradesh,Changlang,Postnatal Care (for last birth in the 5 years before the survey),41,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery+ (%),65.4,69.7,False,False
Arunachal Pradesh,Changlang,Postnatal Care (for last birth in the 5 years before the survey),42,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,3.8,True,False
Arunachal Pradesh,Changlang,Postnatal Care (for last birth in the 5 years before the survey),43,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery+ (%),70.4,67.4,False,False
Arunachal Pradesh,Changlang,Child Vaccinations and Vitamin A Supplementation,44,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall6 (%),*,70.9,True,False
Arunachal Pradesh,Changlang,Child Vaccinations and Vitamin A Supplementation,45,Children age 12-23 months fully vaccinated based on information from vaccination card only 7 (%),*,86.1,True,False
Arunachal Pradesh,Changlang,Child Vaccinations and Vitamin A Supplementation,46,Children age 12-23 months who have received any vaccine (%),*,86.1,True,False
Arunachal Pradesh,Changlang,Child Vaccinations and Vitamin A Supplementation,47,Children age 12-23 months who have received BCG (%),*,86.1,True,False
Arunachal Pradesh,Changlang,Child Vaccinations and Vitamin A Supplementation,48,Children age 12-23 months who have received 3 doses of polio vaccine8 (%),*,70.9,True,False
Arunachal Pradesh,Changlang,Child Vaccinations and Vitamin A Supplementation,49,Children age 12-23 months who have received 3 doses of pentavalent vaccine (%),*,84.4,True,False
Arunachal Pradesh,Changlang,Child Vaccinations and Vitamin A Supplementation,50,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),*,84.4,True,False
Arunachal Pradesh,Changlang,Child Vaccinations and Vitamin A Supplementation,51,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),83.4,60.9,True,False
