state,district,category,indicator_no,indicator,nfhs6_value,nfhs5_value,small_sample_flag,boundary_change_single_round
Bihar,Araria,Population and Household Profile,1,Population below age 5 years (%),13.8,15.2,False,False
Bihar,Araria,Population and Household Profile,2,Population below age 15 years (%),40.2,40.5,False,False
Bihar,Araria,Population and Household Profile,3,Population age 60 years and above (%),9.7,9.4,False,False
Bihar,Araria,Population and Household Profile,4,Population living in households with electricity (%),99.2,96.2,False,False
Bihar,Araria,Population and Household Profile,5,Population living in households with an improved drinking-water source1 (%),100.0,100.0,False,False
Bihar,Araria,Population and Household Profile,6,Households using iodized salt (%),88.8,93.7,False,False
Bihar,Araria,Population and Household Profile,7,Households with any usual member covered under a health insurance/financing scheme (%),30.7,23.0,False,False
Bihar,Araria,Population and Household Profile,8,Households with any usual member having a bank account/post office account (%),99.2,95.4,False,False
Bihar,Araria,Population and Household Profile,9,Female population age 6 years and above who ever attended school (%),57.8,53.0,False,False
Bihar,Araria,Population and Household Profile,10,Households with any usual female members owning a house and/or land (alone or jointly with others) (%),11.3,11.7,False,False
Bihar,Araria,Population and Household Profile,11,Children age 2-4 years who attended pre-school (%),24.1,23.3,False,False
Bihar,Araria,Characteristics of Adults (age 15-49 years),12,Women with 10 or more years of schooling (%),17.8,16.8,False,False
Bihar,Araria,Characteristics of Adults (age 15-49 years),13,Men with 10 or more years of schooling (%),36.4,25.0,False,False
Bihar,Araria,Characteristics of Adults (age 15-49 years),14,Women who have ever used the internet (%),48.5,17.3,False,False
Bihar,Araria,Characteristics of Adults (age 15-49 years),15,Men who have ever used the internet (%),76.6,47.7,False,False
Bihar,Araria,Marriage and Fertility,16,Women age 20-24 years married before age 18 years (%),50.3,52.0,False,False
Bihar,Araria,Marriage and Fertility,17,Men age 25-29 years married before age 21 years (%),*,*,True,False
Bihar,Araria,Marriage and Fertility,18,Three or more births in the 5 years preceding the survey (%),5.0,6.8,False,False
Bihar,Araria,Marriage and Fertility,19,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),17.4,13.3,False,False
Bihar,Araria,Marriage and Fertility,20,Any method2 (%),57.7,46.0,False,False
Bihar,Araria,Marriage and Fertility,21,Any modern method2 (%),46.7,42.8,False,False
Bihar,Araria,Marriage and Fertility,22,Any traditional method (%),11.0,3.2,False,False
Bihar,Araria,Marriage and Fertility,23,Female sterilization (%),37.8,36.2,False,False
Bihar,Araria,Marriage and Fertility,24,Male sterilization (%),0.0,0.0,False,False
Bihar,Araria,Marriage and Fertility,25,Total unmet need3 (%),13.8,15.9,False,False
Bihar,Araria,Marriage and Fertility,26,Unmet need for spacing3 (%),7.6,6.4,False,False
Bihar,Araria,Marriage and Fertility,27,Unmet need for limiting3 (%),6.2,9.5,False,False
Bihar,Araria,Antenatal Care (for last birth in the 5 years before the survey),28,Mothers who had an antenatal check-up in the first trimester (%),46.5,41.6,False,False
Bihar,Araria,Antenatal Care (for last birth in the 5 years before the survey),29,Mothers who had any antenatal care visits (%),96.4,69.9,False,False
Bihar,Araria,Antenatal Care (for last birth in the 5 years before the survey),30,Mothers who had at least 4 antenatal care visits (%),32.7,25.8,False,False
Bihar,Araria,Antenatal Care (for last birth in the 5 years before the survey),31,Mothers whose last birth was protected against neonatal tetanus4 (%),91.8,86.4,False,False
Bihar,Araria,Antenatal Care (for last birth in the 5 years before the survey),32,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),12.6,17.6,False,False
Bihar,Araria,Antenatal Care (for last birth in the 5 years before the survey),33,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),5.4,7.6,False,False
Bihar,Araria,Antenatal Care (for last birth in the 5 years before the survey),34,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),95.9,90.6,False,False
Bihar,Araria,Delivery Care (for births in the 5 years before the survey),35,Institutional births (%),77.9,66.2,False,False
