state,district,category,indicator_no,indicator,nfhs6_value,nfhs5_value,small_sample_flag,boundary_change_single_round
Goa,North Goa,Population and Household Profile,1,Population below age 5 years (%),5.4,5.9,False,False
Goa,North Goa,Population and Household Profile,2,Population below age 15 years (%),17.7,19.3,False,False
Goa,North Goa,Population and Household Profile,3,Population age 60 years and above (%),16.9,13.8,False,False
Goa,North Goa,Population and Household Profile,4,Population living in households with electricity (%),99.3,100.0,False,False
Goa,North Goa,Population and Household Profile,5,Population living in households with an improved drinking-water source1 (%),95.7,98.1,False,False
Goa,North Goa,Population and Household Profile,6,Households using iodized salt (%),97.5,98.1,False,False
Goa,North Goa,Population and Household Profile,7,Households with any usual member covered under a health insurance/financing scheme (%),71.7,71.5,False,False
Goa,North Goa,Population and Household Profile,8,Households with any usual member having a bank account/post office account (%),99.1,97.0,False,False
Goa,North Goa,Population and Household Profile,9,Female population age 6 years and above who ever attended school (%),87.0,89.5,False,False
Goa,North Goa,Population and Household Profile,10,Households with any usual female members owning a house and/or land (alone or jointly with others) (%),18.8,16.8,False,False
Goa,North Goa,Population and Household Profile,11,Children age 2-4 years who attended pre-school (%),55.0,64.3,False,False
Goa,North Goa,Characteristics of Adults (age 15-49 years),12,Women with 10 or more years of schooling (%),65.5,72.0,False,False
Goa,North Goa,Characteristics of Adults (age 15-49 years),13,Men with 10 or more years of schooling (%),68.4,77.3,False,False
Goa,North Goa,Characteristics of Adults (age 15-49 years),14,Women who have ever used the internet (%),92.5,70.0,False,False
Goa,North Goa,Characteristics of Adults (age 15-49 years),15,Men who have ever used the internet (%),92.1,85.3,False,False
Goa,North Goa,Marriage and Fertility,16,Women age 20-24 years married before age 18 years (%),9.5,7.5,False,False
Goa,North Goa,Marriage and Fertility,17,Men age 25-29 years married before age 21 years (%),*,*,True,False
Goa,North Goa,Marriage and Fertility,18,Three or more births in the 5 years preceding the survey (%),1.1,1.5,False,False
Goa,North Goa,Marriage and Fertility,19,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),0.0,2.7,False,False
Goa,North Goa,Marriage and Fertility,20,Any method2 (%),73.0,63.1,False,False
Goa,North Goa,Marriage and Fertility,21,Any modern method2 (%),38.5,54.8,False,False
Goa,North Goa,Marriage and Fertility,22,Any traditional method (%),34.5,8.3,False,False
Goa,North Goa,Marriage and Fertility,23,Female sterilization (%),22.5,23.0,False,False
Goa,North Goa,Marriage and Fertility,24,Male sterilization (%),0.0,0.0,False,False
Goa,North Goa,Marriage and Fertility,25,Total unmet need3 (%),5.3,9.2,False,False
Goa,North Goa,Marriage and Fertility,26,Unmet need for spacing3 (%),3.1,4.5,False,False
Goa,North Goa,Marriage and Fertility,27,Unmet need for limiting3 (%),2.2,4.7,False,False
