state,district,category,indicator_no,indicator,nfhs6_value,nfhs5_value,small_sample_flag,boundary_change_single_round
Haryana,Ambala,Population and Household Profile,1,Population below age 5 years (%),7.3,7.3,False,False
Haryana,Ambala,Population and Household Profile,2,Population below age 15 years (%),21.0,21.6,False,False
Haryana,Ambala,Population and Household Profile,3,Population age 60 years and above (%),14.0,13.2,False,False
Haryana,Ambala,Population and Household Profile,4,Population living in households with electricity (%),99.3,99.6,False,False
Haryana,Ambala,Population and Household Profile,5,Population living in households with an improved drinking-water source1 (%),99.2,99.3,False,False
Haryana,Ambala,Population and Household Profile,6,Households using iodized salt (%),91.9,96.2,False,False
Haryana,Ambala,Population and Household Profile,7,Households with any usual member covered under a health insurance/financing scheme (%),65.5,19.0,False,False
Haryana,Ambala,Population and Household Profile,8,Households with any usual member having a bank account/post office account (%),98.3,94.2,False,False
Haryana,Ambala,Population and Household Profile,9,Female population age 6 years and above who ever attended school (%),83.0,82.2,False,False
Haryana,Ambala,Population and Household Profile,10,Households with any usual female members owning a house and/or land (alone or jointly with others) (%),16.0,14.4,False,False
Haryana,Ambala,Population and Household Profile,11,Children age 2-4 years who attended pre-school (%),52.3,56.5,False,False
Haryana,Ambala,Characteristics of Adults (age 15-49 years),12,Women with 10 or more years of schooling (%),59.5,55.3,False,False
Haryana,Ambala,Characteristics of Adults (age 15-49 years),13,Men with 10 or more years of schooling (%),56.7,67.2,False,False
Haryana,Ambala,Characteristics of Adults (age 15-49 years),14,Women who have ever used the internet (%),73.9,48.3,False,False
Haryana,Ambala,Characteristics of Adults (age 15-49 years),15,Men who have ever used the internet (%),90.3,69.5,False,False
Haryana,Ambala,Marriage and Fertility,16,Women age 20-24 years married before age 18 years (%),5.7,6.4,False,False
Haryana,Ambala,Marriage and Fertility,17,Men age 25-29 years married before age 21 years (%),*,*,True,False
Haryana,Ambala,Marriage and Fertility,18,Three or more births in the 5 years preceding the survey (%),2.1,2.4,False,False
Haryana,Ambala,Marriage and Fertility,19,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),4.4,0.8,False,False
Haryana,Ambala,Marriage and Fertility,20,Any method2 (%),75.8,69.5,False,False
Haryana,Ambala,Marriage and Fertility,21,Any modern method2 (%),54.5,57.6,False,False
Haryana,Ambala,Marriage and Fertility,22,Any traditional method (%),21.3,11.9,False,False
Haryana,Ambala,Marriage and Fertility,23,Female sterilization (%),23.7,25.5,False,False
Haryana,Ambala,Marriage and Fertility,24,Male sterilization (%),0.5,0.6,False,False
Haryana,Ambala,Marriage and Fertility,25,Total unmet need3 (%),6.3,7.0,False,False
Haryana,Ambala,Marriage and Fertility,26,Unmet need for spacing3 (%),2.8,2.2,False,False
