state,district,category,indicator_no,indicator,nfhs6_value,nfhs5_value,small_sample_flag,boundary_change_single_round
Himachal Pradesh,Bilaspur,Population and Household Profile,1,Population below age 5 years (%),6.4,5.7,False,False
Himachal Pradesh,Bilaspur,Population and Household Profile,2,Population below age 15 years (%),20.2,22.1,False,False
Himachal Pradesh,Bilaspur,Population and Household Profile,3,Population age 60 years and above (%),19.0,16.2,False,False
Himachal Pradesh,Bilaspur,Population and Household Profile,4,Population living in households with electricity (%),100.0,100.0,False,False
Himachal Pradesh,Bilaspur,Population and Household Profile,5,Population living in households with an improved drinking-water source1 (%),89.1,92.9,False,False
Himachal Pradesh,Bilaspur,Population and Household Profile,6,Households using iodized salt (%),98.2,98.7,False,False
Himachal Pradesh,Bilaspur,Population and Household Profile,7,Households with any usual member covered under a health insurance/financing scheme (%),56.7,40.3,False,False
Himachal Pradesh,Bilaspur,Population and Household Profile,8,Households with any usual member having a bank account/post office account (%),99.1,97.9,False,False
Himachal Pradesh,Bilaspur,Population and Household Profile,9,Female population age 6 years and above who ever attended school (%),85.3,81.3,False,False
Himachal Pradesh,Bilaspur,Population and Household Profile,10,Households with any usual female members owning a house and/or land (alone or jointly with others) (%),21.8,19.3,False,False
Himachal Pradesh,Bilaspur,Population and Household Profile,11,Children age 2-4 years who attended pre-school (%),58.4,58.9,False,False
Himachal Pradesh,Bilaspur,Characteristics of Adults (age 15-49 years),12,Women with 10 or more years of schooling (%),73.6,64.2,False,False
Himachal Pradesh,Bilaspur,Characteristics of Adults (age 15-49 years),13,Men with 10 or more years of schooling (%),80.3,77.5,False,False
Himachal Pradesh,Bilaspur,Characteristics of Adults (age 15-49 years),14,Women who have ever used the internet (%),71.7,40.1,False,False
Himachal Pradesh,Bilaspur,Characteristics of Adults (age 15-49 years),15,Men who have ever used the internet (%),77.9,64.8,False,False
Himachal Pradesh,Bilaspur,Marriage and Fertility,16,Women age 20-24 years married before age 18 years (%),7.6,10.0,False,False
Himachal Pradesh,Bilaspur,Marriage and Fertility,17,Men age 25-29 years married before age 21 years (%),*,*,True,False
Himachal Pradesh,Bilaspur,Marriage and Fertility,18,Three or more births in the 5 years preceding the survey (%),2.1,0.5,False,False
Himachal Pradesh,Bilaspur,Marriage and Fertility,19,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),3.3,3.2,False,False
Himachal Pradesh,Bilaspur,Marriage and Fertility,20,Any method2 (%),82.9,80.8,False,False
Himachal Pradesh,Bilaspur,Marriage and Fertility,21,Any modern method2 (%),72.4,70.3,False,False
Himachal Pradesh,Bilaspur,Marriage and Fertility,22,Any traditional method (%),10.5,10.5,False,False
Himachal Pradesh,Bilaspur,Marriage and Fertility,23,Female sterilization (%),48.1,53.1,False,False
Himachal Pradesh,Bilaspur,Marriage and Fertility,24,Male sterilization (%),2.5,2.5,False,False
Himachal Pradesh,Bilaspur,Marriage and Fertility,25,Total unmet need3 (%),5.0,7.2,False,False
Himachal Pradesh,Bilaspur,Marriage and Fertility,26,Unmet need for spacing3 (%),2.3,2.4,False,False
Himachal Pradesh,Bilaspur,Marriage and Fertility,27,Unmet need for limiting3 (%),2.7,4.8,False,False
Himachal Pradesh,Bilaspur,Antenatal Care (for last birth in the 5 years before the survey),28,Mothers who had an antenatal check-up in the first trimester (%),80.1,76.4,False,False
Himachal Pradesh,Bilaspur,Antenatal Care (for last birth in the 5 years before the survey),29,Mothers who had any antenatal care visits (%),92.7,93.8,False,False
Himachal Pradesh,Bilaspur,Antenatal Care (for last birth in the 5 years before the survey),30,Mothers who had at least 4 antenatal care visits (%),78.3,81.4,False,False
Himachal Pradesh,Bilaspur,Antenatal Care (for last birth in the 5 years before the survey),31,Mothers whose last birth was protected against neonatal tetanus4 (%),96.7,92.4,False,False
Himachal Pradesh,Bilaspur,Antenatal Care (for last birth in the 5 years before the survey),32,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),75.0,72.4,False,False
Himachal Pradesh,Bilaspur,Antenatal Care (for last birth in the 5 years before the survey),33,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),54.5,48.9,False,False
Himachal Pradesh,Bilaspur,Antenatal Care (for last birth in the 5 years before the survey),34,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),99.2,99.3,False,False
Himachal Pradesh,Bilaspur,Delivery Care (for births in the 5 years before the survey),35,Institutional births (%),96.1,91.7,False,False
Himachal Pradesh,Bilaspur,Delivery Care (for births in the 5 years before the survey),36,Institutional births in public facility (%),75.3,72.1,False,False
Himachal Pradesh,Bilaspur,Delivery Care (for births in the 5 years before the survey),37,Births attended by skilled health personnel5 (%),94.5,87.6,False,False
Himachal Pradesh,Bilaspur,Delivery Care (for births in the 5 years before the survey),38,Births delivered by caesarean section (%),31.1,19.2,False,False
Himachal Pradesh,Bilaspur,Delivery Care (for births in the 5 years before the survey),39,Births in a private health facility that were delivered by caesarean section (%),45.6,26.2,True,False
Himachal Pradesh,Bilaspur,Delivery Care (for births in the 5 years before the survey),40,Births in a public health facility that were delivered by caesarean section (%),28.7,19.5,False,False
Himachal Pradesh,Bilaspur,Postnatal Care (for last birth in the 5 years before the survey),41,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2,89.1,92.9,False,False
Himachal Pradesh,Bilaspur,Postnatal Care (for last birth in the 5 years before the survey),42,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*,True,False
Himachal Pradesh,Bilaspur,Postnatal Care (for last birth in the 5 years before the survey),43,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2,93.4,90.0,False,False
Himachal Pradesh,Bilaspur,Child Vaccinations and Vitamin A Supplementation,44,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's,97.6,100.0,True,False
Himachal Pradesh,Bilaspur,Child Vaccinations and Vitamin A Supplementation,45,Children age 12-23 months fully vaccinated based on information from vaccination card only7 (%),100.0,100.0,True,False
Himachal Pradesh,Bilaspur,Child Vaccinations and Vitamin A Supplementation,46,Children age 12-23 months who have received any vaccine (%),100.0,100.0,True,False
Himachal Pradesh,Bilaspur,Child Vaccinations and Vitamin A Supplementation,47,Children age 12-23 months who have received BCG (%),100.0,100.0,True,False
Himachal Pradesh,Bilaspur,Child Vaccinations and Vitamin A Supplementation,48,Children age 12-23 months who have received 3 doses of polio vaccine8 (%),97.6,100.0,True,False
Himachal Pradesh,Bilaspur,Child Vaccinations and Vitamin A Supplementation,49,Children age 12-23 months who have received 3 doses of pentavalent vaccine (%),100.0,100.0,True,False
Himachal Pradesh,Bilaspur,Child Vaccinations and Vitamin A Supplementation,50,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),100.0,100.0,True,False
Himachal Pradesh,Bilaspur,Child Vaccinations and Vitamin A Supplementation,51,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),74.1,80.7,True,False
Himachal Pradesh,Bilaspur,Child Vaccinations and Vitamin A Supplementation,52,Children age 12-23 months who have received birth dose of hepatitis B vaccine (%),93.1,95.4,True,False
Himachal Pradesh,Bilaspur,Child Vaccinations and Vitamin A Supplementation,53,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),96.6,90.3,True,False
Himachal Pradesh,Bilaspur,Child Vaccinations and Vitamin A Supplementation,54,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),79.4,75.4,False,False
Himachal Pradesh,Bilaspur,Child Vaccinations and Vitamin A Supplementation,55,Children age 12-23 months who received most of their vaccinations in a public health facility (%),96.1,100.0,True,False
Himachal Pradesh,Bilaspur,Child Vaccinations and Vitamin A Supplementation,56,Children age 12-23 months who received most of their vaccinations in a private health facility (%),3.9,0.0,True,False
