state,district,category,indicator_no,indicator,nfhs6_value,nfhs5_value,small_sample_flag,boundary_change_single_round
Karnataka,Bagalkote,Population and Household Profile,1,Population below age 5 years (%),7.2,7.6,False,False
Karnataka,Bagalkote,Population and Household Profile,2,Population below age 15 years (%),24.8,26.5,False,False
Karnataka,Bagalkote,Population and Household Profile,3,Population age 60 years and above (%),12.9,12.3,False,False
Karnataka,Bagalkote,Population and Household Profile,4,Population living in households with electricity (%),99.8,98.9,False,False
Karnataka,Bagalkote,Population and Household Profile,5,Population living in households with an improved drinking-water source1 (%),98.0,99.2,False,False
Karnataka,Bagalkote,Population and Household Profile,6,Households using iodized salt (%),96.1,81.3,False,False
Karnataka,Bagalkote,Population and Household Profile,7,Households with any usual member covered under a health insurance/financing scheme (%),62.5,26.2,False,False
Karnataka,Bagalkote,Population and Household Profile,8,Households with any usual member having a bank account/post office account (%),99.0,95.0,False,False
Karnataka,Bagalkote,Population and Household Profile,9,Female population age 6 years and above who ever attended school (%),75.4,67.3,False,False
Karnataka,Bagalkote,Population and Household Profile,10,Households with any usual female members owning a house and/or land (alone or jointly with others) (%),37.9,23.6,False,False
Karnataka,Bagalkote,Population and Household Profile,11,Children age 2-4 years who attended pre-school (%),57.1,42.5,False,False
Karnataka,Bagalkote,Characteristics of Adults (age 15-49 years),12,Women with 10 or more years of schooling (%),50.2,37.7,False,False
Karnataka,Bagalkote,Characteristics of Adults (age 15-49 years),13,Men with 10 or more years of schooling (%),69.0,60.8,False,False
Karnataka,Bagalkote,Characteristics of Adults (age 15-49 years),14,Women who have ever used the internet (%),51.8,25.7,False,False
Karnataka,Bagalkote,Characteristics of Adults (age 15-49 years),15,Men who have ever used the internet (%),85.8,46.3,False,False
Karnataka,Bagalkote,Marriage and Fertility,16,Women age 20-24 years married before age 18 years (%),26.8,38.7,False,False
Karnataka,Bagalkote,Marriage and Fertility,17,Men age 25-29 years married before age 21 years (%),0.0,5.5,True,False
Karnataka,Bagalkote,Marriage and Fertility,18,Three or more births in the 5 years preceding the survey (%),2.9,2.0,False,False
Karnataka,Bagalkote,Marriage and Fertility,19,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),6.2,6.9,False,False
