state,district,category,indicator_no,indicator,nfhs6_value,nfhs5_value,small_sample_flag,boundary_change_single_round
Nagaland,Dimapur,Population and Household Profile,1,Population below age 5 years (%),5.9,5.9,False,False
Nagaland,Dimapur,Population and Household Profile,2,Population below age 15 years (%),22.8,24.5,False,False
Nagaland,Dimapur,Population and Household Profile,3,Population age 60 years and above (%),8.4,7.3,False,False
Nagaland,Dimapur,Population and Household Profile,4,Population living in households with electricity (%),99.4,99.8,False,False
Nagaland,Dimapur,Population and Household Profile,5,Population living in households with an improved drinking-water source1 (%),93.4,92.4,False,False
Nagaland,Dimapur,Population and Household Profile,6,Households using iodized salt (%),99.6,98.7,False,False
Nagaland,Dimapur,Population and Household Profile,7,Households with any usual member covered under a health insurance/financing scheme (%),56.0,6.1,False,False
Nagaland,Dimapur,Population and Household Profile,8,Households with any usual member having a bank account/post office account (%),96.8,90.6,False,False
Nagaland,Dimapur,Population and Household Profile,9,Female population age 6 years and above who ever attended school (%),92.3,89.8,False,False
Nagaland,Dimapur,Population and Household Profile,10,Households with any usual female members owning a house and/or land (alone or jointly with others) (%),8.4,8.3,False,False
Nagaland,Dimapur,Population and Household Profile,11,Children age 2-4 years who attended pre-school (%),20.7,24.5,False,False
Nagaland,Dimapur,Characteristics of Adults (age 15-49 years),12,Women with 10 or more years of schooling (%),61.1,52.5,False,False
Nagaland,Dimapur,Characteristics of Adults (age 15-49 years),13,Men with 10 or more years of schooling (%),66.0,63.1,False,False
Nagaland,Dimapur,Characteristics of Adults (age 15-49 years),14,Women who have ever used the internet (%),79.5,58.8,False,False
Nagaland,Dimapur,Characteristics of Adults (age 15-49 years),15,Men who have ever used the internet (%),92.8,76.4,False,False
Nagaland,Dimapur,Marriage and Fertility,16,Women age 20-24 years married before age 18 years (%),12.8,4.4,False,False
Nagaland,Dimapur,Marriage and Fertility,17,Men age 25-29 years married before age 21 years (%),*,8.5,True,False
Nagaland,Dimapur,Marriage and Fertility,18,Three or more births in the 5 years preceding the survey (%),1.1,3.0,False,False
Nagaland,Dimapur,Marriage and Fertility,19,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),3.2,3.3,False,False
Nagaland,Dimapur,Marriage and Fertility,20,Any method2 (%),71.8,46.9,False,False
Nagaland,Dimapur,Marriage and Fertility,21,Any modern method2 (%),49.7,38.4,False,False
Nagaland,Dimapur,Marriage and Fertility,22,Any traditional method (%),22.1,8.5,False,False
Nagaland,Dimapur,Marriage and Fertility,23,Female sterilization (%),9.3,15.7,False,False
Nagaland,Dimapur,Marriage and Fertility,24,Male sterilization (%),0.1,0.0,False,False
Nagaland,Dimapur,Marriage and Fertility,25,Total unmet need3 (%),6.0,14.3,False,False
Nagaland,Dimapur,Marriage and Fertility,26,Unmet need for spacing3 (%),3.1,5.7,False,False
Nagaland,Dimapur,Marriage and Fertility,27,Unmet need for limiting3 (%),2.9,8.6,False,False
Nagaland,Dimapur,Antenatal Care (for last birth in the 5 years before the survey),28,Mothers who had an antenatal check-up in the first trimester (%),79.6,71.4,False,False
Nagaland,Dimapur,Antenatal Care (for last birth in the 5 years before the survey),29,Mothers who had any antenatal care visits (%),89.1,84.0,False,False
Nagaland,Dimapur,Antenatal Care (for last birth in the 5 years before the survey),30,Mothers who had at least 4 antenatal care visits (%),60.8,50.1,False,False
Nagaland,Dimapur,Antenatal Care (for last birth in the 5 years before the survey),31,Mothers whose last birth was protected against neonatal tetanus4 (%),80.4,86.4,False,False
Nagaland,Dimapur,Antenatal Care (for last birth in the 5 years before the survey),32,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),32.7,14.9,False,False
Nagaland,Dimapur,Antenatal Care (for last birth in the 5 years before the survey),33,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),24.6,9.3,False,False
Nagaland,Dimapur,Antenatal Care (for last birth in the 5 years before the survey),34,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),84.4,82.3,False,False
Nagaland,Dimapur,Delivery Care (for births in the 5 years before the survey),35,Institutional births (%),81.4,73.7,False,False
Nagaland,Dimapur,Delivery Care (for births in the 5 years before the survey),36,Institutional births in public facility (%),23.4,43.2,False,False
Nagaland,Dimapur,Delivery Care (for births in the 5 years before the survey),37,Births attended by skilled health personnel5 (%),89.7,80.7,False,False
Nagaland,Dimapur,Delivery Care (for births in the 5 years before the survey),38,Births delivered by caesarean section (%),21.7,14.6,False,False
Nagaland,Dimapur,Delivery Care (for births in the 5 years before the survey),39,Births in a private health facility that were delivered by caesarean section (%),30.2,28.1,False,False
Nagaland,Dimapur,Delivery Care (for births in the 5 years before the survey),40,Births in a public health facility that were delivered by caesarean section (%),17.8,14.1,False,False
Nagaland,Dimapur,Postnatal Care (for last birth in the 5 years before the survey),41,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2,73.1,68.7,False,False
Nagaland,Dimapur,Postnatal Care (for last birth in the 5 years before the survey),42,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),2.2,0.0,True,False
Nagaland,Dimapur,Postnatal Care (for last birth in the 5 years before the survey),43,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2,76.7,64.7,False,False
Nagaland,Dimapur,Child Vaccinations and Vitamin A Supplementation,44,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's,39.9,55.9,True,False
Nagaland,Dimapur,Child Vaccinations and Vitamin A Supplementation,45,Children age 12-23 months fully vaccinated based on information from vaccination card only7 (%),50.2,63.8,True,False
Nagaland,Dimapur,Child Vaccinations and Vitamin A Supplementation,46,Children age 12-23 months who have received any vaccine (%),91.9,94.2,True,False
