state,district,category,indicator_no,indicator,nfhs6_value,nfhs5_value,small_sample_flag,boundary_change_single_round
Punjab,Amritsar,Population and Household Profile,1,Population below age 5 years (%),6.4,7.0,False,False
Punjab,Amritsar,Population and Household Profile,2,Population below age 15 years (%),22.9,22.9,False,False
Punjab,Amritsar,Population and Household Profile,3,Population age 60 years and above (%),12.7,12.6,False,False
Punjab,Amritsar,Population and Household Profile,4,Population living in households with electricity (%),99.7,99.9,False,False
Punjab,Amritsar,Population and Household Profile,5,Population living in households with an improved drinking-water source1 (%),99.5,99.6,False,False
Punjab,Amritsar,Population and Household Profile,6,Households using iodized salt (%),93.9,88.9,False,False
Punjab,Amritsar,Population and Household Profile,7,Households with any usual member covered under a health insurance/financing scheme (%),45.9,26.2,False,False
Punjab,Amritsar,Population and Household Profile,8,Households with any usual member having a bank account/post office account (%),95.4,95.5,False,False
Punjab,Amritsar,Population and Household Profile,9,Female population age 6 years and above who ever attended school (%),81.1,78.0,False,False
Punjab,Amritsar,Population and Household Profile,10,Households with any usual female members owning a house and/or land (alone or jointly with others) (%),12.5,9.5,False,False
Punjab,Amritsar,Population and Household Profile,11,Children age 2-4 years who attended pre-school (%),57.1,27.0,False,False
Punjab,Amritsar,Characteristics of Adults (age 15-49 years),12,Women with 10 or more years of schooling (%),59.7,56.7,False,False
Punjab,Amritsar,Characteristics of Adults (age 15-49 years),13,Men with 10 or more years of schooling (%),69.7,59.4,False,False
Punjab,Amritsar,Characteristics of Adults (age 15-49 years),14,Women who have ever used the internet (%),78.0,60.8,False,False
Punjab,Amritsar,Characteristics of Adults (age 15-49 years),15,Men who have ever used the internet (%),90.8,80.1,False,False
Punjab,Amritsar,Marriage and Fertility,16,Women age 20-24 years married before age 18 years (%),12.0,9.2,False,False
Punjab,Amritsar,Marriage and Fertility,17,Men age 25-29 years married before age 21 years (%),*,16.3,True,False
Punjab,Amritsar,Marriage and Fertility,18,Three or more births in the 5 years preceding the survey (%),1.4,2.0,False,False
Punjab,Amritsar,Marriage and Fertility,19,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),3.5,4.4,False,False
Punjab,Amritsar,Marriage and Fertility,20,Any method2 (%),70.0,68.9,False,False
Punjab,Amritsar,Marriage and Fertility,21,Any modern method2 (%),47.6,57.6,False,False
Punjab,Amritsar,Marriage and Fertility,22,Any traditional method (%),22.4,11.3,False,False
Punjab,Amritsar,Marriage and Fertility,23,Female sterilization (%),19.8,26.2,False,False
Punjab,Amritsar,Marriage and Fertility,24,Male sterilization (%),0.7,0.8,False,False
Punjab,Amritsar,Marriage and Fertility,25,Total unmet need3 (%),7.7,9.7,False,False
Punjab,Amritsar,Marriage and Fertility,26,Unmet need for spacing3 (%),3.2,3.7,False,False
Punjab,Amritsar,Marriage and Fertility,27,Unmet need for limiting3 (%),4.5,6.0,False,False
Punjab,Amritsar,Antenatal Care (for last birth in the 5 years before the survey),28,Mothers who had an antenatal check-up in the first trimester (%),77.6,70.9,False,False
Punjab,Amritsar,Antenatal Care (for last birth in the 5 years before the survey),29,Mothers who had any antenatal care visits (%),99.4,96.1,False,False
Punjab,Amritsar,Antenatal Care (for last birth in the 5 years before the survey),30,Mothers who had at least 4 antenatal care visits (%),82.8,56.5,False,False
Punjab,Amritsar,Antenatal Care (for last birth in the 5 years before the survey),31,Mothers whose last birth was protected against neonatal tetanus4 (%),97.3,85.9,False,False
Punjab,Amritsar,Antenatal Care (for last birth in the 5 years before the survey),32,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),63.1,45.1,False,False
Punjab,Amritsar,Antenatal Care (for last birth in the 5 years before the survey),33,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),37.4,27.3,False,False
Punjab,Amritsar,Antenatal Care (for last birth in the 5 years before the survey),34,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),97.9,98.6,False,False
Punjab,Amritsar,Delivery Care (for births in the 5 years before the survey),35,Institutional births (%),93.2,95.9,False,False
Punjab,Amritsar,Delivery Care (for births in the 5 years before the survey),36,Institutional births in public facility (%),45.0,49.1,False,False
