state,district,category,indicator_no,indicator,nfhs6_value,nfhs5_value,small_sample_flag,boundary_change_single_round
Tamil Nadu,Ariyalur,Population and Household Profile,1,Population below age 5 years (%),7.7,7.4,False,False
Tamil Nadu,Ariyalur,Population and Household Profile,2,Population below age 15 years (%),21.8,22.4,False,False
Tamil Nadu,Ariyalur,Population and Household Profile,3,Population age 60 years and above (%),15.9,16.2,False,False
Tamil Nadu,Ariyalur,Population and Household Profile,4,Population living in households with electricity (%),98.4,98.2,False,False
Tamil Nadu,Ariyalur,Population and Household Profile,5,Population living in households with an improved drinking-water source1 (%),92.5,93.2,False,False
Tamil Nadu,Ariyalur,Population and Household Profile,6,Households using iodized salt (%),95.7,81.6,False,False
Tamil Nadu,Ariyalur,Population and Household Profile,7,Households with any usual member covered under a health insurance/financing scheme (%),64.6,71.1,False,False
Tamil Nadu,Ariyalur,Population and Household Profile,8,Households with any usual member having a bank account/post office account (%),99.0,97.9,False,False
Tamil Nadu,Ariyalur,Population and Household Profile,9,Female population age 6 years and above who ever attended school (%),71.3,73.5,False,False
Tamil Nadu,Ariyalur,Population and Household Profile,10,Households with any usual female members owning a house and/or land (alone or jointly with others) (%),20.6,15.7,False,False
Tamil Nadu,Ariyalur,Population and Household Profile,11,Children age 2-4 years who attended pre-school (%),78.1,55.9,False,False
Tamil Nadu,Ariyalur,Characteristics of Adults (age 15-49 years),12,Women with 10 or more years of schooling (%),59.3,50.7,False,False
Tamil Nadu,Ariyalur,Characteristics of Adults (age 15-49 years),13,Men with 10 or more years of schooling (%),71.2,72.5,False,False
Tamil Nadu,Ariyalur,Characteristics of Adults (age 15-49 years),14,Women who have ever used the internet (%),52.3,49.2,False,False
Tamil Nadu,Ariyalur,Characteristics of Adults (age 15-49 years),15,Men who have ever used the internet (%),80.5,66.4,False,False
Tamil Nadu,Ariyalur,Marriage and Fertility,16,Women age 20-24 years married before age 18 years (%),14.2,12.4,False,False
Tamil Nadu,Ariyalur,Marriage and Fertility,17,Men age 25-29 years married before age 21 years (%),*,*,True,False
Tamil Nadu,Ariyalur,Marriage and Fertility,18,Three or more births in the 5 years preceding the survey (%),0.8,0.5,False,False
Tamil Nadu,Ariyalur,Marriage and Fertility,19,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),6.2,11.5,False,False
Tamil Nadu,Ariyalur,Marriage and Fertility,20,Any method2 (%),62.9,61.4,False,False
Tamil Nadu,Ariyalur,Marriage and Fertility,21,Any modern method2 (%),59.4,60.2,False,False
Tamil Nadu,Ariyalur,Marriage and Fertility,22,Any traditional method (%),3.5,1.2,False,False
Tamil Nadu,Ariyalur,Marriage and Fertility,23,Female sterilization (%),45.3,49.6,False,False
Tamil Nadu,Ariyalur,Marriage and Fertility,24,Male sterilization (%),0.2,0.0,False,False
Tamil Nadu,Ariyalur,Marriage and Fertility,25,Total unmet need3 (%),8.3,7.0,False,False
Tamil Nadu,Ariyalur,Marriage and Fertility,26,Unmet need for spacing3 (%),4.3,3.1,False,False
Tamil Nadu,Ariyalur,Marriage and Fertility,27,Unmet need for limiting3 (%),4.0,3.9,False,False
Tamil Nadu,Ariyalur,Antenatal Care (for last birth in the 5 years before the survey),28,Mothers who had an antenatal check-up in the first trimester (%),67.0,65.0,False,False
Tamil Nadu,Ariyalur,Antenatal Care (for last birth in the 5 years before the survey),29,Mothers who had any antenatal care visits (%),86.7,97.8,False,False
Tamil Nadu,Ariyalur,Antenatal Care (for last birth in the 5 years before the survey),30,Mothers who had at least 4 antenatal care visits (%),85.8,91.4,False,False
Tamil Nadu,Ariyalur,Antenatal Care (for last birth in the 5 years before the survey),31,Mothers whose last birth was protected against neonatal tetanus4 (%),93.0,88.4,False,False
