state,district,category,indicator_no,indicator,nfhs6_value,nfhs5_value,small_sample_flag,boundary_change_single_round
West Bengal,Alipurduar,Population and Household Profile,1,Population below age 5 years (%),6.5,,False,True
West Bengal,Alipurduar,Population and Household Profile,2,Population below age 15 years (%),21.4,,False,True
West Bengal,Alipurduar,Population and Household Profile,3,Population age 60 years and above (%),13.8,,False,True
West Bengal,Alipurduar,Population and Household Profile,4,Population living in households with electricity (%),97.9,,False,True
West Bengal,Alipurduar,Population and Household Profile,5,Population living in households with an improved drinking-water source1 (%),97.2,,False,True
West Bengal,Alipurduar,Population and Household Profile,6,Households using iodized salt (%),95.3,,False,True
West Bengal,Alipurduar,Population and Household Profile,7,Households with any usual member covered under a health insurance/financing scheme (%),80.1,,False,True
West Bengal,Alipurduar,Population and Household Profile,8,Households with any usual member having a bank account/post office account (%),98.8,,False,True
West Bengal,Alipurduar,Population and Household Profile,9,Female population age 6 years and above who ever attended school (%),75.1,,False,True
West Bengal,Alipurduar,Population and Household Profile,10,Households with any usual female members owning a house and/or land (alone or jointly with others) (%),15.4,,False,True
West Bengal,Alipurduar,Population and Household Profile,11,Children age 2-4 years who attended pre-school (%),32.0,,False,True
West Bengal,Alipurduar,Characteristics of Adults (age 15-49 years),12,Women with 10 or more years of schooling (%),39.5,,False,True
West Bengal,Alipurduar,Characteristics of Adults (age 15-49 years),13,Men with 10 or more years of schooling (%),34.1,,False,True
West Bengal,Alipurduar,Characteristics of Adults (age 15-49 years),14,Women who have ever used the internet (%),42.9,,False,True
West Bengal,Alipurduar,Characteristics of Adults (age 15-49 years),15,Men who have ever used the internet (%),61.1,,False,True
West Bengal,Alipurduar,Marriage and Fertility,16,Women age 20-24 years married before age 18 years (%),22.7,,False,True
West Bengal,Alipurduar,Marriage and Fertility,17,Men age 25-29 years married before age 21 years (%),*,,True,True
West Bengal,Alipurduar,Marriage and Fertility,18,Three or more births in the 5 years preceding the survey (%),0.4,,False,True
West Bengal,Alipurduar,Marriage and Fertility,19,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),7.8,,False,True
West Bengal,Alipurduar,Marriage and Fertility,20,Any method2 (%),78.2,,False,True
West Bengal,Alipurduar,Marriage and Fertility,21,Any modern method2 (%),54.6,,False,True
West Bengal,Alipurduar,Marriage and Fertility,22,Any traditional method (%),23.6,,False,True
West Bengal,Alipurduar,Marriage and Fertility,23,Female sterilization (%),23.3,,False,True
West Bengal,Alipurduar,Marriage and Fertility,24,Male sterilization (%),2.1,,False,True
West Bengal,Alipurduar,Marriage and Fertility,25,Total unmet need3 (%),7.5,,False,True
West Bengal,Alipurduar,Marriage and Fertility,26,Unmet need for spacing3 (%),3.7,,False,True
West Bengal,Alipurduar,Marriage and Fertility,27,Unmet need for limiting3 (%),3.8,,False,True
West Bengal,Alipurduar,Antenatal Care (for last birth in the 5 years before the survey),28,Mothers who had an antenatal check-up in the first trimester (%),74.7,,False,True
West Bengal,Alipurduar,Antenatal Care (for last birth in the 5 years before the survey),29,Mothers who had any antenatal care visits (%),98.0,,False,True
West Bengal,Alipurduar,Antenatal Care (for last birth in the 5 years before the survey),30,Mothers who had at least 4 antenatal care visits (%),51.0,,False,True
West Bengal,Alipurduar,Antenatal Care (for last birth in the 5 years before the survey),31,Mothers whose last birth was protected against neonatal tetanus4 (%),85.9,,False,True
West Bengal,Alipurduar,Antenatal Care (for last birth in the 5 years before the survey),32,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),71.2,,False,True
West Bengal,Alipurduar,Antenatal Care (for last birth in the 5 years before the survey),33,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),41.0,,False,True
West Bengal,Alipurduar,Antenatal Care (for last birth in the 5 years before the survey),34,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),99.3,,False,True
West Bengal,Alipurduar,Delivery Care (for births in the 5 years before the survey),35,Institutional births (%),98.3,,False,True
West Bengal,Alipurduar,Delivery Care (for births in the 5 years before the survey),36,Institutional births in public facility (%),73.0,,False,True
West Bengal,Alipurduar,Delivery Care (for births in the 5 years before the survey),37,Births attended by skilled health personnel5 (%),99.2,,False,True
West Bengal,Alipurduar,Delivery Care (for births in the 5 years before the survey),38,Births delivered by caesarean section (%),47.5,,False,True
West Bengal,Alipurduar,Delivery Care (for births in the 5 years before the survey),39,Births in a private health facility that were delivered by caesarean section (%),90.3,,False,True
West Bengal,Alipurduar,Delivery Care (for births in the 5 years before the survey),40,Births in a public health facility that were delivered by caesarean section (%),33.8,,False,True
West Bengal,Alipurduar,Postnatal Care (for last birth in the 5 years before the survey),41,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery+ (%),78.1,,False,True
West Bengal,Alipurduar,Postnatal Care (for last birth in the 5 years before the survey),42,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,,True,True
West Bengal,Alipurduar,Postnatal Care (for last birth in the 5 years before the survey),43,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery+ (%),81.8,,False,True
West Bengal,Alipurduar,Child Vaccinations and Vitamin A Supplementation,44,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall6 (%),78.5,,True,True
West Bengal,Alipurduar,Child Vaccinations and Vitamin A Supplementation,45,Children age 12-23 months fully vaccinated based on information from vaccination card only7 (%),80.6,,True,True
West Bengal,Alipurduar,Child Vaccinations and Vitamin A Supplementation,46,Children age 12-23 months who have received any vaccine (%),100.0,,True,True
West Bengal,Alipurduar,Child Vaccinations and Vitamin A Supplementation,47,Children age 12-23 months who have received BCG (%),97.1,,True,True
West Bengal,Alipurduar,Child Vaccinations and Vitamin A Supplementation,48,Children age 12-23 months who have received 3 doses of polio vaccine8 (%),81.3,,True,True
West Bengal,Alipurduar,Child Vaccinations and Vitamin A Supplementation,49,Children age 12-23 months who have received 3 doses of pentavalent vaccine (%),97.3,,True,True
West Bengal,Alipurduar,Child Vaccinations and Vitamin A Supplementation,50,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),97.3,,True,True
West Bengal,Alipurduar,Child Vaccinations and Vitamin A Supplementation,51,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),72.5,,False,True
West Bengal,Alipurduar,Child Vaccinations and Vitamin A Supplementation,52,Children age 12-23 months who have received birth dose of hepatitis B vaccine (%),97.3,,True,True
West Bengal,Alipurduar,Child Vaccinations and Vitamin A Supplementation,53,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),97.3,,True,True
West Bengal,Alipurduar,Child Vaccinations and Vitamin A Supplementation,54,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),87.9,,False,True
West Bengal,Alipurduar,Child Vaccinations and Vitamin A Supplementation,55,Children age 12-23 months who received most of their vaccinations in a public health facility (%),100.0,,True,True
West Bengal,Alipurduar,Child Vaccinations and Vitamin A Supplementation,56,Children age 12-23 months who received most of their vaccinations in a private health facility (%),0.0,,True,True
West Bengal,Alipurduar,Treatment of Childhood Diseases (children under age 5 years),57,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),2.5,,False,True
West Bengal,Alipurduar,Treatment of Childhood Diseases (children under age 5 years),58,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),1.5,,False,True
West Bengal,Alipurduar,Treatment of Childhood Diseases (children under age 5 years),59,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),62.7,,True,True
West Bengal,Alipurduar,Child Feeding Practices and Nutritional Status of Children,60,Children under age 3 years breastfed within one hour of birth9 (%),76.7,,False,True
West Bengal,Alipurduar,Child Feeding Practices and Nutritional Status of Children,61,Children under age 6 months exclusively breastfed10 (%),*,,True,True
West Bengal,Alipurduar,Child Feeding Practices and Nutritional Status of Children,62,Children under age 6 months currently breastfeeding10 (%),*,,True,True
West Bengal,Alipurduar,Child Feeding Practices and Nutritional Status of Children,63,Children under age 6 months exclusively breastfed or breastfeeding and consuming plain water/other milk only10 (%),*,,True,True
West Bengal,Alipurduar,Child Feeding Practices and Nutritional Status of Children,64,Children age 6-8 months receiving solid or semi-solid food and breastmilk10 (%),*,,True,True
West Bengal,Alipurduar,Child Feeding Practices and Nutritional Status of Children,65,"Breastfeeding children age 6-23 months receiving an adequate diet10, 11 (%)",11.9,,False,True
West Bengal,Alipurduar,Child Feeding Practices and Nutritional Status of Children,66,"Non-breastfeeding children age 6-23 months receiving an adequate diet10, 11 (%)",*,,True,True
West Bengal,Alipurduar,Child Feeding Practices and Nutritional Status of Children,67,"Total children age 6-23 months receiving an adequate diet10, 11 (%)",11.3,,False,True
West Bengal,Alipurduar,Child Feeding Practices and Nutritional Status of Children,68,Children under 5 years who are stunted (height-for-age)12 (%),22.1,,False,True
West Bengal,Alipurduar,Child Feeding Practices and Nutritional Status of Children,69,Children under 5 years who are wasted (weight-for-height)12 (%),14.8,,False,True
West Bengal,Alipurduar,Child Feeding Practices and Nutritional Status of Children,70,Children under 5 years who are severely wasted (weight-for-height)13 (%),5.6,,False,True
West Bengal,Alipurduar,Child Feeding Practices and Nutritional Status of Children,71,Children under 5 years who are underweight (weight-for-age)12 (%),19.1,,False,True
West Bengal,Alipurduar,Child Feeding Practices and Nutritional Status of Children,72,Children under 5 years who are overweight (weight-for-height)14 (%),3.8,,False,True
