state,district,category,indicator_no,indicator,nfhs6_value,nfhs5_value,small_sample_flag,boundary_change_single_round
Jammu And Kashmir,Anantnag,Population and Household Profile,1,Population below age 5 years (%),8.3,6.3,False,False
Jammu And Kashmir,Anantnag,Population and Household Profile,2,Population below age 15 years (%),26.0,22.4,False,False
Jammu And Kashmir,Anantnag,Population and Household Profile,3,Population age 60 years and above (%),11.6,10.5,False,False
Jammu And Kashmir,Anantnag,Population and Household Profile,4,Population living in households with electricity (%),99.2,98.7,False,False
Jammu And Kashmir,Anantnag,Population and Household Profile,5,Population living in households with an improved drinking-water source1 (%),97.2,99.3,False,False
Jammu And Kashmir,Anantnag,Population and Household Profile,6,Households using iodized salt (%),93.6,98.3,False,False
Jammu And Kashmir,Anantnag,Population and Household Profile,7,Households with any usual member covered under a health insurance/financing scheme (%),98.3,7.6,False,False
Jammu And Kashmir,Anantnag,Population and Household Profile,8,Households with any usual member having a bank account/post office account (%),99.5,95.2,False,False
Jammu And Kashmir,Anantnag,Population and Household Profile,9,Female population age 6 years and above who ever attended school (%),66.9,65.5,False,False
Jammu And Kashmir,Anantnag,Population and Household Profile,10,Households with any usual female members owning a house and/or land (alone or jointly with others) (%),6.3,5.7,False,False
Jammu And Kashmir,Anantnag,Population and Household Profile,11,Children age 2-4 years who attended pre-school (%),31.5,27.2,False,False
Jammu And Kashmir,Anantnag,Characteristics of Adults (age 15-49 years),12,Women with 10 or more years of schooling (%),38.5,52.8,False,False
Jammu And Kashmir,Anantnag,Characteristics of Adults (age 15-49 years),13,Men with 10 or more years of schooling (%),51.9,64.9,False,False
Jammu And Kashmir,Anantnag,Characteristics of Adults (age 15-49 years),14,Women who have ever used the internet (%),59.1,45.3,False,False
Jammu And Kashmir,Anantnag,Characteristics of Adults (age 15-49 years),15,Men who have ever used the internet (%),62.0,72.5,False,False
Jammu And Kashmir,Anantnag,Marriage and Fertility,16,Women age 20-24 years married before age 18 years (%),4.2,2.5,False,False
Jammu And Kashmir,Anantnag,Marriage and Fertility,17,Men age 25-29 years married before age 21 years (%),6.5,*,True,False
Jammu And Kashmir,Anantnag,Marriage and Fertility,18,Three or more births in the 5 years preceding the survey (%),1.3,0.5,False,False
Jammu And Kashmir,Anantnag,Marriage and Fertility,19,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),2.0,0.7,False,False
Jammu And Kashmir,Anantnag,Marriage and Fertility,20,Any method2 (%),63.5,58.3,False,False
Jammu And Kashmir,Anantnag,Marriage and Fertility,21,Any modern method2 (%),39.7,57.3,False,False
Jammu And Kashmir,Anantnag,Marriage and Fertility,22,Any traditional method (%),23.8,1.0,False,False
Jammu And Kashmir,Anantnag,Marriage and Fertility,23,Female sterilization (%),14.5,15.3,False,False
Jammu And Kashmir,Anantnag,Marriage and Fertility,24,Male sterilization (%),0.0,0.0,False,False
Jammu And Kashmir,Anantnag,Marriage and Fertility,25,Total unmet need3 (%),8.4,7.8,False,False
Jammu And Kashmir,Anantnag,Marriage and Fertility,26,Unmet need for spacing3 (%),4.0,4.3,False,False
Jammu And Kashmir,Anantnag,Marriage and Fertility,27,Unmet need for limiting3 (%),4.4,3.5,False,False
Jammu And Kashmir,Anantnag,Antenatal Care (for last birth in the 5 years before the survey),28,Mothers who had an antenatal check-up in the first trimester (%),98.5,82.0,False,False
Jammu And Kashmir,Anantnag,Antenatal Care (for last birth in the 5 years before the survey),29,Mothers who had any antenatal care visits (%),99.4,96.5,False,False
Jammu And Kashmir,Anantnag,Antenatal Care (for last birth in the 5 years before the survey),30,Mothers who had at least 4 antenatal care visits (%),97.3,80.9,False,False
Jammu And Kashmir,Anantnag,Antenatal Care (for last birth in the 5 years before the survey),31,Mothers whose last birth was protected against neonatal tetanus4 (%),98.0,97.8,False,False
Jammu And Kashmir,Anantnag,Antenatal Care (for last birth in the 5 years before the survey),32,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),35.5,32.5,False,False
Jammu And Kashmir,Anantnag,Antenatal Care (for last birth in the 5 years before the survey),33,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),16.0,20.9,False,False
