state,district,category,indicator_no,indicator,nfhs6_value,nfhs5_value,small_sample_flag,boundary_change_single_round
Kerala,Alappuzha,Population and Household Profile,1,Population below age 5 years (%),4.2,5.0,False,False
Kerala,Alappuzha,Population and Household Profile,2,Population below age 15 years (%),16.8,16.6,False,False
Kerala,Alappuzha,Population and Household Profile,3,Population age 60 years and above (%),25.6,22.4,False,False
Kerala,Alappuzha,Population and Household Profile,4,Population living in households with electricity (%),99.5,99.9,False,False
Kerala,Alappuzha,Population and Household Profile,5,Population living in households with an improved drinking-water source1 (%),97.6,98.4,False,False
Kerala,Alappuzha,Population and Household Profile,6,Households using iodized salt (%),99.4,99.9,False,False
Kerala,Alappuzha,Population and Household Profile,7,Households with any usual member covered under a health insurance/financing scheme (%),62.5,68.9,False,False
Kerala,Alappuzha,Population and Household Profile,8,Households with any usual member having a bank account/post office account (%),98.5,97.4,False,False
Kerala,Alappuzha,Population and Household Profile,9,Female population age 6 years and above who ever attended school (%),98.2,97.8,False,False
Kerala,Alappuzha,Population and Household Profile,10,Households with any usual female members owning a house and/or land (alone or jointly with others) (%),35.9,26.2,False,False
Kerala,Alappuzha,Population and Household Profile,11,Children age 2-4 years who attended pre-school (%),58.6,69.6,False,False
Kerala,Alappuzha,Characteristics of Adults (age 15-49 years),12,Women with 10 or more years of schooling (%),93.4,78.8,False,False
Kerala,Alappuzha,Characteristics of Adults (age 15-49 years),13,Men with 10 or more years of schooling (%),88.6,82.4,False,False
Kerala,Alappuzha,Characteristics of Adults (age 15-49 years),14,Women who have ever used the internet (%),84.1,59.4,False,False
Kerala,Alappuzha,Characteristics of Adults (age 15-49 years),15,Men who have ever used the internet (%),95.3,83.4,False,False
Kerala,Alappuzha,Marriage and Fertility,16,Women age 20-24 years married before age 18 years (%),0.0,3.8,False,False
Kerala,Alappuzha,Marriage and Fertility,17,Men age 25-29 years married before age 21 years (%),*,*,True,False
Kerala,Alappuzha,Marriage and Fertility,18,Three or more births in the 5 years preceding the survey (%),0.0,0.6,False,False
Kerala,Alappuzha,Marriage and Fertility,19,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),0.0,2.9,False,False
Kerala,Alappuzha,Marriage and Fertility,20,Any method2 (%),73.1,61.5,False,False
Kerala,Alappuzha,Marriage and Fertility,21,Any modern method2 (%),61.8,56.9,False,False
Kerala,Alappuzha,Marriage and Fertility,22,Any traditional method (%),11.3,4.6,False,False
Kerala,Alappuzha,Marriage and Fertility,23,Female sterilization (%),49.8,49.6,False,False
Kerala,Alappuzha,Marriage and Fertility,24,Male sterilization (%),0.7,0.6,False,False
Kerala,Alappuzha,Marriage and Fertility,25,Total unmet need3 (%),6.5,12.3,False,False
Kerala,Alappuzha,Marriage and Fertility,26,Unmet need for spacing3 (%),4.0,6.0,False,False
Kerala,Alappuzha,Marriage and Fertility,27,Unmet need for limiting3 (%),2.5,6.3,False,False
Kerala,Alappuzha,Antenatal Care (for last birth in the 5 years before the survey),28,Mothers who had an antenatal check-up in the first trimester (%),81.4,85.1,False,False
Kerala,Alappuzha,Antenatal Care (for last birth in the 5 years before the survey),29,Mothers who had any antenatal care visits (%),96.2,75.1,False,False
Kerala,Alappuzha,Antenatal Care (for last birth in the 5 years before the survey),30,Mothers who had at least 4 antenatal care visits (%),96.2,65.7,False,False
Kerala,Alappuzha,Antenatal Care (for last birth in the 5 years before the survey),31,Mothers whose last birth was protected against neonatal tetanus4 (%),92.1,87.5,False,False
Kerala,Alappuzha,Antenatal Care (for last birth in the 5 years before the survey),32,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),91.4,61.0,False,False
Kerala,Alappuzha,Antenatal Care (for last birth in the 5 years before the survey),33,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),87.9,52.0,False,False
Kerala,Alappuzha,Antenatal Care (for last birth in the 5 years before the survey),34,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),93.6,96.4,False,False
Kerala,Alappuzha,Delivery Care (for births in the 5 years before the survey),35,Institutional births (%),100.0,99.4,False,False
Kerala,Alappuzha,Delivery Care (for births in the 5 years before the survey),36,Institutional births in public facility (%),46.1,49.0,False,False
Kerala,Alappuzha,Delivery Care (for births in the 5 years before the survey),37,Births attended by skilled health personnel5 (%),100.0,100.0,False,False
Kerala,Alappuzha,Delivery Care (for births in the 5 years before the survey),38,Births delivered by caesarean section (%),58.8,47.8,False,False
Kerala,Alappuzha,Delivery Care (for births in the 5 years before the survey),39,Births in a private health facility that were delivered by caesarean section (%),57.6,53.8,False,False
Kerala,Alappuzha,Delivery Care (for births in the 5 years before the survey),40,Births in a public health facility that were delivered by caesarean section (%),60.1,42.2,False,False
Kerala,Alappuzha,Postnatal Care (for last birth in the 5 years before the survey),41,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2,92.6,89.2,False,False
Kerala,Alappuzha,Postnatal Care (for last birth in the 5 years before the survey),42,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*,True,False
Kerala,Alappuzha,Postnatal Care (for last birth in the 5 years before the survey),43,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2,93.4,85.1,False,False
Kerala,Alappuzha,Child Vaccinations and Vitamin A Supplementation,44,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's,84.7,61.9,True,False
Kerala,Alappuzha,Child Vaccinations and Vitamin A Supplementation,45,Children age 12-23 months fully vaccinated based on information from vaccination card only7 (%),*,*,True,False
Kerala,Alappuzha,Child Vaccinations and Vitamin A Supplementation,46,Children age 12-23 months who have received any vaccine (%),95.5,100.0,True,False
Kerala,Alappuzha,Child Vaccinations and Vitamin A Supplementation,47,Children age 12-23 months who have received BCG (%),95.5,96.9,True,False
Kerala,Alappuzha,Child Vaccinations and Vitamin A Supplementation,48,Children age 12-23 months who have received 3 doses of polio vaccine8 (%),88.8,79.3,True,False
Kerala,Alappuzha,Child Vaccinations and Vitamin A Supplementation,49,Children age 12-23 months who have received 3 doses of pentavalent vaccine (%),87.7,76.8,True,False
Kerala,Alappuzha,Child Vaccinations and Vitamin A Supplementation,50,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),91.5,83.3,True,False
Kerala,Alappuzha,Child Vaccinations and Vitamin A Supplementation,51,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),91.0,49.4,True,False
Kerala,Alappuzha,Child Vaccinations and Vitamin A Supplementation,52,Children age 12-23 months who have received birth dose of hepatitis B vaccine (%),91.5,74.3,True,False
Kerala,Alappuzha,Child Vaccinations and Vitamin A Supplementation,53,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),77.9,8.7,True,False
Kerala,Alappuzha,Child Vaccinations and Vitamin A Supplementation,54,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),86.1,93.6,False,False
Kerala,Alappuzha,Child Vaccinations and Vitamin A Supplementation,55,Children age 12-23 months who received most of their vaccinations in a public health facility (%),96.0,100.0,True,False
Kerala,Alappuzha,Child Vaccinations and Vitamin A Supplementation,56,Children age 12-23 months who received most of their vaccinations in a private health facility (%),0.0,0.0,True,False
Kerala,Alappuzha,Treatment of Childhood Diseases (children under age 5 years),57,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),6.3,4.5,False,False
Kerala,Alappuzha,Treatment of Childhood Diseases (children under age 5 years),58,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),0.0,2.8,False,False
Kerala,Alappuzha,Treatment of Childhood Diseases (children under age 5 years),59,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or,74.1,79.9,True,False
Kerala,Alappuzha,Child Feeding Practices and Nutritional Status of Children,60,Children under age 3 years breastfed within one hour of birth9 (%),84.5,62.1,False,False
Kerala,Alappuzha,Child Feeding Practices and Nutritional Status of Children,61,Children under age 6 months exclusively breastfed10 (%),*,*,True,False
Kerala,Alappuzha,Child Feeding Practices and Nutritional Status of Children,62,Children under age 6 months currently breastfeeding10 (%),*,*,True,False
Kerala,Alappuzha,Child Feeding Practices and Nutritional Status of Children,63,Children under age 6 months exclusively breastfed or breastfeeding and consuming plain water/other,*,*,True,False
Kerala,Alappuzha,Child Feeding Practices and Nutritional Status of Children,64,Children age 6-8 months receiving solid or semi-solid food and breastmilk10 (%),*,*,True,False
Kerala,Alappuzha,Child Feeding Practices and Nutritional Status of Children,65,"Breastfeeding children age 6-23 months receiving an adequate diet10, 11 (%)",28.5,17.2,True,False
Kerala,Alappuzha,Child Feeding Practices and Nutritional Status of Children,66,"Non-breastfeeding children age 6-23 months receiving an adequate diet10, 11 (%)",*,*,True,False
Kerala,Alappuzha,Child Feeding Practices and Nutritional Status of Children,67,"Total children age 6-23 months receiving an adequate diet10, 11 (%)",33.5,17.9,True,False
Kerala,Alappuzha,Child Feeding Practices and Nutritional Status of Children,68,Children under 5 years who are stunted (height-for-age)12 (%),20.9,20.1,False,False
Kerala,Alappuzha,Child Feeding Practices and Nutritional Status of Children,69,Children under 5 years who are wasted (weight-for-height)12 (%),13.6,14.4,False,False
Kerala,Alappuzha,Child Feeding Practices and Nutritional Status of Children,70,Children under 5 years who are severely wasted (weight-for-height)13 (%),4.4,2.1,False,False
Kerala,Alappuzha,Child Feeding Practices and Nutritional Status of Children,71,Children under 5 years who are underweight (weight-for-age)12 (%),20.7,20.4,False,False
Kerala,Alappuzha,Child Feeding Practices and Nutritional Status of Children,72,Children under 5 years who are overweight (weight-for-height)14 (%),1.0,4.5,False,False
Kerala,Alappuzha,Nutritional Status of Adults (age 15-49 years),73,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)15 (%),11.0,14.3,False,False
Kerala,Alappuzha,Nutritional Status of Adults (age 15-49 years),74,Women who are overweight or obese (BMI ≥25.0 kg/m2)15 (%),45.6,41.9,False,False
Kerala,Alappuzha,Women,75,Blood sugar level - high (141-160 mg/dl)16 (%),10.1,9.4,False,False
Kerala,Alappuzha,Women,76,Blood sugar level - very high (>160 mg/dl)16 (%),18.3,12.4,False,False
Kerala,Alappuzha,Women,77,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level16 (%),32.5,25.2,False,False
Kerala,Alappuzha,Men,78,Blood sugar level - high (141-160 mg/dl)16 (%),8.8,8.2,False,False
Kerala,Alappuzha,Men,79,Blood sugar level - very high (>160 mg/dl)16 (%),18.5,14.6,False,False
Kerala,Alappuzha,Men,80,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level16 (%),32.0,25.4,False,False
Kerala,Alappuzha,Women,81,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),14.1,14.9,False,False
Kerala,Alappuzha,Women,82,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm,7.6,6.3,False,False
Kerala,Alappuzha,Women,83,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to,36.8,32.1,False,False
Kerala,Alappuzha,Men,84,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),17.9,20.5,False,False
Kerala,Alappuzha,Men,85,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm,7.1,7.7,False,False
Kerala,Alappuzha,Men,86,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to,35.8,36.2,False,False
