state,district,category,indicator_no,indicator,nfhs6_value,nfhs5_value,small_sample_flag,boundary_change_single_round
Ladakh,Kargil,Population and Household Profile,1,Population below age 5 years (%),7.6,6.0,False,False
Ladakh,Kargil,Population and Household Profile,2,Population below age 15 years (%),29.5,24.5,False,False
Ladakh,Kargil,Population and Household Profile,3,Population age 60 years and above (%),11.5,8.0,False,False
Ladakh,Kargil,Population and Household Profile,4,Population living in households with electricity (%),99.8,99.1,False,False
Ladakh,Kargil,Population and Household Profile,5,Population living in households with an improved drinking-water source1 (%),97.0,90.2,False,False
Ladakh,Kargil,Population and Household Profile,6,Households using iodized salt (%),98.8,98.6,False,False
Ladakh,Kargil,Population and Household Profile,7,Households with any usual member covered under a health insurance/financing scheme (%),97.6,16.3,False,False
Ladakh,Kargil,Population and Household Profile,8,Households with any usual member having a bank account/post office account (%),99.5,94.9,False,False
Ladakh,Kargil,Population and Household Profile,9,Female population age 6 years and above who ever attended school (%),70.9,69.6,False,False
Ladakh,Kargil,Population and Household Profile,10,Households with any usual female members owning a house and/or land (alone or jointly with others) (%),6.0,3.4,False,False
Ladakh,Kargil,Population and Household Profile,11,Children age 2-4 years who attended pre-school (%),51.7,21.7,False,False
Ladakh,Kargil,Characteristics of Adults (age 15-49 years),12,Women with 10 or more years of schooling (%),54.8,50.3,False,False
Ladakh,Kargil,Characteristics of Adults (age 15-49 years),13,Men with 10 or more years of schooling (%),67.6,75.6,False,False
Ladakh,Kargil,Characteristics of Adults (age 15-49 years),14,Women who have ever used the internet (%),70.3,49.5,False,False
Ladakh,Kargil,Characteristics of Adults (age 15-49 years),15,Men who have ever used the internet (%),82.8,63.2,False,False
Ladakh,Kargil,Marriage and Fertility,16,Women age 20-24 years married before age 18 years (%),5.3,2.5,False,False
Ladakh,Kargil,Marriage and Fertility,17,Men age 25-29 years married before age 21 years (%),7.1,16.7,True,False
Ladakh,Kargil,Marriage and Fertility,18,Three or more births in the 5 years preceding the survey (%),1.3,0.4,False,False
Ladakh,Kargil,Marriage and Fertility,19,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),0.9,0.0,False,False
Ladakh,Kargil,Marriage and Fertility,20,Any method2 (%),66.4,46.9,False,False
Ladakh,Kargil,Marriage and Fertility,21,Any modern method2 (%),55.4,41.6,False,False
Ladakh,Kargil,Marriage and Fertility,22,Any traditional method (%),11.0,5.3,False,False
Ladakh,Kargil,Marriage and Fertility,23,Female sterilization (%),14.3,14.1,False,False
Ladakh,Kargil,Marriage and Fertility,24,Male sterilization (%),0.1,0.3,False,False
Ladakh,Kargil,Marriage and Fertility,25,Total unmet need3 (%),9.5,8.8,False,False
Ladakh,Kargil,Marriage and Fertility,26,Unmet need for spacing3 (%),6.0,4.9,False,False
Ladakh,Kargil,Marriage and Fertility,27,Unmet need for limiting3 (%),3.5,3.9,False,False
Ladakh,Kargil,Antenatal Care (for last birth in the 5 years before the survey),28,Mothers who had an antenatal check-up in the first trimester (%),96.9,91.0,False,False
Ladakh,Kargil,Antenatal Care (for last birth in the 5 years before the survey),29,Mothers who had any antenatal care visits (%),96.0,95.0,False,False
Ladakh,Kargil,Antenatal Care (for last birth in the 5 years before the survey),30,Mothers who had at least 4 antenatal care visits (%),92.0,88.0,False,False
Ladakh,Kargil,Antenatal Care (for last birth in the 5 years before the survey),31,Mothers whose last birth was protected against neonatal tetanus4 (%),96.0,93.5,False,False
Ladakh,Kargil,Antenatal Care (for last birth in the 5 years before the survey),32,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),30.2,19.6,False,False
