state,district,category,indicator_no,indicator,nfhs6_value,nfhs5_value,small_sample_flag,boundary_change_single_round
Lakshadweep,Lakshadweep,Population and Household Profile,1,Population below age 5 years (%),8.9,6.5,False,False
Lakshadweep,Lakshadweep,Population and Household Profile,2,Population below age 15 years (%),25.7,22.3,False,False
Lakshadweep,Lakshadweep,Population and Household Profile,3,Population age 60 years and above (%),12.8,12.9,False,False
Lakshadweep,Lakshadweep,Population and Household Profile,4,Population living in households with electricity (%),99.8,99.8,False,False
Lakshadweep,Lakshadweep,Population and Household Profile,5,Population living in households with an improved drinking-water source1 (%),88.4,92.9,False,False
Lakshadweep,Lakshadweep,Population and Household Profile,6,Households using iodized salt (%),99.6,96.7,False,False
Lakshadweep,Lakshadweep,Population and Household Profile,7,Households with any usual member covered under a health insurance/financing scheme (%),45.1,67.7,False,False
Lakshadweep,Lakshadweep,Population and Household Profile,8,Households with any usual member having a bank account/post office account (%),98.1,96.3,False,False
Lakshadweep,Lakshadweep,Population and Household Profile,9,Female population age 6 years and above who ever attended school (%),96.2,93.0,False,False
Lakshadweep,Lakshadweep,Population and Household Profile,10,Households with any usual female members owning a house and/or land (alone or jointly with,53.6,48.0,False,False
Lakshadweep,Lakshadweep,Population and Household Profile,11,Children age 2-4 years who attended pre-school (%),70.8,56.1,False,False
Lakshadweep,Lakshadweep,Characteristics of Adults (age 15-49 years),12,Women with 10 or more years of schooling (%),78.1,67.8,False,False
Lakshadweep,Lakshadweep,Characteristics of Adults (age 15-49 years),13,Men with 10 or more years of schooling (%),88.5,80.9,False,False
Lakshadweep,Lakshadweep,Characteristics of Adults (age 15-49 years),14,Women who have ever used the internet (%),77.9,56.3,False,False
Lakshadweep,Lakshadweep,Characteristics of Adults (age 15-49 years),15,Men who have ever used the internet (%),91.4,80.3,False,False
Lakshadweep,Lakshadweep,Marriage and Fertility,16,Women age 20-24 years married before age 18 years (%),2.9,1.3,False,False
Lakshadweep,Lakshadweep,Marriage and Fertility,17,Men age 25-29 years married before age 21 years (%),*,*,True,False
Lakshadweep,Lakshadweep,Marriage and Fertility,18,Total fertility rate (children per woman),2.2,1.4,False,False
Lakshadweep,Lakshadweep,Marriage and Fertility,19,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),3.4,1.1,False,False
Lakshadweep,Lakshadweep,Marriage and Fertility,20,Any method2 (%),53.7,52.6,False,False
Lakshadweep,Lakshadweep,Marriage and Fertility,21,Any modern method2 (%),23.8,30.1,False,False
Lakshadweep,Lakshadweep,Marriage and Fertility,22,Any traditional method (%),29.9,22.5,False,False
Lakshadweep,Lakshadweep,Marriage and Fertility,23,Female sterilization (%),12.5,20.7,False,False
Lakshadweep,Lakshadweep,Marriage and Fertility,24,Male sterilization (%),0.1,0.0,False,False
Lakshadweep,Lakshadweep,Marriage and Fertility,25,Total unmet need3 (%),8.7,12.3,False,False
Lakshadweep,Lakshadweep,Marriage and Fertility,26,Unmet need for spacing3 (%),7.5,8.1,False,False
Lakshadweep,Lakshadweep,Marriage and Fertility,27,Unmet need for limiting3 (%),1.2,4.2,False,False
