state,district,category,indicator_no,indicator,nfhs6_value,nfhs5_value,small_sample_flag,boundary_change_single_round
Madhya Pradesh,Agar Malwa,Population and Household Profile,1,Population below age 5 years (%),8.1,5.4,False,False
Madhya Pradesh,Agar Malwa,Population and Household Profile,2,Population below age 15 years (%),23.7,23.6,False,False
Madhya Pradesh,Agar Malwa,Population and Household Profile,3,Population age 60 years and above (%),13.1,12.9,False,False
Madhya Pradesh,Agar Malwa,Population and Household Profile,4,Population living in households with electricity (%),99.7,99.5,False,False
Madhya Pradesh,Agar Malwa,Population and Household Profile,5,Population living in households with an improved drinking-water source1 (%),76.6,81.4,False,False
Madhya Pradesh,Agar Malwa,Population and Household Profile,6,Households using iodized salt (%),98.6,99.9,False,False
Madhya Pradesh,Agar Malwa,Population and Household Profile,7,Households with any usual member covered under a health insurance/financing scheme (%),74.7,58.9,False,False
Madhya Pradesh,Agar Malwa,Population and Household Profile,8,Households with any usual member having a bank account/post office account (%),99.2,96.7,False,False
Madhya Pradesh,Agar Malwa,Population and Household Profile,9,Female population age 6 years and above who ever attended school (%),62.5,56.3,False,False
Madhya Pradesh,Agar Malwa,Population and Household Profile,10,Households with any usual female members owning a house and/or land (alone or jointly with others) (%),10.3,9.3,False,False
Madhya Pradesh,Agar Malwa,Population and Household Profile,11,Children age 2-4 years who attended pre-school (%),33.3,26.1,False,False
Madhya Pradesh,Agar Malwa,Characteristics of Adults (age 15-49 years),12,Women with 10 or more years of schooling (%),25.8,19.3,False,False
Madhya Pradesh,Agar Malwa,Characteristics of Adults (age 15-49 years),13,Men with 10 or more years of schooling (%),43.7,26.7,False,False
Madhya Pradesh,Agar Malwa,Characteristics of Adults (age 15-49 years),14,Women who have ever used the internet (%),50.9,16.0,False,False
Madhya Pradesh,Agar Malwa,Characteristics of Adults (age 15-49 years),15,Men who have ever used the internet (%),87.1,70.3,False,False
Madhya Pradesh,Agar Malwa,Marriage and Fertility,16,Women age 20-24 years married before age 18 years (%),49.4,35.6,False,False
Madhya Pradesh,Agar Malwa,Marriage and Fertility,17,Men age 25-29 years married before age 21 years (%),*,*,True,False
Madhya Pradesh,Agar Malwa,Marriage and Fertility,18,Three or more births in the 5 years preceding the survey (%),0.8,0.6,False,False
Madhya Pradesh,Agar Malwa,Marriage and Fertility,19,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),10.1,5.3,False,False
Madhya Pradesh,Agar Malwa,Marriage and Fertility,20,Any method2 (%),72.9,78.2,False,False
Madhya Pradesh,Agar Malwa,Marriage and Fertility,21,Any modern method2 (%),62.2,73.0,False,False
Madhya Pradesh,Agar Malwa,Marriage and Fertility,22,Any traditional method (%),10.7,5.2,False,False
Madhya Pradesh,Agar Malwa,Marriage and Fertility,23,Female sterilization (%),48.0,64.0,False,False
Madhya Pradesh,Agar Malwa,Marriage and Fertility,24,Male sterilization (%),0.4,0.0,False,False
