state,district,category,indicator_no,indicator,nfhs6_value,nfhs5_value,small_sample_flag,boundary_change_single_round
Maharashtra,Ahmednagar,Population and Household Profile,1,Population below age 5 years (%),6.6,6.5,False,False
Maharashtra,Ahmednagar,Population and Household Profile,2,Population below age 15 years (%),21.3,23.0,False,False
Maharashtra,Ahmednagar,Population and Household Profile,3,Population age 60 years and above (%),16.8,15.5,False,False
Maharashtra,Ahmednagar,Population and Household Profile,4,Population living in households with electricity (%),98.5,94.5,False,False
Maharashtra,Ahmednagar,Population and Household Profile,5,Population living in households with an improved drinking-water source1 (%),86.7,90.0,False,False
Maharashtra,Ahmednagar,Population and Household Profile,6,Households using iodized salt (%),99.2,95.5,False,False
Maharashtra,Ahmednagar,Population and Household Profile,7,Households with any usual member covered under a health insurance/financing scheme (%),35.2,14.3,False,False
Maharashtra,Ahmednagar,Population and Household Profile,8,Households with any usual member having a bank account/post office account (%),98.7,96.7,False,False
Maharashtra,Ahmednagar,Population and Household Profile,9,Female population age 6 years and above who ever attended school (%),79.2,77.4,False,False
Maharashtra,Ahmednagar,Population and Household Profile,10,Households with any usual female members owning a house and/or land (alone or jointly with others) (%),17.8,15.5,False,False
Maharashtra,Ahmednagar,Population and Household Profile,11,Children age 2-4 years who attended pre-school (%),66.0,69.6,False,False
Maharashtra,Ahmednagar,Characteristics of Adults (age 15-49 years),12,Women with 10 or more years of schooling (%),52.2,45.7,False,False
Maharashtra,Ahmednagar,Characteristics of Adults (age 15-49 years),13,Men with 10 or more years of schooling (%),68.3,59.4,False,False
Maharashtra,Ahmednagar,Characteristics of Adults (age 15-49 years),14,Women who have ever used the internet (%),58.1,32.7,False,False
Maharashtra,Ahmednagar,Characteristics of Adults (age 15-49 years),15,Men who have ever used the internet (%),91.9,50.7,False,False
Maharashtra,Ahmednagar,Marriage and Fertility,16,Women age 20-24 years married before age 18 years (%),28.6,26.9,False,False
Maharashtra,Ahmednagar,Marriage and Fertility,17,Men age 25-29 years married before age 21 years (%),*,*,True,False
Maharashtra,Ahmednagar,Marriage and Fertility,18,Three or more births in the 5 years preceding the survey (%),6.5,0.7,False,False
Maharashtra,Ahmednagar,Marriage and Fertility,19,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),13.1,10.8,False,False
Maharashtra,Ahmednagar,Marriage and Fertility,20,Any method2 (%),76.0,69.5,False,False
Maharashtra,Ahmednagar,Marriage and Fertility,21,Any modern method2 (%),71.6,67.4,False,False
Maharashtra,Ahmednagar,Marriage and Fertility,22,Any traditional method (%),4.4,2.1,False,False
Maharashtra,Ahmednagar,Marriage and Fertility,23,Female sterilization (%),57.6,56.6,False,False
Maharashtra,Ahmednagar,Marriage and Fertility,24,Male sterilization (%),0.1,0.0,False,False
Maharashtra,Ahmednagar,Marriage and Fertility,25,Total unmet need3 (%),7.1,8.3,False,False
Maharashtra,Ahmednagar,Marriage and Fertility,26,Unmet need for spacing3 (%),3.7,2.5,False,False
Maharashtra,Ahmednagar,Marriage and Fertility,27,Unmet need for limiting3 (%),3.4,5.8,False,False
Maharashtra,Ahmednagar,Antenatal Care (for last birth in the 5 years before the survey),28,Mothers who had an antenatal check-up in the first trimester (%),82.2,71.4,False,False
Maharashtra,Ahmednagar,Antenatal Care (for last birth in the 5 years before the survey),29,Mothers who had any antenatal care visits (%),88.7,91.8,False,False
Maharashtra,Ahmednagar,Antenatal Care (for last birth in the 5 years before the survey),30,Mothers who had at least 4 antenatal care visits (%),67.1,76.6,False,False
Maharashtra,Ahmednagar,Antenatal Care (for last birth in the 5 years before the survey),31,Mothers whose last birth was protected against neonatal tetanus4 (%),80.1,91.2,False,False
Maharashtra,Ahmednagar,Antenatal Care (for last birth in the 5 years before the survey),32,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),66.4,53.3,False,False
Maharashtra,Ahmednagar,Antenatal Care (for last birth in the 5 years before the survey),33,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),49.8,32.0,False,False
Maharashtra,Ahmednagar,Antenatal Care (for last birth in the 5 years before the survey),34,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),100.0,94.4,False,False
Maharashtra,Ahmednagar,Delivery Care (for births in the 5 years before the survey),35,Institutional births (%),99.1,97.9,False,False
Maharashtra,Ahmednagar,Delivery Care (for births in the 5 years before the survey),36,Institutional births in public facility (%),38.8,45.5,False,False
Maharashtra,Ahmednagar,Delivery Care (for births in the 5 years before the survey),37,Births attended by skilled health personnel5 (%),97.3,95.0,False,False
Maharashtra,Ahmednagar,Delivery Care (for births in the 5 years before the survey),38,Births delivered by caesarean section (%),32.3,28.1,False,False
Maharashtra,Ahmednagar,Delivery Care (for births in the 5 years before the survey),39,Births in a private health facility that were delivered by caesarean section (%),38.4,33.7,False,False
Maharashtra,Ahmednagar,Delivery Care (for births in the 5 years before the survey),40,Births in a public health facility that were delivered by caesarean section (%),23.5,23.0,False,False
Maharashtra,Ahmednagar,Postnatal Care (for last birth in the 5 years before the survey),41,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2,86.8,90.9,False,False
Maharashtra,Ahmednagar,Postnatal Care (for last birth in the 5 years before the survey),42,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*,True,False
Maharashtra,Ahmednagar,Postnatal Care (for last birth in the 5 years before the survey),43,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2,87.3,92.9,False,False
Maharashtra,Ahmednagar,Child Vaccinations and Vitamin A Supplementation,44,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's,89.7,83.5,True,False
Maharashtra,Ahmednagar,Child Vaccinations and Vitamin A Supplementation,45,Children age 12-23 months fully vaccinated based on information from vaccination card only7 (%),95.9,88.3,True,False
Maharashtra,Ahmednagar,Child Vaccinations and Vitamin A Supplementation,46,Children age 12-23 months who have received any vaccine (%),100.0,96.6,True,False
Maharashtra,Ahmednagar,Child Vaccinations and Vitamin A Supplementation,47,Children age 12-23 months who have received BCG (%),97.2,96.6,True,False
Maharashtra,Ahmednagar,Child Vaccinations and Vitamin A Supplementation,48,Children age 12-23 months who have received 3 doses of polio vaccine8 (%),91.4,87.6,True,False
Maharashtra,Ahmednagar,Child Vaccinations and Vitamin A Supplementation,49,Children age 12-23 months who have received 3 doses of pentavalent vaccine (%),93.4,92.6,True,False
Maharashtra,Ahmednagar,Child Vaccinations and Vitamin A Supplementation,50,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),93.4,93.8,True,False
Maharashtra,Ahmednagar,Child Vaccinations and Vitamin A Supplementation,51,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),69.3,62.6,True,False
Maharashtra,Ahmednagar,Child Vaccinations and Vitamin A Supplementation,52,Children age 12-23 months who have received birth dose of hepatitis B vaccine (%),68.4,50.1,True,False
Maharashtra,Ahmednagar,Child Vaccinations and Vitamin A Supplementation,53,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),83.6,4.4,True,False
Maharashtra,Ahmednagar,Child Vaccinations and Vitamin A Supplementation,54,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),78.6,69.9,False,False
Maharashtra,Ahmednagar,Child Vaccinations and Vitamin A Supplementation,55,Children age 12-23 months who received most of their vaccinations in a public health facility (%),100.0,93.1,True,False
Maharashtra,Ahmednagar,Child Vaccinations and Vitamin A Supplementation,56,Children age 12-23 months who received most of their vaccinations in a private health facility (%),0.0,6.9,True,False
Maharashtra,Ahmednagar,Treatment of Childhood Diseases (children under age 5 years),57,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),6.0,15.9,False,False
Maharashtra,Ahmednagar,Treatment of Childhood Diseases (children under age 5 years),58,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),0.7,2.7,False,False
Maharashtra,Ahmednagar,Treatment of Childhood Diseases (children under age 5 years),59,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or,85.6,84.2,True,False
Maharashtra,Ahmednagar,Child Feeding Practices and Nutritional Status of Children,60,Children under age 3 years breastfed within one hour of birth9 (%),34.2,50.5,False,False
Maharashtra,Ahmednagar,Child Feeding Practices and Nutritional Status of Children,61,Children under age 6 months exclusively breastfed10 (%),22.9,*,True,False
Maharashtra,Ahmednagar,Child Feeding Practices and Nutritional Status of Children,62,Children under age 6 months currently breastfeeding10 (%),29.9,*,True,False
Maharashtra,Ahmednagar,Child Feeding Practices and Nutritional Status of Children,63,Children under age 6 months exclusively breastfed or breastfeeding and consuming plain water/other,23.0,*,True,False
Maharashtra,Ahmednagar,Child Feeding Practices and Nutritional Status of Children,64,Children age 6-8 months receiving solid or semi-solid food and breastmilk10 (%),*,*,True,False
Maharashtra,Ahmednagar,Child Feeding Practices and Nutritional Status of Children,65,"Breastfeeding children age 6-23 months receiving an adequate diet10, 11 (%)",1.5,11.6,False,False
Maharashtra,Ahmednagar,Child Feeding Practices and Nutritional Status of Children,66,"Non-breastfeeding children age 6-23 months receiving an adequate diet10, 11 (%)",*,*,True,False
Maharashtra,Ahmednagar,Child Feeding Practices and Nutritional Status of Children,67,"Total children age 6-23 months receiving an adequate diet10, 11 (%)",2.7,9.8,False,False
Maharashtra,Ahmednagar,Child Feeding Practices and Nutritional Status of Children,68,Children under 5 years who are stunted (height-for-age)12 (%),27.8,31.7,False,False
Maharashtra,Ahmednagar,Child Feeding Practices and Nutritional Status of Children,69,Children under 5 years who are wasted (weight-for-height)12 (%),19.9,24.9,False,False
Maharashtra,Ahmednagar,Child Feeding Practices and Nutritional Status of Children,70,Children under 5 years who are severely wasted (weight-for-height)13 (%),6.8,8.6,False,False
Maharashtra,Ahmednagar,Child Feeding Practices and Nutritional Status of Children,71,Children under 5 years who are underweight (weight-for-age)12 (%),25.7,41.2,False,False
Maharashtra,Ahmednagar,Child Feeding Practices and Nutritional Status of Children,72,Children under 5 years who are overweight (weight-for-height)14 (%),2.8,1.8,False,False
Maharashtra,Ahmednagar,Nutritional Status of Adults (age 15-49 years),73,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)15 (%),17.0,21.5,False,False
Maharashtra,Ahmednagar,Nutritional Status of Adults (age 15-49 years),74,Women who are overweight or obese (BMI ≥25.0 kg/m2)15 (%),27.0,23.0,False,False
Maharashtra,Ahmednagar,Women,75,Blood sugar level - high (141-160 mg/dl)16 (%),7.4,5.0,False,False
Maharashtra,Ahmednagar,Women,76,Blood sugar level - very high (>160 mg/dl)16 (%),5.9,4.4,False,False
Maharashtra,Ahmednagar,Women,77,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level16 (%),14.0,11.0,False,False
Maharashtra,Ahmednagar,Men,78,Blood sugar level - high (141-160 mg/dl)16 (%),8.1,5.4,False,False
Maharashtra,Ahmednagar,Men,79,Blood sugar level - very high (>160 mg/dl)16 (%),8.4,5.2,False,False
Maharashtra,Ahmednagar,Men,80,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level16 (%),17.5,12.5,False,False
Maharashtra,Ahmednagar,Women,81,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),12.2,13.3,False,False
Maharashtra,Ahmednagar,Women,82,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm,6.7,5.1,False,False
Maharashtra,Ahmednagar,Women,83,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to,22.5,23.6,False,False
Maharashtra,Ahmednagar,Men,84,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),16.9,16.0,False,False
Maharashtra,Ahmednagar,Men,85,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm,6.1,6.3,False,False
Maharashtra,Ahmednagar,Men,86,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to,26.1,25.3,False,False
Maharashtra,Ahmednagar,Men,87,Women having a bank or savings account that they themselves use (%),81.9,71.7,False,False
Maharashtra,Ahmednagar,Men,88,Women having a mobile phone that they themselves use (%),61.1,44.2,False,False
Maharashtra,Ahmednagar,Men,89,Women age 15-24 years who use hygienic methods of protection during their menstrual period17 (%),90.5,85.1,False,False
Maharashtra,Ahmednagar,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),90,Women age 15 years and above who use any kind of tobacco (%),9.0,14.7,False,False
Maharashtra,Ahmednagar,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),91,Men age 15 years and above who use any kind of tobacco (%),31.0,37.7,False,False
Maharashtra,Ahmednagar,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),92,Women age 15 years and above who consume alcohol (%),0.0,0.2,False,False
Maharashtra,Ahmednagar,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),93,Men age 15 years and above who consume alcohol (%),8.2,10.5,False,False
Maharashtra,Akola,Population and Household Profile,1,Population below age 5 years (%),7.4,8.2,False,False
Maharashtra,Akola,Population and Household Profile,2,Population below age 15 years (%),22.0,23.5,False,False
Maharashtra,Akola,Population and Household Profile,3,Population age 60 years and above (%),15.5,13.3,False,False
Maharashtra,Akola,Population and Household Profile,4,Population living in households with electricity (%),99.0,97.6,False,False
Maharashtra,Akola,Population and Household Profile,5,Population living in households with an improved drinking-water source1 (%),97.2,95.1,False,False
Maharashtra,Akola,Population and Household Profile,6,Households using iodized salt (%),99.0,95.2,False,False
Maharashtra,Akola,Population and Household Profile,7,Households with any usual member covered under a health insurance/financing scheme (%),34.4,45.0,False,False
Maharashtra,Akola,Population and Household Profile,8,Households with any usual member having a bank account/post office account (%),97.1,96.7,False,False
Maharashtra,Akola,Population and Household Profile,9,Female population age 6 years and above who ever attended school (%),85.6,86.3,False,False
Maharashtra,Akola,Population and Household Profile,10,Households with any usual female members owning a house and/or land (alone or jointly with others) (%),22.4,17.4,False,False
Maharashtra,Akola,Population and Household Profile,11,Children age 2-4 years who attended pre-school (%),58.0,71.1,False,False
Maharashtra,Akola,Characteristics of Adults (age 15-49 years),12,Women with 10 or more years of schooling (%),58.2,52.7,False,False
Maharashtra,Akola,Characteristics of Adults (age 15-49 years),13,Men with 10 or more years of schooling (%),65.3,45.4,False,False
Maharashtra,Akola,Characteristics of Adults (age 15-49 years),14,Women who have ever used the internet (%),60.5,20.8,False,False
Maharashtra,Akola,Characteristics of Adults (age 15-49 years),15,Men who have ever used the internet (%),90.7,46.4,False,False
Maharashtra,Akola,Marriage and Fertility,16,Women age 20-24 years married before age 18 years (%),17.2,13.5,False,False
Maharashtra,Akola,Marriage and Fertility,17,Men age 25-29 years married before age 21 years (%),*,2.7,True,False
Maharashtra,Akola,Marriage and Fertility,18,Three or more births in the 5 years preceding the survey (%),0.4,2.0,False,False
Maharashtra,Akola,Marriage and Fertility,19,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),4.8,5.7,False,False
Maharashtra,Akola,Marriage and Fertility,20,Any method2 (%),77.6,77.0,False,False
Maharashtra,Akola,Marriage and Fertility,21,Any modern method2 (%),69.0,72.8,False,False
Maharashtra,Akola,Marriage and Fertility,22,Any traditional method (%),8.6,4.2,False,False
Maharashtra,Akola,Marriage and Fertility,23,Female sterilization (%),40.0,48.6,False,False
