state,district,category,indicator_no,indicator,nfhs6_value,nfhs5_value,small_sample_flag,boundary_change_single_round
Mizoram,Aizawl,Population and Household Profile,1,Population below age 5 years (%),6.5,7.1,False,False
Mizoram,Aizawl,Population and Household Profile,2,Population below age 15 years (%),22.9,25.1,False,False
Mizoram,Aizawl,Population and Household Profile,3,Population age 60 years and above (%),12.2,9.9,False,False
Mizoram,Aizawl,Population and Household Profile,4,Population living in households with electricity (%),99.8,99.7,False,False
Mizoram,Aizawl,Population and Household Profile,5,Population living in households with an improved drinking-water source1 (%),98.7,98.3,False,False
Mizoram,Aizawl,Population and Household Profile,6,Households using iodized salt (%),99.6,99.2,False,False
Mizoram,Aizawl,Population and Household Profile,7,Households with any usual member covered under a health insurance/financing scheme (%),47.2,41.4,False,False
Mizoram,Aizawl,Population and Household Profile,8,Households with any usual member having a bank account/post office account (%),96.9,95.2,False,False
Mizoram,Aizawl,Population and Household Profile,9,Female population age 6 years and above who ever attended school (%),99.2,97.8,False,False
Mizoram,Aizawl,Population and Household Profile,10,Households with any usual female members owning a house and/or land (alone or jointly with others) (%),15.0,13.3,False,False
Mizoram,Aizawl,Population and Household Profile,11,Children age 2-4 years who attended pre-school (%),42.5,39.8,False,False
Mizoram,Aizawl,Characteristics of Adults (age 15-49 years),12,Women with 10 or more years of schooling (%),66.5,60.7,False,False
Mizoram,Aizawl,Characteristics of Adults (age 15-49 years),13,Men with 10 or more years of schooling (%),64.1,57.1,False,False
Mizoram,Aizawl,Characteristics of Adults (age 15-49 years),14,Women who have ever used the internet (%),92.8,81.4,False,False
Mizoram,Aizawl,Characteristics of Adults (age 15-49 years),15,Men who have ever used the internet (%),98.1,91.1,False,False
Mizoram,Aizawl,Marriage and Fertility,16,Women age 20-24 years married before age 18 years (%),5.2,3.2,False,False
Mizoram,Aizawl,Marriage and Fertility,17,Men age 25-29 years married before age 21 years (%),*,6.5,True,False
Mizoram,Aizawl,Marriage and Fertility,18,Three or more births in the 5 years preceding the survey (%),0.8,0.9,False,False
Mizoram,Aizawl,Marriage and Fertility,19,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),4.7,2.0,False,False
Mizoram,Aizawl,Marriage and Fertility,20,Any method2 (%),61.3,21.6,False,False
Mizoram,Aizawl,Marriage and Fertility,21,Any modern method2 (%),56.3,21.0,False,False
Mizoram,Aizawl,Marriage and Fertility,22,Any traditional method (%),5.0,0.6,False,False
Mizoram,Aizawl,Marriage and Fertility,23,Female sterilization (%),29.2,6.9,False,False
Mizoram,Aizawl,Marriage and Fertility,24,Male sterilization (%),0.0,0.0,False,False
Mizoram,Aizawl,Marriage and Fertility,25,Total unmet need3 (%),10.9,24.0,False,False
Mizoram,Aizawl,Marriage and Fertility,26,Unmet need for spacing3 (%),9.6,14.0,False,False
Mizoram,Aizawl,Marriage and Fertility,27,Unmet need for limiting3 (%),1.3,10.0,False,False
Mizoram,Aizawl,Antenatal Care (for last birth in the 5 years before the survey),28,Mothers who had an antenatal check-up in the first trimester (%),81.0,82.8,False,False
Mizoram,Aizawl,Antenatal Care (for last birth in the 5 years before the survey),29,Mothers who had any antenatal care visits (%),98.5,83.0,False,False
Mizoram,Aizawl,Antenatal Care (for last birth in the 5 years before the survey),30,Mothers who had at least 4 antenatal care visits (%),84.9,68.5,False,False
Mizoram,Aizawl,Antenatal Care (for last birth in the 5 years before the survey),31,Mothers whose last birth was protected against neonatal tetanus4 (%),90.3,82.3,False,False
Mizoram,Aizawl,Antenatal Care (for last birth in the 5 years before the survey),32,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),65.7,58.5,False,False
Mizoram,Aizawl,Antenatal Care (for last birth in the 5 years before the survey),33,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),33.4,12.1,False,False
Mizoram,Aizawl,Antenatal Care (for last birth in the 5 years before the survey),34,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),98.0,93.1,False,False
Mizoram,Aizawl,Delivery Care (for births in the 5 years before the survey),35,Institutional births (%),98.3,97.4,False,False
