state,district,category,indicator_no,indicator,nfhs6_value,nfhs5_value,small_sample_flag,boundary_change_single_round
Nct Of Delhi,Central,Population and Household Profile,1,Population below age 5 years (%),5.8,6.1,False,False
Nct Of Delhi,Central,Population and Household Profile,2,Population below age 15 years (%),21.1,23.9,False,False
Nct Of Delhi,Central,Population and Household Profile,3,Population age 60 years and above (%),11.1,8.3,False,False
Nct Of Delhi,Central,Population and Household Profile,4,Population living in households with electricity (%),99.8,99.8,False,False
Nct Of Delhi,Central,Population and Household Profile,5,Population living in households with an improved drinking-water source1 (%),99.9,99.7,False,False
Nct Of Delhi,Central,Population and Household Profile,6,Households using iodized salt (%),96.7,96.8,False,False
Nct Of Delhi,Central,Population and Household Profile,7,Households with any usual member covered under a health insurance/financing scheme (%),24.1,22.6,False,False
Nct Of Delhi,Central,Population and Household Profile,8,Households with any usual member having a bank account/post office account (%),96.3,94.6,False,False
Nct Of Delhi,Central,Population and Household Profile,9,Female population age 6 years and above who ever attended school (%),84.1,84.4,False,False
Nct Of Delhi,Central,Population and Household Profile,10,Households with any usual female members owning a house and/or land (alone or jointly with others) (%),18.0,17.4,False,False
Nct Of Delhi,Central,Population and Household Profile,11,Children age 2-4 years who attended pre-school (%),47.7,34.6,False,False
Nct Of Delhi,Central,Characteristics of Adults (age 15-49 years),12,Women with 10 or more years of schooling (%),66.0,57.1,False,False
Nct Of Delhi,Central,Characteristics of Adults (age 15-49 years),13,Men with 10 or more years of schooling (%),67.2,47.2,False,False
Nct Of Delhi,Central,Characteristics of Adults (age 15-49 years),14,Women who have ever used the internet (%),81.0,60.7,False,False
Nct Of Delhi,Central,Characteristics of Adults (age 15-49 years),15,Men who have ever used the internet (%),96.1,70.6,False,False
Nct Of Delhi,Central,Marriage and Fertility,16,Women age 20-24 years married before age 18 years (%),12.9,11.2,False,False
Nct Of Delhi,Central,Marriage and Fertility,17,Men age 25-29 years married before age 21 years (%),*,*,True,False
Nct Of Delhi,Central,Marriage and Fertility,18,Three or more births in the 5 years preceding the survey (%),0.9,0.8,False,False
Nct Of Delhi,Central,Marriage and Fertility,19,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),3.4,4.0,False,False
Nct Of Delhi,Central,Marriage and Fertility,20,Any method2 (%),68.2,68.5,False,False
Nct Of Delhi,Central,Marriage and Fertility,21,Any modern method2 (%),51.9,49.8,False,False
Nct Of Delhi,Central,Marriage and Fertility,22,Any traditional method (%),16.3,18.7,False,False
Nct Of Delhi,Central,Marriage and Fertility,23,Female sterilization (%),14.1,17.6,False,False
Nct Of Delhi,Central,Marriage and Fertility,24,Male sterilization (%),0.4,0.6,False,False
Nct Of Delhi,Central,Marriage and Fertility,25,Total unmet need3 (%),5.8,9.4,False,False
Nct Of Delhi,Central,Marriage and Fertility,26,Unmet need for spacing3 (%),1.8,3.2,False,False
Nct Of Delhi,Central,Marriage and Fertility,27,Unmet need for limiting3 (%),4.0,6.2,False,False
Nct Of Delhi,Central,Antenatal Care (for last birth in the 5 years before the survey),28,Mothers who had an antenatal check-up in the first trimester (%),73.2,70.4,False,False
Nct Of Delhi,Central,Antenatal Care (for last birth in the 5 years before the survey),29,Mothers who had any antenatal care visits (%),96.6,92.7,False,False
Nct Of Delhi,Central,Antenatal Care (for last birth in the 5 years before the survey),30,Mothers who had at least 4 antenatal care visits (%),83.0,73.1,False,False
Nct Of Delhi,Central,Antenatal Care (for last birth in the 5 years before the survey),31,Mothers whose last birth was protected against neonatal tetanus4 (%),91.3,88.3,False,False
