state,district,category,indicator_no,indicator,nfhs6_value,nfhs5_value,small_sample_flag,boundary_change_single_round
Odisha,Anugul,Population and Household Profile,1,Population below age 5 years (%),6.8,7.6,False,False
Odisha,Anugul,Population and Household Profile,2,Population below age 15 years (%),23.1,24.5,False,False
Odisha,Anugul,Population and Household Profile,3,Population age 60 years and above (%),14.6,13.7,False,False
Odisha,Anugul,Population and Household Profile,4,Population living in households with electricity (%),97.5,96.7,False,False
Odisha,Anugul,Population and Household Profile,5,Population living in households with an improved drinking-water source1 (%),87.4,76.2,False,False
Odisha,Anugul,Population and Household Profile,6,Households using iodized salt (%),90.5,97.1,False,False
Odisha,Anugul,Population and Household Profile,7,Households with any usual member covered under a health insurance/financing scheme (%),83.6,63.1,False,False
Odisha,Anugul,Population and Household Profile,8,Households with any usual member having a bank account/post office account (%),98.9,97.7,False,False
Odisha,Anugul,Population and Household Profile,9,Female population age 6 years and above who ever attended school (%),77.5,73.2,False,False
Odisha,Anugul,Population and Household Profile,10,Households with any usual female members owning a house and/or land (alone or jointly with others) (%),14.5,10.4,False,False
Odisha,Anugul,Population and Household Profile,11,Children age 2-4 years who attended pre-school (%),54.3,56.7,False,False
Odisha,Anugul,Characteristics of Adults (age 15-49 years),12,Women with 10 or more years of schooling (%),46.3,33.7,False,False
Odisha,Anugul,Characteristics of Adults (age 15-49 years),13,Men with 10 or more years of schooling (%),47.7,43.4,False,False
Odisha,Anugul,Characteristics of Adults (age 15-49 years),14,Women who have ever used the internet (%),52.2,20.8,False,False
Odisha,Anugul,Characteristics of Adults (age 15-49 years),15,Men who have ever used the internet (%),68.8,45.1,False,False
Odisha,Anugul,Marriage and Fertility,16,Women age 20-24 years married before age 18 years (%),30.2,25.0,False,False
Odisha,Anugul,Marriage and Fertility,17,Men age 25-29 years married before age 21 years (%),*,*,True,False
Odisha,Anugul,Marriage and Fertility,18,Three or more births in the 5 years preceding the survey (%),2.2,0.4,False,False
Odisha,Anugul,Marriage and Fertility,19,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),9.6,12.2,False,False
Odisha,Anugul,Marriage and Fertility,20,Any method2 (%),80.2,85.8,False,False
Odisha,Anugul,Marriage and Fertility,21,Any modern method2 (%),36.4,52.6,False,False
Odisha,Anugul,Marriage and Fertility,22,Any traditional method (%),43.8,33.2,False,False
Odisha,Anugul,Marriage and Fertility,23,Female sterilization (%),18.8,25.7,False,False
Odisha,Anugul,Marriage and Fertility,24,Male sterilization (%),0.1,0.0,False,False
Odisha,Anugul,Marriage and Fertility,25,Total unmet need3 (%),3.0,2.9,False,False
Odisha,Anugul,Marriage and Fertility,26,Unmet need for spacing3 (%),1.9,1.4,False,False
Odisha,Anugul,Marriage and Fertility,27,Unmet need for limiting3 (%),1.1,1.5,False,False
Odisha,Anugul,Antenatal Care (for last birth in the 5 years before the survey),28,Mothers who had an antenatal check-up in the first trimester (%),74.3,78.7,False,False
Odisha,Anugul,Antenatal Care (for last birth in the 5 years before the survey),29,Mothers who had any antenatal care visits (%),95.9,99.1,False,False
Odisha,Anugul,Antenatal Care (for last birth in the 5 years before the survey),30,Mothers who had at least 4 antenatal care visits (%),83.2,83.7,False,False
Odisha,Anugul,Antenatal Care (for last birth in the 5 years before the survey),31,Mothers whose last birth was protected against neonatal tetanus4 (%),95.8,97.0,False,False
Odisha,Anugul,Antenatal Care (for last birth in the 5 years before the survey),32,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),71.7,53.7,False,False
Odisha,Anugul,Antenatal Care (for last birth in the 5 years before the survey),33,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),41.0,21.6,False,False
Odisha,Anugul,Antenatal Care (for last birth in the 5 years before the survey),34,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),99.8,99.6,False,False
Odisha,Anugul,Delivery Care (for births in the 5 years before the survey),35,Institutional births (%),94.6,85.7,False,False
Odisha,Anugul,Delivery Care (for births in the 5 years before the survey),36,Institutional births in public facility (%),74.2,67.6,False,False
Odisha,Anugul,Delivery Care (for births in the 5 years before the survey),37,Births attended by skilled health personnel5 (%),93.0,89.8,False,False
Odisha,Anugul,Delivery Care (for births in the 5 years before the survey),38,Births delivered by caesarean section (%),23.4,18.4,False,False
Odisha,Anugul,Delivery Care (for births in the 5 years before the survey),39,Births in a private health facility that were delivered by caesarean section (%),60.2,62.8,True,False
Odisha,Anugul,Delivery Care (for births in the 5 years before the survey),40,Births in a public health facility that were delivered by caesarean section (%),15.0,10.3,False,False
Odisha,Anugul,Postnatal Care (for last birth in the 5 years before the survey),41,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2,88.1,84.8,False,False
Odisha,Anugul,Postnatal Care (for last birth in the 5 years before the survey),42,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,13.2,True,False
Odisha,Anugul,Postnatal Care (for last birth in the 5 years before the survey),43,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2,84.8,85.1,False,False
Odisha,Anugul,Child Vaccinations and Vitamin A Supplementation,44,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's,100.0,87.0,True,False
Odisha,Anugul,Child Vaccinations and Vitamin A Supplementation,45,Children age 12-23 months fully vaccinated based on information from vaccination card only7 (%),100.0,86.5,True,False
Odisha,Anugul,Child Vaccinations and Vitamin A Supplementation,46,Children age 12-23 months who have received any vaccine (%),100.0,98.2,True,False
Odisha,Anugul,Child Vaccinations and Vitamin A Supplementation,47,Children age 12-23 months who have received BCG (%),100.0,98.2,True,False
Odisha,Anugul,Child Vaccinations and Vitamin A Supplementation,48,Children age 12-23 months who have received 3 doses of polio vaccine8 (%),100.0,88.8,True,False
Odisha,Anugul,Child Vaccinations and Vitamin A Supplementation,49,Children age 12-23 months who have received 3 doses of pentavalent vaccine (%),100.0,94.3,True,False
Odisha,Anugul,Child Vaccinations and Vitamin A Supplementation,50,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),100.0,96.1,True,False
Odisha,Anugul,Child Vaccinations and Vitamin A Supplementation,51,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),87.5,78.0,False,False
Odisha,Anugul,Child Vaccinations and Vitamin A Supplementation,52,Children age 12-23 months who have received birth dose of hepatitis B vaccine (%),91.2,85.0,True,False
Odisha,Anugul,Child Vaccinations and Vitamin A Supplementation,53,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),95.6,83.2,True,False
Odisha,Anugul,Child Vaccinations and Vitamin A Supplementation,54,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),87.3,88.9,False,False
Odisha,Anugul,Child Vaccinations and Vitamin A Supplementation,55,Children age 12-23 months who received most of their vaccinations in a public health facility (%),100.0,98.5,True,False
