state,district,category,indicator_no,indicator,nfhs6_value,nfhs5_value,small_sample_flag,boundary_change_single_round
Puducherry,Karaikal,Population and Household Profile,1,Population below age 5 years (%),7.1,6.4,False,False
Puducherry,Karaikal,Population and Household Profile,2,Population below age 15 years (%),20.7,21.9,False,False
Puducherry,Karaikal,Population and Household Profile,3,Population age 60 years and above (%),16.1,13.4,False,False
Puducherry,Karaikal,Population and Household Profile,4,Population living in households with electricity (%),99.8,99.6,False,False
Puducherry,Karaikal,Population and Household Profile,5,Population living in households with an improved drinking-water source1 (%),99.5,99.9,False,False
Puducherry,Karaikal,Population and Household Profile,6,Households using iodized salt (%),92.4,93.0,False,False
Puducherry,Karaikal,Population and Household Profile,7,Households with any usual member covered under a health insurance/financing scheme (%),53.0,26.9,False,False
Puducherry,Karaikal,Population and Household Profile,8,Households with any usual member having a bank account/post office account (%),98.2,98.3,False,False
Puducherry,Karaikal,Population and Household Profile,9,Female population age 6 years and above who ever attended school (%),89.2,86.3,False,False
Puducherry,Karaikal,Population and Household Profile,10,Households with any usual female members owning a house and/or land (alone or jointly with others) (%),20.7,19.9,False,False
Puducherry,Karaikal,Population and Household Profile,11,Children age 2-4 years who attended pre-school (%),54.1,64.3,False,False
Puducherry,Karaikal,Characteristics of Adults (age 15-49 years),12,Women with 10 or more years of schooling (%),73.6,59.0,False,False
Puducherry,Karaikal,Characteristics of Adults (age 15-49 years),13,Men with 10 or more years of schooling (%),82.2,65.5,False,False
Puducherry,Karaikal,Characteristics of Adults (age 15-49 years),14,Women who have ever used the internet (%),58.7,65.7,False,False
Puducherry,Karaikal,Characteristics of Adults (age 15-49 years),15,Men who have ever used the internet (%),78.8,73.4,False,False
Puducherry,Karaikal,Marriage and Fertility,16,Women age 20-24 years married before age 18 years (%),4.3,7.2,False,False
Puducherry,Karaikal,Marriage and Fertility,17,Men age 25-29 years married before age 21 years (%),*,*,True,False
Puducherry,Karaikal,Marriage and Fertility,18,Three or more births in the 5 years preceding the survey (%),0.8,0.0,False,False
Puducherry,Karaikal,Marriage and Fertility,19,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),5.5,0.6,False,False
Puducherry,Karaikal,Marriage and Fertility,20,Any method2 (%),64.5,59.7,False,False
Puducherry,Karaikal,Marriage and Fertility,21,Any modern method2 (%),54.1,57.9,False,False
Puducherry,Karaikal,Marriage and Fertility,22,Any traditional method (%),10.4,1.8,False,False
Puducherry,Karaikal,Marriage and Fertility,23,Female sterilization (%),40.9,51.3,False,False
Puducherry,Karaikal,Marriage and Fertility,24,Male sterilization (%),0.2,0.0,False,False
Puducherry,Karaikal,Marriage and Fertility,25,Total unmet need3 (%),8.0,10.2,False,False
Puducherry,Karaikal,Marriage and Fertility,26,Unmet need for spacing3 (%),4.4,3.7,False,False
Puducherry,Karaikal,Marriage and Fertility,27,Unmet need for limiting3 (%),3.6,6.5,False,False
Puducherry,Karaikal,Antenatal Care (for last birth in the 5 years before the survey),28,Mothers who had an antenatal check-up in the first trimester (%),90.2,79.2,False,False
Puducherry,Karaikal,Antenatal Care (for last birth in the 5 years before the survey),29,Mothers who had any antenatal care visits (%),98.0,94.6,False,False
Puducherry,Karaikal,Antenatal Care (for last birth in the 5 years before the survey),30,Mothers who had at least 4 antenatal care visits (%),96.0,88.3,False,False
Puducherry,Karaikal,Antenatal Care (for last birth in the 5 years before the survey),31,Mothers whose last birth was protected against neonatal tetanus4 (%),97.0,90.7,False,False
Puducherry,Karaikal,Antenatal Care (for last birth in the 5 years before the survey),32,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),75.3,81.4,False,False
Puducherry,Karaikal,Antenatal Care (for last birth in the 5 years before the survey),33,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),47.1,65.7,False,False
Puducherry,Karaikal,Antenatal Care (for last birth in the 5 years before the survey),34,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),100.0,99.3,False,False
Puducherry,Karaikal,Delivery Care (for births in the 5 years before the survey),35,Institutional births (%),99.1,99.6,False,False
Puducherry,Karaikal,Delivery Care (for births in the 5 years before the survey),36,Institutional births in public facility (%),64.8,67.2,False,False
Puducherry,Karaikal,Delivery Care (for births in the 5 years before the survey),37,Births attended by skilled health personnel5 (%),99.1,99.6,False,False
Puducherry,Karaikal,Delivery Care (for births in the 5 years before the survey),38,Births delivered by caesarean section (%),62.9,45.9,False,False
Puducherry,Karaikal,Delivery Care (for births in the 5 years before the survey),39,Births in a private health facility that were delivered by caesarean section (%),76.4,45.9,False,False
Puducherry,Karaikal,Delivery Care (for births in the 5 years before the survey),40,Births in a public health facility that were delivered by caesarean section (%),56.7,46.2,False,False
Puducherry,Karaikal,Postnatal Care (for last birth in the 5 years before the survey),41,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2,90.5,95.0,False,False
Puducherry,Karaikal,Postnatal Care (for last birth in the 5 years before the survey),42,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*,True,False
