state,district,category,indicator_no,indicator,nfhs6_value,nfhs5_value,small_sample_flag,boundary_change_single_round
Rajasthan,Ajmer,Population and Household Profile,1,Population below age 5 years (%),8.9,7.3,False,False
Rajasthan,Ajmer,Population and Household Profile,2,Population below age 15 years (%),27.5,26.7,False,False
Rajasthan,Ajmer,Population and Household Profile,3,Population age 60 years and above (%),13.2,12.5,False,False
Rajasthan,Ajmer,Population and Household Profile,4,Population living in households with electricity (%),99.8,99.9,False,False
Rajasthan,Ajmer,Population and Household Profile,5,Population living in households with an improved drinking-water source1 (%),98.7,98.1,False,False
Rajasthan,Ajmer,Population and Household Profile,6,Households using iodized salt (%),95.2,97.7,False,False
Rajasthan,Ajmer,Population and Household Profile,7,Households with any usual member covered under a health insurance/financing scheme (%),93.2,88.7,False,False
Rajasthan,Ajmer,Population and Household Profile,8,Households with any usual member having a bank account/post office account (%),97.9,97.2,False,False
Rajasthan,Ajmer,Population and Household Profile,9,Female population age 6 years and above who ever attended school (%),68.2,67.3,False,False
Rajasthan,Ajmer,Population and Household Profile,10,Households with any usual female members owning a house and/or land (alone or jointly with others) (%),17.4,12.3,False,False
Rajasthan,Ajmer,Population and Household Profile,11,Children age 2-4 years who attended pre-school (%),47.1,39.9,False,False
Rajasthan,Ajmer,Characteristics of Adults (age 15-49 years),12,Women with 10 or more years of schooling (%),41.7,40.2,False,False
Rajasthan,Ajmer,Characteristics of Adults (age 15-49 years),13,Men with 10 or more years of schooling (%),57.0,52.8,False,False
Rajasthan,Ajmer,Characteristics of Adults (age 15-49 years),14,Women who have ever used the internet (%),69.4,49.4,False,False
Rajasthan,Ajmer,Characteristics of Adults (age 15-49 years),15,Men who have ever used the internet (%),82.8,78.0,False,False
Rajasthan,Ajmer,Marriage and Fertility,16,Women age 20-24 years married before age 18 years (%),36.4,20.2,False,False
Rajasthan,Ajmer,Marriage and Fertility,17,Men age 25-29 years married before age 21 years (%),*,17.8,True,False
Rajasthan,Ajmer,Marriage and Fertility,18,Three or more births in the 5 years preceding the survey (%),3.1,3.1,False,False
Rajasthan,Ajmer,Marriage and Fertility,19,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),5.8,5.5,False,False
Rajasthan,Ajmer,Marriage and Fertility,20,Any method2 (%),71.7,60.6,False,False
Rajasthan,Ajmer,Marriage and Fertility,21,Any modern method2 (%),58.3,56.6,False,False
Rajasthan,Ajmer,Marriage and Fertility,22,Any traditional method (%),13.4,4.0,False,False
Rajasthan,Ajmer,Marriage and Fertility,23,Female sterilization (%),37.8,41.1,False,False
Rajasthan,Ajmer,Marriage and Fertility,24,Male sterilization (%),0.3,0.1,False,False
Rajasthan,Ajmer,Marriage and Fertility,25,Total unmet need3 (%),8.9,11.9,False,False
Rajasthan,Ajmer,Marriage and Fertility,26,Unmet need for spacing3 (%),5.0,5.2,False,False
Rajasthan,Ajmer,Marriage and Fertility,27,Unmet need for limiting3 (%),3.9,6.7,False,False
Rajasthan,Ajmer,Antenatal Care (for last birth in the 5 years before the survey),28,Mothers who had an antenatal check-up in the first trimester (%),87.1,80.4,False,False
Rajasthan,Ajmer,Antenatal Care (for last birth in the 5 years before the survey),29,Mothers who had any antenatal care visits (%),100.0,93.7,False,False
Rajasthan,Ajmer,Antenatal Care (for last birth in the 5 years before the survey),30,Mothers who had at least 4 antenatal care visits (%),61.5,52.8,False,False
Rajasthan,Ajmer,Antenatal Care (for last birth in the 5 years before the survey),31,Mothers whose last birth was protected against neonatal tetanus4 (%),98.5,95.9,False,False
Rajasthan,Ajmer,Antenatal Care (for last birth in the 5 years before the survey),32,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),45.5,39.6,False,False
Rajasthan,Ajmer,Antenatal Care (for last birth in the 5 years before the survey),33,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),25.9,20.7,False,False
Rajasthan,Ajmer,Antenatal Care (for last birth in the 5 years before the survey),34,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),98.6,97.5,False,False
Rajasthan,Ajmer,Delivery Care (for births in the 5 years before the survey),35,Institutional births (%),95.6,95.1,False,False
Rajasthan,Ajmer,Delivery Care (for births in the 5 years before the survey),36,Institutional births in public facility (%),77.5,82.1,False,False
Rajasthan,Ajmer,Delivery Care (for births in the 5 years before the survey),37,Births attended by skilled health personnel5 (%),96.4,97.9,False,False
Rajasthan,Ajmer,Delivery Care (for births in the 5 years before the survey),38,Births delivered by caesarean section (%),14.6,11.6,False,False
Rajasthan,Ajmer,Delivery Care (for births in the 5 years before the survey),39,Births in a private health facility that were delivered by caesarean section (%),32.8,28.0,True,False
Rajasthan,Ajmer,Delivery Care (for births in the 5 years before the survey),40,Births in a public health facility that were delivered by caesarean section (%),11.2,9.7,False,False
Rajasthan,Ajmer,Postnatal Care (for last birth in the 5 years before the survey),41,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2,89.0,82.3,False,False
