state,district,category,indicator_no,indicator,nfhs6_value,nfhs5_value,small_sample_flag,boundary_change_single_round
Sikkim,East District,Population and Household Profile,1,Population below age 5 years (%),3.9,5.1,False,False
Sikkim,East District,Population and Household Profile,2,Population below age 15 years (%),14.7,19.3,False,False
Sikkim,East District,Population and Household Profile,3,Population age 60 years and above (%),13.1,9.1,False,False
Sikkim,East District,Population and Household Profile,4,Population living in households with electricity (%),99.9,99.4,False,False
Sikkim,East District,Population and Household Profile,5,Population living in households with an improved drinking-water source1 (%),99.5,93.6,False,False
Sikkim,East District,Population and Household Profile,6,Households using iodized salt (%),99.9,97.7,False,False
Sikkim,East District,Population and Household Profile,7,Households with any usual member covered under a health insurance/financing scheme (%),35.5,33.0,False,False
Sikkim,East District,Population and Household Profile,8,Households with any usual member having a bank account/post office account (%),96.8,88.1,False,False
Sikkim,East District,Population and Household Profile,9,Female population age 6 years and above who ever attended school (%),82.4,86.4,False,False
Sikkim,East District,Population and Household Profile,10,Households with any usual female members owning a house and/or land (alone or jointly with others) (%),11.4,11.9,False,False
Sikkim,East District,Population and Household Profile,11,Children age 2-4 years who attended pre-school (%),79.2,78.4,False,False
Sikkim,East District,Characteristics of Adults (age 15-49 years),12,Women with 10 or more years of schooling (%),64.1,53.2,False,False
Sikkim,East District,Characteristics of Adults (age 15-49 years),13,Men with 10 or more years of schooling (%),51.5,60.1,False,False
Sikkim,East District,Characteristics of Adults (age 15-49 years),14,Women who have ever used the internet (%),90.1,83.9,False,False
Sikkim,East District,Characteristics of Adults (age 15-49 years),15,Men who have ever used the internet (%),91.6,85.4,False,False
Sikkim,East District,Marriage and Fertility,16,Women age 20-24 years married before age 18 years (%),8.1,9.4,False,False
Sikkim,East District,Marriage and Fertility,17,Men age 25-29 years married before age 21 years (%),*,*,True,False
Sikkim,East District,Marriage and Fertility,18,Three or more births in the 5 years preceding the survey (%),1.5,0.0,False,False
Sikkim,East District,Marriage and Fertility,19,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),6.3,1.7,False,False
Sikkim,East District,Marriage and Fertility,20,Any method2 (%),75.6,54.3,False,False
Sikkim,East District,Marriage and Fertility,21,Any modern method2 (%),41.6,42.8,False,False
Sikkim,East District,Marriage and Fertility,22,Any traditional method (%),34.0,11.5,False,False
Sikkim,East District,Marriage and Fertility,23,Female sterilization (%),14.5,14.7,False,False
Sikkim,East District,Marriage and Fertility,24,Male sterilization (%),1.7,0.8,False,False
Sikkim,East District,Marriage and Fertility,25,Total unmet need3 (%),3.8,17.7,False,False
Sikkim,East District,Marriage and Fertility,26,Unmet need for spacing3 (%),1.7,7.1,False,False
Sikkim,East District,Marriage and Fertility,27,Unmet need for limiting3 (%),2.1,10.6,False,False
