state,district,category,indicator_no,indicator,nfhs6_value,nfhs5_value,small_sample_flag,boundary_change_single_round
Telangana,Adilabad,Population and Household Profile,1,Population below age 5 years (%),7.0,8.6,False,False
Telangana,Adilabad,Population and Household Profile,2,Population below age 15 years (%),23.4,24.8,False,False
Telangana,Adilabad,Population and Household Profile,3,Population age 60 years and above (%),11.0,11.0,False,False
Telangana,Adilabad,Population and Household Profile,4,Population living in households with electricity (%),98.0,99.2,False,False
Telangana,Adilabad,Population and Household Profile,5,Population living in households with an improved drinking-water source1 (%),94.3,95.7,False,False
Telangana,Adilabad,Population and Household Profile,6,Households using iodized salt (%),99.0,97.6,False,False
Telangana,Adilabad,Population and Household Profile,7,Households with any usual member covered under a health insurance/financing scheme (%),71.3,71.5,False,False
Telangana,Adilabad,Population and Household Profile,8,Households with any usual member having a bank account/post office account (%),98.5,97.9,False,False
Telangana,Adilabad,Population and Household Profile,9,Female population age 6 years and above who ever attended school (%),63.2,58.6,False,False
Telangana,Adilabad,Population and Household Profile,10,Households with any usual female members owning a house and/or land (alone or jointly with others) (%),35.4,23.8,False,False
Telangana,Adilabad,Population and Household Profile,11,Children age 2-4 years who attended pre-school (%),63.9,65.9,False,False
Telangana,Adilabad,Characteristics of Adults (age 15-49 years),12,Women with 10 or more years of schooling (%),46.1,41.0,False,False
Telangana,Adilabad,Characteristics of Adults (age 15-49 years),13,Men with 10 or more years of schooling (%),51.7,47.6,False,False
Telangana,Adilabad,Characteristics of Adults (age 15-49 years),14,Women who have ever used the internet (%),46.8,16.1,False,False
Telangana,Adilabad,Characteristics of Adults (age 15-49 years),15,Men who have ever used the internet (%),80.3,43.1,False,False
Telangana,Adilabad,Marriage and Fertility,16,Women age 20-24 years married before age 18 years (%),15.7,21.4,False,False
Telangana,Adilabad,Marriage and Fertility,17,Men age 25-29 years married before age 21 years (%),*,22.1,True,False
Telangana,Adilabad,Marriage and Fertility,18,Three or more births in the 5 years preceding the survey (%),3.6,1.3,False,False
Telangana,Adilabad,Marriage and Fertility,19,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),3.8,7.8,False,False
Telangana,Adilabad,Marriage and Fertility,20,Any method2 (%),63.5,54.3,False,False
Telangana,Adilabad,Marriage and Fertility,21,Any modern method2 (%),63.0,54.1,False,False
Telangana,Adilabad,Marriage and Fertility,22,Any traditional method (%),0.5,0.2,False,False
Telangana,Adilabad,Marriage and Fertility,23,Female sterilization (%),59.0,50.2,False,False
Telangana,Adilabad,Marriage and Fertility,24,Male sterilization (%),1.1,0.6,False,False
Telangana,Adilabad,Marriage and Fertility,25,Total unmet need3 (%),8.4,10.1,False,False
Telangana,Adilabad,Marriage and Fertility,26,Unmet need for spacing3 (%),4.8,4.6,False,False
Telangana,Adilabad,Marriage and Fertility,27,Unmet need for limiting3 (%),3.6,5.5,False,False
