state,district,category,indicator_no,indicator,nfhs6_value,nfhs5_value,small_sample_flag,boundary_change_single_round
Tripura,Dhalai,Population and Household Profile,1,Population below age 5 years (%),7.3,8.7,False,False
Tripura,Dhalai,Population and Household Profile,2,Population below age 15 years (%),26.3,27.2,False,False
Tripura,Dhalai,Population and Household Profile,3,Population age 60 years and above (%),12.2,9.5,False,False
Tripura,Dhalai,Population and Household Profile,4,Population living in households with electricity (%),97.6,97.7,False,False
Tripura,Dhalai,Population and Household Profile,5,Population living in households with an improved drinking-water source1 (%),78.2,70.3,False,False
Tripura,Dhalai,Population and Household Profile,6,Households using iodized salt (%),100.0,98.7,False,False
Tripura,Dhalai,Population and Household Profile,7,Households with any usual member covered under a health insurance/financing scheme (%),50.1,47.5,False,False
Tripura,Dhalai,Population and Household Profile,8,Households with any usual member having a bank account/post office account (%),98.7,97.8,False,False
Tripura,Dhalai,Population and Household Profile,9,Female population age 6 years and above who ever attended school (%),79.4,74.8,False,False
Tripura,Dhalai,Population and Household Profile,10,Households with any usual female members owning a house and/or land (alone or jointly with others) (%),18.5,10.8,False,False
Tripura,Dhalai,Population and Household Profile,11,Children age 2-4 years who attended pre-school (%),54.4,58.7,False,False
Tripura,Dhalai,Characteristics of Adults (age 15-49 years),12,Women with 10 or more years of schooling (%),23.5,13.9,False,False
Tripura,Dhalai,Characteristics of Adults (age 15-49 years),13,Men with 10 or more years of schooling (%),18.1,21.8,False,False
Tripura,Dhalai,Characteristics of Adults (age 15-49 years),14,Women who have ever used the internet (%),49.5,11.2,False,False
Tripura,Dhalai,Characteristics of Adults (age 15-49 years),15,Men who have ever used the internet (%),79.8,35.4,False,False
Tripura,Dhalai,Marriage and Fertility,16,Women age 20-24 years married before age 18 years (%),33.5,38.9,False,False
Tripura,Dhalai,Marriage and Fertility,17,Men age 25-29 years married before age 21 years (%),*,*,True,False
Tripura,Dhalai,Marriage and Fertility,18,Three or more births in the 5 years preceding the survey (%),1.5,0.3,False,False
Tripura,Dhalai,Marriage and Fertility,19,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),16.2,26.9,False,False
Tripura,Dhalai,Marriage and Fertility,20,Any method2 (%),67.4,80.9,False,False
Tripura,Dhalai,Marriage and Fertility,21,Any modern method2 (%),41.4,53.3,False,False
Tripura,Dhalai,Marriage and Fertility,22,Any traditional method (%),26.0,27.6,False,False
Tripura,Dhalai,Marriage and Fertility,23,Female sterilization (%),7.4,8.6,False,False
