state,district,category,indicator_no,indicator,nfhs6_value,nfhs5_value,small_sample_flag,boundary_change_single_round
Uttar Pradesh,Agra,Population and Household Profile,1,Population below age 5 years (%),8.9,9.8,False,False
Uttar Pradesh,Agra,Population and Household Profile,2,Population below age 15 years (%),29.9,30.5,False,False
Uttar Pradesh,Agra,Population and Household Profile,3,Population age 60 years and above (%),9.7,8.4,False,False
Uttar Pradesh,Agra,Population and Household Profile,4,Population living in households with electricity (%),97.7,99.1,False,False
Uttar Pradesh,Agra,Population and Household Profile,5,Population living in households with an improved drinking-water source1 (%),98.5,99.8,False,False
Uttar Pradesh,Agra,Population and Household Profile,6,Households using iodized salt (%),90.3,93.1,False,False
Uttar Pradesh,Agra,Population and Household Profile,7,Households with any usual member covered under a health insurance/financing scheme (%),25.4,9.4,False,False
Uttar Pradesh,Agra,Population and Household Profile,8,Households with any usual member having a bank account/post office account (%),97.5,95.9,False,False
Uttar Pradesh,Agra,Population and Household Profile,9,Female population age 6 years and above who ever attended school (%),68.3,69.4,False,False
Uttar Pradesh,Agra,Population and Household Profile,10,Households with any usual female members owning a house and/or land (alone or jointly with others) (%),18.2,15.6,False,False
Uttar Pradesh,Agra,Population and Household Profile,11,Children age 2-4 years who attended pre-school (%),27.6,35.7,False,False
Uttar Pradesh,Agra,Characteristics of Adults (age 15-49 years),12,Women with 10 or more years of schooling (%),40.3,36.1,False,False
Uttar Pradesh,Agra,Characteristics of Adults (age 15-49 years),13,Men with 10 or more years of schooling (%),43.8,44.0,False,False
Uttar Pradesh,Agra,Characteristics of Adults (age 15-49 years),14,Women who have ever used the internet (%),63.4,32.9,False,False
Uttar Pradesh,Agra,Characteristics of Adults (age 15-49 years),15,Men who have ever used the internet (%),81.2,59.1,False,False
Uttar Pradesh,Agra,Marriage and Fertility,16,Women age 20-24 years married before age 18 years (%),15.4,17.9,False,False
Uttar Pradesh,Agra,Marriage and Fertility,17,Men age 25-29 years married before age 21 years (%),18.4,*,True,False
Uttar Pradesh,Agra,Marriage and Fertility,18,Three or more births in the 5 years preceding the survey (%),1.7,3.3,False,False
Uttar Pradesh,Agra,Marriage and Fertility,19,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),5.1,3.5,False,False
Uttar Pradesh,Agra,Marriage and Fertility,20,Any method2 (%),68.2,67.7,False,False
Uttar Pradesh,Agra,Marriage and Fertility,21,Any modern method2 (%),37.3,47.1,False,False
Uttar Pradesh,Agra,Marriage and Fertility,22,Any traditional method (%),30.9,20.6,False,False
Uttar Pradesh,Agra,Marriage and Fertility,23,Female sterilization (%),22.2,20.0,False,False
Uttar Pradesh,Agra,Marriage and Fertility,24,Male sterilization (%),0.2,0.1,False,False
Uttar Pradesh,Agra,Marriage and Fertility,25,Total unmet need3 (%),9.5,9.0,False,False
Uttar Pradesh,Agra,Marriage and Fertility,26,Unmet need for spacing3 (%),3.5,4.0,False,False
Uttar Pradesh,Agra,Marriage and Fertility,27,Unmet need for limiting3 (%),6.0,5.0,False,False
Uttar Pradesh,Agra,Antenatal Care (for last birth in the 5 years before the survey),28,Mothers who had an antenatal check-up in the first trimester (%),75.2,62.1,False,False
Uttar Pradesh,Agra,Antenatal Care (for last birth in the 5 years before the survey),29,Mothers who had any antenatal care visits (%),98.2,89.8,False,False
Uttar Pradesh,Agra,Antenatal Care (for last birth in the 5 years before the survey),30,Mothers who had at least 4 antenatal care visits (%),50.0,42.7,False,False
Uttar Pradesh,Agra,Antenatal Care (for last birth in the 5 years before the survey),31,Mothers whose last birth was protected against neonatal tetanus4 (%),93.7,91.1,False,False
Uttar Pradesh,Agra,Antenatal Care (for last birth in the 5 years before the survey),32,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),29.8,20.9,False,False
Uttar Pradesh,Agra,Antenatal Care (for last birth in the 5 years before the survey),33,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),20.2,11.3,False,False
Uttar Pradesh,Agra,Antenatal Care (for last birth in the 5 years before the survey),34,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),90.2,85.9,False,False
Uttar Pradesh,Agra,Delivery Care (for births in the 5 years before the survey),35,Institutional births (%),93.1,89.1,False,False
Uttar Pradesh,Agra,Delivery Care (for births in the 5 years before the survey),36,Institutional births in public facility (%),51.2,43.0,False,False
Uttar Pradesh,Agra,Delivery Care (for births in the 5 years before the survey),37,Births attended by skilled health personnel5 (%),94.7,90.1,False,False
Uttar Pradesh,Agra,Delivery Care (for births in the 5 years before the survey),38,Births delivered by caesarean section (%),23.2,18.8,False,False
Uttar Pradesh,Agra,Delivery Care (for births in the 5 years before the survey),39,Births in a private health facility that were delivered by caesarean section (%),48.1,31.6,False,False
Uttar Pradesh,Agra,Delivery Care (for births in the 5 years before the survey),40,Births in a public health facility that were delivered by caesarean section (%),6.0,9.9,False,False
Uttar Pradesh,Agra,Postnatal Care (for last birth in the 5 years before the survey),41,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2,81.8,77.2,False,False
Uttar Pradesh,Agra,Postnatal Care (for last birth in the 5 years before the survey),42,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,1.9,True,False
Uttar Pradesh,Agra,Postnatal Care (for last birth in the 5 years before the survey),43,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2,83.6,75.2,False,False
Uttar Pradesh,Agra,Child Vaccinations and Vitamin A Supplementation,44,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's,80.8,74.1,False,False
Uttar Pradesh,Agra,Child Vaccinations and Vitamin A Supplementation,45,Children age 12-23 months fully vaccinated based on information from vaccination card only7 (%),88.7,78.2,False,False
Uttar Pradesh,Agra,Child Vaccinations and Vitamin A Supplementation,46,Children age 12-23 months who have received any vaccine (%),100.0,100.0,False,False
Uttar Pradesh,Agra,Child Vaccinations and Vitamin A Supplementation,47,Children age 12-23 months who have received BCG (%),97.9,99.1,False,False
Uttar Pradesh,Agra,Child Vaccinations and Vitamin A Supplementation,48,Children age 12-23 months who have received 3 doses of polio vaccine8 (%),83.0,75.8,False,False
Uttar Pradesh,Agra,Child Vaccinations and Vitamin A Supplementation,49,Children age 12-23 months who have received 3 doses of pentavalent vaccine (%),98.9,92.2,False,False
Uttar Pradesh,Agra,Child Vaccinations and Vitamin A Supplementation,50,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),94.4,96.4,False,False
Uttar Pradesh,Agra,Child Vaccinations and Vitamin A Supplementation,51,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),64.8,67.9,False,False
Uttar Pradesh,Agra,Child Vaccinations and Vitamin A Supplementation,52,Children age 12-23 months who have received birth dose of hepatitis B vaccine (%),62.4,47.8,False,False
Uttar Pradesh,Agra,Child Vaccinations and Vitamin A Supplementation,53,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),91.2,45.6,False,False
Uttar Pradesh,Agra,Child Vaccinations and Vitamin A Supplementation,54,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),64.8,71.9,False,False
Uttar Pradesh,Agra,Child Vaccinations and Vitamin A Supplementation,55,Children age 12-23 months who received most of their vaccinations in a public health facility (%),96.4,87.5,False,False
Uttar Pradesh,Agra,Child Vaccinations and Vitamin A Supplementation,56,Children age 12-23 months who received most of their vaccinations in a private health facility (%),3.6,5.7,False,False
Uttar Pradesh,Agra,Treatment of Childhood Diseases (children under age 5 years),57,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),6.2,6.8,False,False
Uttar Pradesh,Agra,Treatment of Childhood Diseases (children under age 5 years),58,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),3.4,4.5,False,False
Uttar Pradesh,Agra,Treatment of Childhood Diseases (children under age 5 years),59,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or,89.7,80.7,False,False
Uttar Pradesh,Agra,Child Feeding Practices and Nutritional Status of Children,60,Children under age 3 years breastfed within one hour of birth9 (%),39.6,19.5,False,False
Uttar Pradesh,Agra,Child Feeding Practices and Nutritional Status of Children,61,Children under age 6 months exclusively breastfed10 (%),48.0,43.1,False,False
Uttar Pradesh,Agra,Child Feeding Practices and Nutritional Status of Children,62,Children under age 6 months currently breastfeeding10 (%),91.6,96.2,False,False
Uttar Pradesh,Agra,Child Feeding Practices and Nutritional Status of Children,63,Children under age 6 months exclusively breastfed or breastfeeding and consuming plain water/other,86.2,77.2,False,False
Uttar Pradesh,Agra,Child Feeding Practices and Nutritional Status of Children,64,Children age 6-8 months receiving solid or semi-solid food and breastmilk10 (%),*,*,True,False
