state,district,category,indicator_no,indicator,nfhs6_value,nfhs5_value,small_sample_flag,boundary_change_single_round
Uttarakhand,Almora,Population and Household Profile,1,Population below age 5 years (%),6.5,6.1,False,False
Uttarakhand,Almora,Population and Household Profile,2,Population below age 15 years (%),21.4,23.2,False,False
Uttarakhand,Almora,Population and Household Profile,3,Population age 60 years and above (%),20.6,19.5,False,False
Uttarakhand,Almora,Population and Household Profile,4,Population living in households with electricity (%),99.9,99.9,False,False
Uttarakhand,Almora,Population and Household Profile,5,Population living in households with an improved drinking-water source1 (%),93.2,93.3,False,False
Uttarakhand,Almora,Population and Household Profile,6,Households using iodized salt (%),91.6,88.1,False,False
Uttarakhand,Almora,Population and Household Profile,7,Households with any usual member covered under a health insurance/financing scheme (%),73.7,66.0,False,False
Uttarakhand,Almora,Population and Household Profile,8,Households with any usual member having a bank account/post office account (%),98.9,97.6,False,False
Uttarakhand,Almora,Population and Household Profile,9,Female population age 6 years and above who ever attended school (%),71.5,72.3,False,False
Uttarakhand,Almora,Population and Household Profile,10,Households with any usual female members owning a house and/or land (alone or jointly with others) (%),25.6,24.8,False,False
Uttarakhand,Almora,Population and Household Profile,11,Children age 2-4 years who attended pre-school (%),70.5,66.5,False,False
Uttarakhand,Almora,Characteristics of Adults (age 15-49 years),12,Women with 10 or more years of schooling (%),57.5,48.0,False,False
Uttarakhand,Almora,Characteristics of Adults (age 15-49 years),13,Men with 10 or more years of schooling (%),64.3,74.0,False,False
Uttarakhand,Almora,Characteristics of Adults (age 15-49 years),14,Women who have ever used the internet (%),65.3,36.6,False,False
Uttarakhand,Almora,Characteristics of Adults (age 15-49 years),15,Men who have ever used the internet (%),83.2,68.7,False,False
Uttarakhand,Almora,Marriage and Fertility,16,Women age 20-24 years married before age 18 years (%),4.9,1.5,False,False
Uttarakhand,Almora,Marriage and Fertility,17,Men age 25-29 years married before age 21 years (%),*,*,True,False
Uttarakhand,Almora,Marriage and Fertility,18,Three or more births in the 5 years preceding the survey (%),0.7,2.3,False,False
Uttarakhand,Almora,Marriage and Fertility,19,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),1.4,1.7,False,False
Uttarakhand,Almora,Marriage and Fertility,20,Any method2 (%),75.1,78.6,False,False
Uttarakhand,Almora,Marriage and Fertility,21,Any modern method2 (%),61.7,70.5,False,False
Uttarakhand,Almora,Marriage and Fertility,22,Any traditional method (%),13.4,8.1,False,False
Uttarakhand,Almora,Marriage and Fertility,23,Female sterilization (%),36.2,37.9,False,False
Uttarakhand,Almora,Marriage and Fertility,24,Male sterilization (%),2.6,1.8,False,False
Uttarakhand,Almora,Marriage and Fertility,25,Total unmet need3 (%),9.4,6.4,False,False
Uttarakhand,Almora,Marriage and Fertility,26,Unmet need for spacing3 (%),5.1,2.6,False,False
Uttarakhand,Almora,Marriage and Fertility,27,Unmet need for limiting3 (%),4.3,3.8,False,False
Uttarakhand,Almora,Antenatal Care (for last birth in the 5 years before the survey),28,Mothers who had an antenatal check-up in the first trimester (%),80.5,52.3,False,False
Uttarakhand,Almora,Antenatal Care (for last birth in the 5 years before the survey),29,Mothers who had any antenatal care visits (%),100.0,94.3,False,False
Uttarakhand,Almora,Antenatal Care (for last birth in the 5 years before the survey),30,Mothers who had at least 4 antenatal care visits (%),75.4,44.3,False,False
Uttarakhand,Almora,Antenatal Care (for last birth in the 5 years before the survey),31,Mothers whose last birth was protected against neonatal tetanus4 (%),94.9,87.7,False,False
Uttarakhand,Almora,Antenatal Care (for last birth in the 5 years before the survey),32,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),58.1,38.6,False,False
Uttarakhand,Almora,Antenatal Care (for last birth in the 5 years before the survey),33,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),30.4,20.9,False,False
Uttarakhand,Almora,Antenatal Care (for last birth in the 5 years before the survey),34,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),100.0,99.4,False,False
Uttarakhand,Almora,Delivery Care (for births in the 5 years before the survey),35,Institutional births (%),90.5,80.1,False,False
Uttarakhand,Almora,Delivery Care (for births in the 5 years before the survey),36,Institutional births in public facility (%),73.1,69.4,False,False
Uttarakhand,Almora,Delivery Care (for births in the 5 years before the survey),37,Births attended by skilled health personnel5 (%),92.7,85.4,False,False
Uttarakhand,Almora,Delivery Care (for births in the 5 years before the survey),38,Births delivered by caesarean section (%),21.7,16.3,False,False
Uttarakhand,Almora,Delivery Care (for births in the 5 years before the survey),39,Births in a private health facility that were delivered by caesarean section (%),68.5,*,True,False
Uttarakhand,Almora,Delivery Care (for births in the 5 years before the survey),40,Births in a public health facility that were delivered by caesarean section (%),13.4,13.7,False,False
Uttarakhand,Almora,Postnatal Care (for last birth in the 5 years before the survey),41,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2,85.5,78.1,False,False
Uttarakhand,Almora,Postnatal Care (for last birth in the 5 years before the survey),42,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,6.7,True,False
Uttarakhand,Almora,Postnatal Care (for last birth in the 5 years before the survey),43,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2,88.9,79.6,False,False
Uttarakhand,Almora,Child Vaccinations and Vitamin A Supplementation,44,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's,82.0,85.1,True,False
Uttarakhand,Almora,Child Vaccinations and Vitamin A Supplementation,45,Children age 12-23 months fully vaccinated based on information from vaccination card only7 (%),100.0,96.3,True,False
Uttarakhand,Almora,Child Vaccinations and Vitamin A Supplementation,46,Children age 12-23 months who have received any vaccine (%),97.7,96.3,True,False
Uttarakhand,Almora,Child Vaccinations and Vitamin A Supplementation,47,Children age 12-23 months who have received BCG (%),97.7,96.3,True,False
Uttarakhand,Almora,Child Vaccinations and Vitamin A Supplementation,48,Children age 12-23 months who have received 3 doses of polio vaccine8 (%),84.6,85.1,True,False
Uttarakhand,Almora,Child Vaccinations and Vitamin A Supplementation,49,Children age 12-23 months who have received 3 doses of pentavalent vaccine (%),90.0,85.1,True,False
Uttarakhand,Almora,Child Vaccinations and Vitamin A Supplementation,50,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),94.7,96.3,True,False
Uttarakhand,Almora,Child Vaccinations and Vitamin A Supplementation,51,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),80.0,72.9,True,False
Uttarakhand,Almora,Child Vaccinations and Vitamin A Supplementation,52,Children age 12-23 months who have received birth dose of hepatitis B vaccine (%),92.3,85.3,True,False
